wavelength_nm,intensity
345.386,-12.55411
345.605,-12.55411
345.824,-12.55411
346.044,-26.14861
346.263,5.56978
346.482,-9.11689
346.701,-23.80259
346.92,-12.50265
347.139,-42.9777
347.358,21.33169
347.577,47.18563
347.796,-22.6926
348.015,20.21613
348.234,-48.63444
348.453,24.72854
348.672,24.7362
348.891,21.37477
349.11,27.00818
349.329,-6.85852
349.548,-39.62985
349.767,-2.34799
349.986,68.66734
350.205,50.69809
350.424,36.03388
350.643,-15.90686
350.862,34.90962
351.08,68.63569
351.299,65.32464
351.518,6.68043
351.737,13.44816
351.956,43.90709
352.174,20.23654
352.393,56.31659
352.612,7.8015
352.831,59.66322
353.049,61.97325
353.268,1.03393
353.487,22.45547
353.705,40.59097
353.924,40.57355
354.143,75.43077
354.361,-23.78507
354.58,-6.86621
354.798,56.3537
355.017,37.13481
355.236,17.97968
355.454,-5.74052
355.673,-6.87181
355.891,-7.98579
356.11,-31.69498
356.328,24.76219
356.547,43.90539
356.765,4.41644
356.984,51.77374
357.202,7.80784
357.42,-4.609
357.639,-0.09401
357.857,-13.62623
358.076,-10.23549
358.294,26.99455
358.512,-59.90898
358.731,42.73352
358.949,-17.01554
359.167,10.05309
359.386,13.42126
359.604,12.32275
359.822,68.68056
360.04,-31.65949
360.259,11.18982
360.477,-24.89928
360.695,28.11398
360.913,10.05503
361.131,39.34409
361.35,12.30467
361.568,21.32676
361.786,39.37893
362.004,7.79729
362.222,-23.76948
362.44,52.85962
362.658,57.45258
362.876,20.19663
363.094,60.75216
363.312,10.05619
363.53,65.37269
363.749,26.98409
363.967,10.05309
364.184,-38.45767
364.402,-19.28369
364.62,30.3542
364.838,50.71581
365.056,39.41705
365.274,42.74996
365.492,19.08151
365.71,29.23834
365.928,72.03659
366.146,2.16341
366.364,55.15111
366.581,-12.49445
366.799,13.43156
367.017,15.70763
367.235,20.23261
367.453,10.05813
367.67,39.33052
367.888,60.93359
368.106,-31.67904
368.323,50.43752
368.541,5.54736
368.759,-4.60936
368.977,33.74189
369.194,31.46676
369.412,6.67087
369.629,19.08004
369.847,2.15726
370.065,20.20909
370.282,-0.09404
