wavelength_nm,intensity,spectrum_id,spectrum_name,point_index,x_unit,y_unit
345.386,14.2465,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,0,nm,absorbance
345.605,14.2465,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,1,nm,absorbance
345.824,14.2465,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,2,nm,absorbance
346.044,-0.47178,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,3,nm,absorbance
346.263,-2.73809,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,4,nm,absorbance
346.482,-1.5976,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,5,nm,absorbance
346.701,17.58072,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,6,nm,absorbance
346.92,-18.52087,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,7,nm,absorbance
347.139,-17.39034,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,8,nm,absorbance
347.358,15.31905,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,9,nm,absorbance
347.577,17.55099,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,10,nm,absorbance
347.796,-35.50625,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,11,nm,absorbance
348.015,-11.76002,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,12,nm,absorbance
348.234,5.1691,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,13,nm,absorbance
348.453,-34.35396,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,14,nm,absorbance
348.672,35.6398,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,15,nm,absorbance
348.891,27.77472,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,16,nm,absorbance
349.11,22.11657,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,17,nm,absorbance
349.329,-4.97931,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,18,nm,absorbance
349.548,-21.92621,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,19,nm,absorbance
349.767,-16.25197,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,20,nm,absorbance
349.986,52.52477,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,21,nm,absorbance
350.205,53.70523,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,22,nm,absorbance
350.424,10.82427,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,23,nm,absorbance
350.643,16.46243,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,24,nm,absorbance
350.862,53.71148,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,25,nm,absorbance
351.08,47.99611,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,26,nm,absorbance
351.299,72.83468,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,27,nm,absorbance
351.518,32.25886,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,28,nm,absorbance
351.737,-1.59915,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,29,nm,absorbance
351.956,66.07063,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,30,nm,absorbance
352.174,69.49838,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,31,nm,absorbance
352.393,32.26136,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,32,nm,absorbance
352.612,7.42557,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,33,nm,absorbance
352.831,60.41411,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,34,nm,absorbance
353.049,11.95352,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,35,nm,absorbance
353.268,2.91372,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,36,nm,absorbance
353.487,17.57122,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,37,nm,absorbance
353.705,24.39908,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,38,nm,absorbance
353.924,63.89416,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,39,nm,absorbance
354.143,20.96727,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,40,nm,absorbance
354.361,-10.62098,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,41,nm,absorbance
354.58,28.85801,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,42,nm,absorbance
354.798,59.36119,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,43,nm,absorbance
355.017,35.63153,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,44,nm,absorbance
355.236,80.7743,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,45,nm,absorbance
355.454,-1.5997,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,46,nm,absorbance
355.673,30.00983,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,47,nm,absorbance
355.891,2.91192,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,48,nm,absorbance
356.11,-30.94217,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,49,nm,absorbance
356.328,90.94224,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,50,nm,absorbance
356.547,45.78423,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,51,nm,absorbance
356.765,17.56784,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,52,nm,absorbance
356.984,20.96484,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,53,nm,absorbance
357.202,40.14579,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,54,nm,absorbance
357.42,16.45477,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,55,nm,absorbance
357.639,15.31905,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,56,nm,absorbance
357.857,33.33406,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,57,nm,absorbance
358.076,18.67761,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,58,nm,absorbance
358.294,71.71106,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,59,nm,absorbance
358.512,-19.64259,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,60,nm,absorbance
358.731,47.98873,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,61,nm,absorbance
358.949,-1.59772,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,62,nm,absorbance
359.167,23.20146,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,63,nm,absorbance
359.386,42.30786,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,64,nm,absorbance
359.604,1.78759,999ca980-e201-4950-99db-22d339fa6481,Subt2__0__22-16-39-696,65,nm,absorbance
