# Source: MESSENGER MASCS UVVS
# Product: UFC_OB5_29_15094_181139_SCI_DAT
# Type: CDR
# Target: MERCURY
# Observation: 2015-04-04T18:11:40 to 2015-04-04T20:40:57
# Units: wavelength_nm=W m^-2 sr^-1 nm^-1
#
wavelength_nm,radiance_w_m2_sr_nm
129.2985,4.054173e-05
129.4867,3.614684e-05
129.6860,3.699856e-05
129.9101,3.845059e-05
130.1284,3.739502e-05
130.3541,3.836003e-05
130.5735,3.837821e-05
130.7926,3.882510e-05
131.0215,3.866233e-05
131.2380,3.844225e-05
131.4402,3.760066e-05
131.6259,3.923600e-05
