# Source: MESSENGER MASCS UVVS
# Product: UMD_OB2_49_13044_010912_SCI_DAT
# Type: DDR
# Target: MERCURY
# Observation: 2013-02-13T01:09:14 to 2013-02-13T01:09:20
# Units: wavelength_nm=dimensionless
#
wavelength_nm,reflectance
210.0000,5.252229e-03
212.0000,5.175054e-03
214.0000,5.809851e-03
216.0000,5.449247e-03
218.0000,5.168523e-03
220.0000,5.653115e-03
222.0000,6.013039e-03
224.0000,6.002808e-03
226.0000,6.383539e-03
228.0000,5.846514e-03
230.0000,5.393215e-03
232.0000,6.700047e-03
234.0000,6.459607e-03
236.0000,6.518201e-03
238.0000,6.621051e-03
240.0000,7.099023e-03
242.0000,7.703664e-03
244.0000,7.506358e-03
246.0000,8.137062e-03
248.0000,8.123993e-03
250.0000,8.791387e-03
252.0000,9.041402e-03
254.0000,9.733673e-03
256.0000,9.952602e-03
258.0000,1.030937e-02
260.0000,1.054603e-02
262.0000,1.092330e-02
264.0000,1.157086e-02
266.0000,1.137250e-02
268.0000,1.157958e-02
270.0000,1.235335e-02
272.0000,1.260658e-02
274.0000,1.296658e-02
276.0000,1.299585e-02
278.0000,1.390828e-02
280.0000,1.475800e-02
282.0000,1.419582e-02
284.0000,1.489183e-02
286.0000,1.536263e-02
288.0000,1.552504e-02
290.0000,1.614059e-02
292.0000,1.705686e-02
294.0000,1.725298e-02
296.0000,1.761628e-02
298.0000,1.890050e-02
300.0000,1.870782e-02
