# Source: MESSENGER MASCS UVVS
# Product: UMC_OB5_34_15094_004734_SCI_DAT
# Type: CDR
# Target: MERCURY
# Observation: 2015-04-04T00:47:35 to 2015-04-04T01:03:56
# Units: wavelength_nm=W m^-2 sr^-1 nm^-1
#
wavelength_nm,radiance_w_m2_sr_nm
306.4205,3.256759e-04
306.6398,1.756545e-04
306.8592,1.290052e-04
307.0784,1.325125e-04
307.2977,1.594582e-04
307.5170,1.620713e-04
307.7362,1.511877e-04
307.9554,1.953648e-04
308.1746,1.536097e-04
308.3938,1.578137e-04
308.6129,7.976739e-04
308.8320,1.599596e-04
309.0511,1.810991e-04
309.2701,1.525839e-04
309.4891,2.099912e-04
309.7081,1.568473e-04
309.9271,2.102329e-04
310.1461,1.855088e-04
310.3649,2.087337e-04
310.5838,1.841130e-04
310.8027,1.602763e-04
311.0215,2.202397e-04
