wavelength_nm,intensity
345.386,-76.73593
345.605,-76.73593
345.824,-76.73593
346.044,-102.72475
346.263,-36.06253
346.482,-6.67691
346.701,-7.80343
346.92,20.39348
347.139,1.22251
347.358,33.95274
347.577,19.25571
347.796,-19.08994
348.015,26.05591
348.234,-8.93285
348.453,-3.29265
348.672,-36.02886
348.891,-19.09364
349.11,11.37411
349.329,42.9237
349.548,-4.42078
349.767,15.89169
349.986,6.86101
350.205,40.69299
350.424,4.60765
350.643,6.86765
350.862,14.76414
351.08,94.76685
351.299,59.8084
351.518,2.34857
351.737,31.68567
351.956,14.7516
352.174,40.69614
352.393,-11.18525
352.612,-6.67381
352.831,59.79923
353.049,-33.79088
353.268,63.2091
353.487,0.09396
353.705,22.66211
353.924,22.65423
354.143,13.63013
354.361,18.14218
354.58,30.55681
354.798,-15.69755
355.017,7.99209
355.236,33.9278
355.454,13.63911
355.673,32.82093
355.891,90.30377
356.11,17.01713
356.328,13.63752
356.547,-25.85676
356.765,47.43392
356.984,10.24828
357.202,27.18099
357.42,11.38204
357.639,-29.24674
357.857,62.13349
358.076,31.66244
358.294,-17.9653
358.512,-2.16361
358.731,54.18846
358.949,-8.9294
359.167,56.46194
359.386,46.27747
359.604,6.86392
359.822,91.34183
360.04,46.34159
360.259,3.47797
360.477,19.28026
360.695,26.0197
360.913,33.93697
361.131,42.92205
361.35,-7.79771
361.568,23.77994
361.786,51.97252
362.004,87.95383
362.222,60.99725
362.44,68.85367
362.658,39.59969
362.876,54.20305
363.094,56.44457
363.312,59.89603
363.53,13.62698
363.749,39.56753
363.967,48.56013
364.184,0.09395
364.402,38.4568
364.62,31.65026
364.838,31.67465
365.056,61.03264
365.274,41.8264
365.492,-4.41532
365.71,-1.03435
365.928,68.87488
366.146,30.53793
366.364,55.325
366.581,82.40243
366.799,60.99961
367.017,62.06654
367.235,9.12126
367.453,31.65148
367.67,26.03474
367.888,-7.80676
368.106,41.81994
368.323,68.82458
368.541,-10.05946
368.759,-13.4489
368.977,80.17522
369.194,58.70537
369.412,54.21766
369.629,18.12402
369.847,121.73244
370.065,93.68846
370.282,59.85671
370.5,66.57621
370.717,19.25794
370.935,13.63066
371.152,21.52247
371.37,100.40797
371.588,35.04816
371.805,120.81748
372.022,75.5937
372.24,51.9445
372.457,32.78168
372.675,50.82611
372.892,59.91227
373.11,19.25794
373.327,24.90352
373.544,29.40076
373.762,100.38098
373.979,22.64898
374.196,82.30443
374.414,73.4021
374.631,28.26217
374.848,94.81429
375.066,19.27578
375.283,31.65878
375.5,1.22218
375.717,38.46425
375.935,98.1085
376.152,125.19051
376.369,92.43827
376.586,70.03351
376.803,98.15371
377.02,84.69995
377.238,72.24782
377.455,54.26377
377.672,98.1085
377.889,-24.74332
378.106,45.21098
378.323,7.98561
378.54,31.6661
378.757,102.61102
378.974,73.37099
379.191,101.51755
379.408,59.85441
379.625,57.56606
379.842,58.70989
380.059,62.10952
380.276,59.83137
380.493,32.82602
380.71,42.90393
380.927,100.30412
381.143,-1.03311
381.36,97.04711
381.577,83.50584
381.794,111.62786
382.011,87.9977
382.228,82.38974
382.444,66.52779
382.661,40.69299
382.878,40.67106
383.095,82.38657
383.311,60.91758
383.528,57.59929
383.745,14.76586
383.962,110.64383
384.178,54.18014
384.395,46.3148
384.612,53.07475
384.828,109.3244
385.045,56.47064
385.261,65.46825
385.478,37.31766
385.695,86.92926
385.911,50.80852
386.128,42.90228
386.344,85.8098
386.561,29.41208
386.777,68.82458
386.994,104.87622
387.21,110.4822
387.427,57.62374
387.643,57.63265
387.86,101.60359
388.076,41.77815
388.292,77.84743
388.509,80.10732
388.725,72.22558
388.942,53.04215
389.158,51.93851
389.374,-2.16052
389.591,85.73058
389.807,76.75154
390.023,149.88704
390.239,137.50586
390.456,54.2323
390.672,109.36206
390.888,38.41973
391.104,77.82057
391.321,156.69876
391.537,78.98796
391.753,86.8324
391.969,77.82653
392.185,54.16975
392.401,84.58268
392.618,78.93647
392.834,92.45595
393.05,121.74176
393.266,136.30397
393.482,163.46508
393.698,91.41907
393.914,109.34531
394.13,76.56123
394.346,128.4853
394.562,110.4949
394.778,74.47971
394.994,131.97793
395.21,134.16538
395.426,82.4215
395.642,100.43889
395.858,75.56472
396.073,164.58864
396.289,65.43559
396.505,135.27908
396.721,68.8193
396.937,81.18291
397.153,100.36172
397.369,75.585
397.584,92.50917
397.8,110.52457
398.016,147.56117
398.232,182.47615
398.447,191.51948
398.663,58.69184
398.879,137.68567
399.094,119.48442
399.31,138.71997
399.526,117.23175
399.741,128.40191
399.957,109.41663
400.173,94.81063
400.388,98.11226
400.604,160.08799
400.82,103.7197
401.035,128.45091
401.251,136.21577
401.466,90.21012
401.682,108.20037
401.897,109.30351
402.113,138.47101
402.328,86.80582
402.544,123.92818
402.759,135.10875
402.974,121.62099
403.19,153.11685
403.405,162.24204
403.621,127.27882
403.836,201.6194
404.051,116.01013
404.267,116.09431
404.482,146.3713
404.697,182.33721
404.913,168.85026
405.128,202.87328
405.343,157.72579
405.559,121.65806
405.774,140.71573
405.989,173.34393
406.204,173.25845
406.42,216.02958
406.635,195.68126
406.85,197.98189
407.065,200.25344
407.28,138.52899
407.495,200.26103
407.71,226.13048
407.926,176.56836
408.141,163.37746
408.356,253.20754
408.571,242.99495
408.786,193.62389
409.001,178.83002
409.216,203.87114
409.431,225.01015
409.646,231.77547
409.861,201.48118
410.076,259.69187
410.291,174.37301
410.506,187.91577
410.721,205.84877
410.936,233.892
411.15,190.28087
411.365,182.08904
411.58,268.97805
411.795,256.49978
412.01,241.86578
412.225,148.63873
412.439,220.22872
412.654,290.94081
412.869,180.03939
413.084,186.76627
413.299,225.94245
413.513,257.60977
413.728,215.84984
413.943,214.78691
414.157,343.91161
414.372,241.7103
414.587,238.36127
414.801,207.97957
415.016,241.50109
415.231,186.90825
415.445,229.50864
415.66,216.02139
415.874,191.29353
416.089,220.56188
416.304,226.02778
416.518,278.8765
416.733,247.24094
416.947,232.81636
417.162,241.5283
417.376,229.53476
417.59,214.64112
417.805,221.45615
418.019,221.64049
418.234,227.00195
418.448,252.96787
418.663,247.27821
418.877,264.3372
419.091,281.11424
419.306,284.58899
419.52,243.82013
419.734,212.72413
419.949,277.53758
420.163,239.26434
420.377,266.52564
420.591,277.40204
420.806,230.43711
421.02,205.88777
421.234,274.12124
421.448,289.66019
421.663,242.81123
421.877,207.95604
422.091,223.73733
422.305,203.5769
422.519,227.13899
422.733,277.35003
422.947,270.80791
423.161,283.36253
423.376,324.77859
423.59,257.03832
423.804,259.73111
424.018,304.58912
424.232,310.71344
424.446,297.40031
424.66,305.74162
424.874,310.31875
425.088,281.97781
425.302,348.49359
425.515,244.02251
425.729,345.91162
425.943,277.33964
426.157,264.09764
426.371,352.63567
426.585,345.48507
426.799,331.28321
427.013,271.86478
427.226,304.40575
427.44,377.19696
427.654,253.91471
427.868,342.2418
428.081,286.41643
428.295,307.94272
428.509,217.90868
428.723,319.89984
428.936,288.68391
429.15,334.85911
429.364,282.90453
429.577,263.05847
429.791,321.43821
430.005,356.92641
