wavelength_nm,intensity_mean,
345.386,-0.886696,
345.605,-0.886696,
345.824,-0.886696,
346.044,-7.692704,
346.263,-18.289434,
346.482,33.643684,
346.701,15.13911,
346.92,-2.920784,
347.139,18.066196,
347.358,-8.105412,
347.577,-12.83392,
347.796,-10.368692,
348.015,-9.013924,
348.234,-3.141208,
348.453,13.119814,
348.672,-11.724088,
348.891,-21.881992,
349.11,-14.41645,
349.329,408.725942,
349.548,644.59517,
349.767,638.856378,
349.986,672.5812,
350.205,720.6677,
350.424,746.460276,
350.643,771.617164,
350.862,776.485122,
351.08,844.518232,
351.299,864.829994,
351.518,898.580366,
351.737,934.386236,
351.956,983.076104,
352.174,1070.66888,
352.393,1097.55514,
352.612,1137.412734,
352.831,1242.999512,
353.049,1350.220346,
353.268,1391.657812,
353.487,1526.658196,
353.705,1609.274318,
353.924,1726.959136,
354.143,1760.745132,
354.361,1822.558212,
354.58,1856.656462,
354.798,1886.23304,
355.017,1918.112208,
355.236,1887.478944,
355.454,1969.115472,
355.673,2032.298546,
355.891,2038.8421,
356.11,2027.829936,
356.328,2054.064486,
356.547,2049.910428,
356.765,1979.6732,
356.984,2049.394914,
357.202,1959.794826,
357.42,2049.736134,
357.639,2000.833792,
357.857,1958.273586,
358.076,1896.741644,
358.294,1816.738808,
358.512,1816.862766,
358.731,1807.657602,
358.949,1779.4225,
359.167,1778.156096,
359.386,1785.407852,
359.604,1740.420506,
359.822,1763.49391,
360.04,1746.33577,
360.259,1686.391618,
360.477,1576.276572,
360.695,1527.703542,
360.913,1427.537684,
361.131,1361.38535,
361.35,1245.327802,
361.568,1080.93617,
361.786,1010.536864,
362.004,862.587166,
362.222,666.315278,
362.44,582.383192,
362.658,465.705958,
362.876,333.944714,
363.094,316.61086,
363.312,310.75672,
363.53,330.669014,
363.749,314.199072,
363.967,332.119804,
364.184,366.37042,
364.402,358.471436,
364.62,400.126192,
364.838,397.027198,
365.056,353.760636,
365.274,451.2445,
365.492,414.30446,
365.71,397.392212,
365.928,488.742366,
366.146,446.571658,
366.364,482.310304,
366.581,529.681568,
366.799,523.43276,
367.017,576.620964,
367.235,553.632352,
367.453,615.522094,
367.67,604.421436,
367.888,633.077046,
368.106,620.071992,
368.323,696.479388,
368.541,694.951744,
368.759,726.624772,
368.977,707.018312,
369.194,706.353636,
369.412,720.462588,
369.629,780.058866,
369.847,798.449238,
370.065,786.245568,
370.282,868.92414,
370.5,853.292984,
370.717,952.303422,
370.935,925.013982,
371.152,989.296316,
371.37,1083.17521,
371.588,1098.31596,
371.805,1137.366888,
372.022,1156.05736,
372.24,1182.189968,
372.457,1212.601404,
372.675,1195.727214,
372.892,1212.17445,
373.11,1251.187478,
373.327,1213.186518,
373.544,1224.643008,
373.762,1269.631656,
373.979,1242.616918,
374.196,1248.18177,
374.414,1222.786684,
374.631,1270.893966,
374.848,1314.329468,
375.066,1291.262492,
375.283,1326.67987,
375.5,1374.575916,
375.717,1373.762404,
375.935,1443.385134,
376.152,1486.430952,
376.369,1527.460426,
376.586,1574.618798,
376.803,1614.442332,
377.02,1687.340302,
377.238,1726.06006,
377.455,1755.600272,
377.672,1716.106996,
377.889,1756.857144,
378.106,1746.606558,
378.323,1770.54863,
378.54,1800.9779,
378.757,1746.500096,
378.974,1644.155328,
379.191,1707.15847,
379.408,1666.770646,
379.625,1578.622906,
379.842,1547.626574,
380.059,1537.730032,
380.276,1508.989258,
380.493,1402.836604,
380.71,1389.517858,
380.927,1385.244246,
381.143,1370.00807,
381.36,1448.382038,
381.577,1439.9836,
381.794,1407.375356,
382.011,1421.874348,
382.228,1471.387818,
382.444,1451.626706,
382.661,1439.397402,
382.878,1436.152576,
383.095,1445.137492,
383.311,1434.166772,
383.528,1335.509512,
383.745,1317.582496,
383.962,1300.414548,
384.178,1266.364942,
384.395,1155.30702,
384.612,1070.992474,
384.828,1058.253338,
385.045,982.884152,
385.261,942.576508,
385.478,816.816252,
385.695,769.563294,
385.911,801.87459,
386.128,715.708856,
386.344,751.916378,
386.561,716.664658,
386.777,728.691314,
386.994,726.302812,
387.21,762.222922,
387.427,748.757434,
387.643,757.600288,
387.86,792.343778,
388.076,771.479046,
388.292,760.710084,
388.509,791.088916,
388.725,815.36236,
388.942,865.144562,
389.158,839.136106,
389.374,848.216108,
389.591,821.844194,
389.807,864.960306,
390.023,944.988072,
390.239,883.152536,
390.456,935.426614,
390.672,913.390032,
390.888,915.152354,
391.104,1000.051214,
391.321,946.698164,
391.537,1011.461602,
391.753,948.235648,
391.969,934.797422,
392.185,956.476198,
392.401,965.505766,
392.618,881.681938,
392.834,905.106704,
393.05,927.82994,
393.266,923.253968,
393.482,948.427716,
393.698,893.193712,
393.914,865.942828,
394.13,934.414482,
394.346,905.56691,
394.562,882.960812,
394.778,885.079408,
394.994,941.092794,
395.21,978.906756,
395.426,1013.881546,
395.642,990.158106,
395.858,1055.203806,
396.073,1040.209802,
396.289,1071.29254,
396.505,1089.992164,
396.721,1093.925988,
396.937,1082.272956,
397.153,1043.506202,
397.369,1079.22083,
397.584,1078.107612,
397.8,1047.154004,
398.016,1018.849656,
398.232,1040.852086,
398.447,1001.529666,
398.663,937.589392,
398.879,928.957026,
399.094,913.998352,
399.31,884.930758,
399.526,862.37414,
399.741,887.21182,
399.957,839.52489,
400.173,876.888948,
400.388,862.420588,
400.604,895.241856,
400.82,897.914444,
401.035,996.013376,
401.251,976.441092,
401.466,949.06448,
401.682,1024.25398,
401.897,1086.193448,
402.113,1062.359922,
402.328,1079.22243,
402.544,1096.219448,
402.759,1025.98096,
402.974,1045.116398,
403.19,1013.449434,
403.405,1109.114256,
403.621,1078.9497,
403.836,1041.07933,
404.051,1053.655802,
404.267,1003.695548,
404.482,977.4692,
404.697,944.183718,
404.913,908.816498,
405.128,952.250184,
405.343,909.315574,
405.559,894.544786,
405.774,910.246966,
405.989,949.431946,
406.204,944.066518,
406.42,939.512204,
406.635,958.55041,
406.85,975.932654,
407.065,1011.88486,
407.28,1026.64484,
407.495,1093.2462,
407.71,1019.112538,
407.926,1109.785432,
408.141,1171.18997,
408.356,1187.327418,
408.571,1185.048598,
408.786,1185.127552,
409.001,1207.20446,
409.216,1214.720342,
409.431,1263.977952,
409.646,1191.215794,
409.861,1184.324232,
410.076,1116.651326,
410.291,1171.44407,
410.506,1156.502372,
410.721,1101.25807,
410.936,1051.328494,
411.15,1026.63502,
411.365,1024.385376,
411.58,1045.907748,
411.795,1065.882492,
412.01,1012.126024,
412.225,1048.387308,
412.439,979.474474,
412.654,1006.594908,
412.869,1029.528326,
413.084,989.233632,
413.299,1030.060212,
413.513,963.40974,
413.728,973.196888,
413.943,1015.956208,
414.157,991.519448,
414.372,970.430222,
414.587,1006.277848,
414.801,1049.841572,
415.016,967.420198,
415.231,1002.475952,
415.445,994.648632,
415.66,993.542142,
415.874,1031.411116,
416.089,973.064974,
416.304,963.530984,
416.518,986.895862,
416.733,925.835762,
416.947,917.592222,
417.162,906.23379,
417.376,848.9767,
417.59,875.181394,
417.805,867.11379,
418.019,767.108844,
418.234,787.899664,
418.448,761.029408,
418.663,773.755658,
418.877,733.329936,
419.091,803.903138,
419.306,773.764726,
419.52,789.280956,
419.734,760.22007,
419.949,783.604196,
420.163,853.448324,
420.377,744.271782,
420.591,736.98847,
420.806,786.616862,
421.02,796.456714,
421.234,844.513438,
421.448,825.525558,
421.663,837.086632,
421.877,809.51866,
422.091,829.758994,
422.305,834.05582,
422.519,809.656046,
422.733,898.033606,
422.947,868.417342,
423.161,823.604268,
423.376,851.650744,
423.59,858.346712,
423.804,863.692696,
424.018,838.576176,
424.232,837.87533,
424.446,854.65425,
424.66,865.057582,
424.874,802.295044,
425.088,737.543196,
425.302,708.572654,
425.515,784.890112,
425.729,737.103408,
425.943,698.536222,
426.157,756.433304,
426.371,704.4169,
426.585,722.511136,
426.799,733.76122,
427.013,710.757104,
427.226,759.278756,
427.44,679.065278,
427.654,683.861732,
427.868,723.088544,
428.081,733.637002,
428.295,680.045832,
428.509,714.99301,
428.723,651.656966,
428.936,660.28412,
429.15,652.959918,
429.364,683.350248,
429.577,727.335264,
429.791,687.34863,
430.005,745.389136,
430.218,805.980684,
430.432,697.94104,
430.645,724.041274,
430.859,732.377966,
431.073,792.098616,
431.286,813.955254,
431.5,789.730442,
431.713,719.560464,
431.927,741.788668,
432.14,756.572538,
432.354,772.548494,
432.567,708.03179,
432.781,758.698278,
432.994,759.609302,
433.207,801.977892,
433.421,838.721994,
433.634,904.253136,
433.848,876.433168,
434.061,868.214476,
434.274,839.953042,
434.488,934.957556,
434.701,925.386424,
434.914,934.990754,
435.127,1015.627544,
435.341,1036.57555,
435.554,1063.395588,
435.767,1075.449712,
435.98,1162.829706,
436.194,1134.60104,
436.407,1133.343568,
436.62,1215.272454,
436.833,1165.56064,
