Created as New Dataset,Sample 006 By Administrator Date Thursday, October 16 2025
cm-1,%T
4000.00,99.63
3999.00,99.63
3998.00,99.63
3997.00,99.63
3996.00,99.64
3995.00,99.65
3994.00,99.65
3993.00,99.65
3992.00,99.64
3991.00,99.64
3990.00,99.65
3989.00,99.65
3988.00,99.66
3987.00,99.66
3986.00,99.66
3985.00,99.66
3984.00,99.65
3983.00,99.65
3982.00,99.64
3981.00,99.65
3980.00,99.66
3979.00,99.66
3978.00,99.66
3977.00,99.67
3976.00,99.66
3975.00,99.66
3974.00,99.66
3973.00,99.66
3972.00,99.66
3971.00,99.66
3970.00,99.66
3969.00,99.66
3968.00,99.65
3967.00,99.65
3966.00,99.65
3965.00,99.65
3964.00,99.65
3963.00,99.65
3962.00,99.66
3961.00,99.66
3960.00,99.65
3959.00,99.64
3958.00,99.64
3957.00,99.64
3956.00,99.65
3955.00,99.65
3954.00,99.64
3953.00,99.63
3952.00,99.63
3951.00,99.64
3950.00,99.66
3949.00,99.68
3948.00,99.71
3947.00,99.73
3946.00,99.71
3945.00,99.66
3944.00,99.61
3943.00,99.61
3942.00,99.63
3941.00,99.65
3940.00,99.64
3939.00,99.64
3938.00,99.66
3937.00,99.69
3936.00,99.71
3935.00,99.72
3934.00,99.72
3933.00,99.71
3932.00,99.69
3931.00,99.65
3930.00,99.63
3929.00,99.64
3928.00,99.65
3927.00,99.62
3926.00,99.59
3925.00,99.61
3924.00,99.65
3923.00,99.68
3922.00,99.69
3921.00,99.71
3920.00,99.75
3919.00,99.76
3918.00,99.74
3917.00,99.72
3916.00,99.72
3915.00,99.71
3914.00,99.68
3913.00,99.65
3912.00,99.65
3911.00,99.65
3910.00,99.65
3909.00,99.65
3908.00,99.65
3907.00,99.64
3906.00,99.65
3905.00,99.74
3904.00,99.89
3903.00,100.00
3902.00,99.98
3901.00,99.88
3900.00,99.79
3899.00,99.76
3898.00,99.76
3897.00,99.74
3896.00,99.73
3895.00,99.73
3894.00,99.72
3893.00,99.68
3892.00,99.66
3891.00,99.73
3890.00,99.83
3889.00,99.88
3888.00,99.85
3887.00,99.83
3886.00,99.84
3885.00,99.85
3884.00,99.79
3883.00,99.67
3882.00,99.58
3881.00,99.61
3880.00,99.71
3879.00,99.79
3878.00,99.80
3877.00,99.73
3876.00,99.65
3875.00,99.66
3874.00,99.74
3873.00,99.82
3872.00,99.80
3871.00,99.77
3870.00,99.85
3869.00,99.94
3868.00,99.91
3867.00,99.78
3866.00,99.74
3865.00,99.79
3864.00,99.81
3863.00,99.77
3862.00,99.76
3861.00,99.81
3860.00,99.82
3859.00,99.78
3858.00,99.72
3857.00,99.69
3856.00,99.72
3855.00,99.78
3854.00,99.83
3853.00,99.88
3852.00,99.89
3851.00,99.85
3850.00,99.83
3849.00,99.86
3848.00,99.87
3847.00,99.82
3846.00,99.76
3845.00,99.73
3844.00,99.73
3843.00,99.75
3842.00,99.78
3841.00,99.76
3840.00,99.73
3839.00,99.73
3838.00,99.75
3837.00,99.75
3836.00,99.75
3835.00,99.77
3834.00,99.78
3833.00,99.78
3832.00,99.78
3831.00,99.80
3830.00,99.80
3829.00,99.75
3828.00,99.68
3827.00,99.68
3826.00,99.79
3825.00,99.88
3824.00,99.88
3823.00,99.82
3822.00,99.80
3821.00,99.85
3820.00,99.92
3819.00,99.89
3818.00,99.81
3817.00,99.79
3816.00,99.84
3815.00,99.86
3814.00,99.80
3813.00,99.72
3812.00,99.74
3811.00,99.84
3810.00,99.90
3809.00,99.87
3808.00,99.84
3807.00,99.89
3806.00,99.97
3805.00,99.95
3804.00,99.85
3803.00,99.78
3802.00,99.80
3801.00,99.83
3800.00,99.80
3799.00,99.73
3798.00,99.69
3797.00,99.74
3796.00,99.79
3795.00,99.78
3794.00,99.72
3793.00,99.68
3792.00,99.68
3791.00,99.69
3790.00,99.69
3789.00,99.68
3788.00,99.68
3787.00,99.67
3786.00,99.65
3785.00,99.66
3784.00,99.69
3783.00,99.71
3782.00,99.68
3781.00,99.64
3780.00,99.64
3779.00,99.69
3778.00,99.73
3777.00,99.71
