Created as New Dataset,Sample 002 By Administrator Date Monday, October 27 2025
cm-1,%T
4000.00,101.28
3999.00,101.28
3998.00,101.29
3997.00,101.29
3996.00,101.30
3995.00,101.29
3994.00,101.30
3993.00,101.32
3992.00,101.33
3991.00,101.32
3990.00,101.31
3989.00,101.30
3988.00,101.30
3987.00,101.29
3986.00,101.29
3985.00,101.28
3984.00,101.29
3983.00,101.30
3982.00,101.30
3981.00,101.30
3980.00,101.31
3979.00,101.31
3978.00,101.31
3977.00,101.31
3976.00,101.31
3975.00,101.32
3974.00,101.34
3973.00,101.34
3972.00,101.34
3971.00,101.34
3970.00,101.33
3969.00,101.32
3968.00,101.32
3967.00,101.32
3966.00,101.32
3965.00,101.32
3964.00,101.31
3963.00,101.30
3962.00,101.30
3961.00,101.32
3960.00,101.35
3959.00,101.36
3958.00,101.34
3957.00,101.32
3956.00,101.31
3955.00,101.32
3954.00,101.35
3953.00,101.39
3952.00,101.42
3951.00,101.43
3950.00,101.41
3949.00,101.38
3948.00,101.36
3947.00,101.39
3946.00,101.47
3945.00,101.54
3944.00,101.53
3943.00,101.47
3942.00,101.43
3941.00,101.44
3940.00,101.44
3939.00,101.40
3938.00,101.32
3937.00,101.27
3936.00,101.29
3935.00,101.33
3934.00,101.32
3933.00,101.30
3932.00,101.31
3931.00,101.38
3930.00,101.44
3929.00,101.49
3928.00,101.54
3927.00,101.58
3926.00,101.57
3925.00,101.49
3924.00,101.45
3923.00,101.49
3922.00,101.51
3921.00,101.44
3920.00,101.32
3919.00,101.26
3918.00,101.27
3917.00,101.28
3916.00,101.30
3915.00,101.36
3914.00,101.42
3913.00,101.40
3912.00,101.32
3911.00,101.28
3910.00,101.29
3909.00,101.33
3908.00,101.40
3907.00,101.54
3906.00,101.65
3905.00,101.61
3904.00,101.44
3903.00,101.33
3902.00,101.38
3901.00,101.49
3900.00,101.51
3899.00,101.46
3898.00,101.44
3897.00,101.46
3896.00,101.43
3895.00,101.39
3894.00,101.44
3893.00,101.56
3892.00,101.58
3891.00,101.41
3890.00,101.22
3889.00,101.19
3888.00,101.25
3887.00,101.18
3886.00,101.01
3885.00,101.02
3884.00,101.28
3883.00,101.59
3882.00,101.67
3881.00,101.48
3880.00,101.31
3879.00,101.33
3878.00,101.46
3877.00,101.55
3876.00,101.44
3875.00,101.18
3874.00,101.06
3873.00,101.25
3872.00,101.56
3871.00,101.56
3870.00,101.22
3869.00,101.02
3868.00,101.26
3867.00,101.62
3866.00,101.61
3865.00,101.35
3864.00,101.26
3863.00,101.40
3862.00,101.46
3861.00,101.35
3860.00,101.13
3859.00,100.84
3858.00,100.50
3857.00,100.30
3856.00,100.39
3855.00,100.53
3854.00,100.42
3853.00,100.29
3852.00,100.43
3851.00,100.80
3850.00,101.05
3849.00,101.10
3848.00,101.11
3847.00,101.16
3846.00,101.18
3845.00,101.17
3844.00,101.15
3843.00,101.13
3842.00,101.08
3841.00,101.11
3840.00,101.24
3839.00,101.35
3838.00,101.37
3837.00,101.34
3836.00,101.35
3835.00,101.43
3834.00,101.49
3833.00,101.47
3832.00,101.35
3831.00,101.24
3830.00,101.20
3829.00,101.25
3828.00,101.24
3827.00,101.10
3826.00,100.94
3825.00,100.96
3824.00,101.20
3823.00,101.34
3822.00,101.15
3821.00,100.86
3820.00,100.80
3819.00,101.05
3818.00,101.29
3817.00,101.15
3816.00,100.78
3815.00,100.68
3814.00,100.96
3813.00,101.24
3812.00,101.21
3811.00,100.98
3810.00,100.91
3809.00,101.05
3808.00,101.07
3807.00,100.85
3806.00,100.63
3805.00,100.71
3804.00,100.99
3803.00,101.11
3802.00,100.93
3801.00,100.82
3800.00,100.98
3799.00,101.24
3798.00,101.33
3797.00,101.20
3796.00,101.11
3795.00,101.20
3794.00,101.34
3793.00,101.37
3792.00,101.29
3791.00,101.23
3790.00,101.25
3789.00,101.28
3788.00,101.26
3787.00,101.21
3786.00,101.16
3785.00,101.15
3784.00,101.18
3783.00,101.25
3782.00,101.29
3781.00,101.24
3780.00,101.12
3779.00,101.10
3778.00,101.22
3777.00,101.37
3776.00,101.39
3775.00,101.25
3774.00,101.11
3773.00,101.11
3772.00,101.15
3771.00,101.08
3770.00,101.00
3769.00,101.09
3768.00,101.28
3767.00,101.36
3766.00,101.24
3765.00,101.11
3764.00,101.12
3763.00,101.24
3762.00,101.26
3761.00,101.14
3760.00,101.06
3759.00,101.13
3758.00,101.15
3757.00,100.99
3756.00,100.75
3755.00,100.51
3754.00,100.21
3753.00,99.86
3752.00,99.67
3751.00,99.72
3750.00,99.75
3749.00,99.64
3748.00,99.68
3747.00,100.02
3746.00,100.28
3745.00,100.10
3744.00,99.93
3743.00,100.13
3742.00,100.50
3741.00,100.62
3740.00,100.46
3739.00,100.43
3738.00,100.67
3737.00,100.84
3736.00,100.87
3735.00,101.00
3734.00,101.22
3733.00,101.26
3732.00,101.08
3731.00,100.93
3730.00,100.98
3729.00,101.11
3728.00,101.15
3727.00,101.08
3726.00,101.08
3725.00,101.19
3724.00,101.28
3723.00,101.28
3722.00,101.23
3721.00,101.23
3720.00,101.25
3719.00,101.27
3718.00,101.20
3717.00,101.07
3716.00,100.96
3715.00,100.90
3714.00,100.81
3713.00,100.70
3712.00,100.72
3711.00,100.89
3710.00,101.07
3709.00,101.17
3708.00,101.20
3707.00,101.17
3706.00,101.13
3705.00,101.14
3704.00,101.18
3703.00,101.21
3702.00,101.21
3701.00,101.23
3700.00,101.28
3699.00,101.32
3698.00,101.25
3697.00,101.08
3696.00,100.99
3695.00,101.03
3694.00,101.02
3693.00,100.89
3692.00,100.79
3691.00,100.89
3690.00,101.03
3689.00,100.99
3688.00,100.85
3687.00,100.82
3686.00,100.94
3685.00,101.04
3684.00,101.02
3683.00,100.96
3682.00,100.94
3681.00,100.86
3680.00,100.69
3679.00,100.64
3678.00,100.82
3677.00,100.92
3676.00,100.70
3675.00,100.53
3674.00,100.71
3673.00,101.16
3672.00,101.42
3671.00,101.20
3670.00,100.92
3669.00,100.93
3668.00,101.12
3667.00,101.26
3666.00,101.23
3665.00,101.12
3664.00,101.04
3663.00,101.03
3662.00,101.04
3661.00,100.99
3660.00,100.94
3659.00,101.00
3658.00,101.08
3657.00,101.04
3656.00,100.91
3655.00,100.86
3654.00,100.96
3653.00,101.05
3652.00,101.00
3651.00,100.94
3650.00,101.06
3649.00,101.17
3648.00,101.10
3647.00,101.02
3646.00,101.07
3645.00,101.17
3644.00,101.14
3643.00,101.03
3642.00,100.96
3641.00,100.98
3640.00,100.99
3639.00,100.95
3638.00,100.91
3637.00,100.92
3636.00,100.94
3635.00,100.85
3634.00,100.66
3633.00,100.54
3632.00,100.61
3631.00,100.75
3630.00,100.72
3629.00,100.60
3628.00,100.59
3627.00,100.70
3626.00,100.82
3625.00,100.81
3624.00,100.74
3623.00,100.80
3622.00,101.02
3621.00,101.24
3620.00,101.31
3619.00,101.25
3618.00,101.13
