Created as New Dataset,Sample 003 By Administrator Date Monday, October 27 2025
cm-1,%T
4000.00,100.07
3999.00,100.07
3998.00,100.08
3997.00,100.10
3996.00,100.10
3995.00,100.10
3994.00,100.10
3993.00,100.11
3992.00,100.12
3991.00,100.11
3990.00,100.09
3989.00,100.09
3988.00,100.09
3987.00,100.09
3986.00,100.09
3985.00,100.09
3984.00,100.09
3983.00,100.10
3982.00,100.11
3981.00,100.10
3980.00,100.10
3979.00,100.10
3978.00,100.10
3977.00,100.10
3976.00,100.11
3975.00,100.12
3974.00,100.13
3973.00,100.13
3972.00,100.13
3971.00,100.13
3970.00,100.13
3969.00,100.12
3968.00,100.12
3967.00,100.12
3966.00,100.12
3965.00,100.11
3964.00,100.10
3963.00,100.10
3962.00,100.10
3961.00,100.11
3960.00,100.14
3959.00,100.15
3958.00,100.14
3957.00,100.12
3956.00,100.11
3955.00,100.13
3954.00,100.16
3953.00,100.20
3952.00,100.23
3951.00,100.23
3950.00,100.20
3949.00,100.15
3948.00,100.12
3947.00,100.14
3946.00,100.22
3945.00,100.31
3944.00,100.33
3943.00,100.27
3942.00,100.22
3941.00,100.22
3940.00,100.22
3939.00,100.18
3938.00,100.11
3937.00,100.06
3936.00,100.08
3935.00,100.11
3934.00,100.11
3933.00,100.09
3932.00,100.12
3931.00,100.20
3930.00,100.27
3929.00,100.30
3928.00,100.34
3927.00,100.38
3926.00,100.37
3925.00,100.30
3924.00,100.24
3923.00,100.25
3922.00,100.27
3921.00,100.20
3920.00,100.08
3919.00,100.04
3918.00,100.06
3917.00,100.07
3916.00,100.09
3915.00,100.14
3914.00,100.20
3913.00,100.20
3912.00,100.12
3911.00,100.08
3910.00,100.09
3909.00,100.13
3908.00,100.21
3907.00,100.32
3906.00,100.40
3905.00,100.32
3904.00,100.11
3903.00,99.99
3902.00,100.07
3901.00,100.22
3900.00,100.28
3899.00,100.24
3898.00,100.22
3897.00,100.23
3896.00,100.21
3895.00,100.19
3894.00,100.24
3893.00,100.35
3892.00,100.34
3891.00,100.15
3890.00,99.94
3889.00,99.92
3888.00,100.00
3887.00,99.94
3886.00,99.76
3885.00,99.77
3884.00,100.05
3883.00,100.42
3882.00,100.55
3881.00,100.38
3880.00,100.17
3879.00,100.12
3878.00,100.22
3877.00,100.35
3876.00,100.29
3875.00,100.06
3874.00,99.90
3873.00,100.03
3872.00,100.29
3871.00,100.26
3870.00,99.90
3869.00,99.70
3868.00,99.95
3867.00,100.34
3866.00,100.38
3865.00,100.13
3864.00,100.04
3863.00,100.18
3862.00,100.23
3861.00,100.11
3860.00,99.90
3859.00,99.66
3858.00,99.42
3857.00,99.33
3856.00,99.48
3855.00,99.55
3854.00,99.33
3853.00,99.11
3852.00,99.21
3851.00,99.56
3850.00,99.83
3849.00,99.89
3848.00,99.91
3847.00,99.97
3846.00,100.02
3845.00,100.03
3844.00,100.01
3843.00,99.97
3842.00,99.91
3841.00,99.94
3840.00,100.04
3839.00,100.09
3838.00,100.09
3837.00,100.06
3836.00,100.08
3835.00,100.17
3834.00,100.26
3833.00,100.25
3832.00,100.14
3831.00,100.03
3830.00,100.02
3829.00,100.11
3828.00,100.14
3827.00,100.01
3826.00,99.82
3825.00,99.81
3824.00,100.03
3823.00,100.16
3822.00,99.97
3821.00,99.68
3820.00,99.61
3819.00,99.84
3818.00,100.08
3817.00,99.93
3816.00,99.57
3815.00,99.47
3814.00,99.74
3813.00,100.03
3812.00,100.00
3811.00,99.77
3810.00,99.70
3809.00,99.84
3808.00,99.85
3807.00,99.61
3806.00,99.39
3805.00,99.50
3804.00,99.83
3803.00,99.96
3802.00,99.79
3801.00,99.68
3800.00,99.84
3799.00,100.12
3798.00,100.23
3797.00,100.09
3796.00,99.97
3795.00,100.03
3794.00,100.16
3793.00,100.20
3792.00,100.13
3791.00,100.08
3790.00,100.09
3789.00,100.13
3788.00,100.13
3787.00,100.11
3786.00,100.09
3785.00,100.07
3784.00,100.07
3783.00,100.13
3782.00,100.19
3781.00,100.17
3780.00,100.07
3779.00,100.01
3778.00,100.08
3777.00,100.20
3776.00,100.21
3775.00,100.07
3774.00,99.94
3773.00,99.95
3772.00,100.01
3771.00,99.95
3770.00,99.85
3769.00,99.92
3768.00,100.11
3767.00,100.20
3766.00,100.09
3765.00,99.95
3764.00,99.95
3763.00,100.07
3762.00,100.12
3761.00,100.02
3760.00,99.95
3759.00,100.00
3758.00,100.00
3757.00,99.83
3756.00,99.60
3755.00,99.40
3754.00,99.12
3753.00,98.75
3752.00,98.54
3751.00,98.58
3750.00,98.60
3749.00,98.48
3748.00,98.53
3747.00,98.94
3746.00,99.25
3745.00,99.08
3744.00,98.87
3743.00,99.00
3742.00,99.33
3741.00,99.44
3740.00,99.27
3739.00,99.20
3738.00,99.37
3737.00,99.52
3736.00,99.56
3735.00,99.72
3734.00,99.97
3733.00,100.03
3732.00,99.86
3731.00,99.72
3730.00,99.76
3729.00,99.89
3728.00,99.92
3727.00,99.86
3726.00,99.87
3725.00,100.02
3724.00,100.14
3723.00,100.15
3722.00,100.10
3721.00,100.09
3720.00,100.11
3719.00,100.12
3718.00,100.03
3717.00,99.88
3716.00,99.76
3715.00,99.71
3714.00,99.63
3713.00,99.53
3712.00,99.57
3711.00,99.75
3710.00,99.92
3709.00,100.01
3708.00,100.03
3707.00,100.00
3706.00,99.97
3705.00,99.99
3704.00,100.05
3703.00,100.09
3702.00,100.09
3701.00,100.08
3700.00,100.12
3699.00,100.16
3698.00,100.10
3697.00,99.95
3696.00,99.86
3695.00,99.90
3694.00,99.91
3693.00,99.80
3692.00,99.71
3691.00,99.78
3690.00,99.85
3689.00,99.77
3688.00,99.62
3687.00,99.61
3686.00,99.74
3685.00,99.85
3684.00,99.84
3683.00,99.79
3682.00,99.79
3681.00,99.72
3680.00,99.55
3679.00,99.47
3678.00,99.60
3677.00,99.66
3676.00,99.43
3675.00,99.26
3674.00,99.42
3673.00,99.84
3672.00,100.07
3671.00,99.86
