Created as New Dataset,Sample 002 By Administrator Date Tuesday, October 14 2025
cm-1,A
4000.00,-0.0006
3999.00,-0.0005
3998.00,-0.0005
3997.00,-0.0005
3996.00,-0.0005
3995.00,-0.0005
3994.00,-0.0005
3993.00,-0.0005
3992.00,-0.0005
3991.00,-0.0005
3990.00,-0.0005
3989.00,-0.0005
3988.00,-0.0006
3987.00,-0.0006
3986.00,-0.0006
3985.00,-0.0006
3984.00,-0.0006
3983.00,-0.0006
3982.00,-0.0006
3981.00,-0.0005
3980.00,-0.0004
3979.00,-0.0004
3978.00,-0.0004
3977.00,-0.0004
3976.00,-0.0005
3975.00,-0.0005
3974.00,-0.0006
3973.00,-0.0006
3972.00,-0.0006
3971.00,-0.0005
3970.00,-0.0005
3969.00,-0.0004
3968.00,-0.0004
3967.00,-0.0004
3966.00,-0.0004
3965.00,-0.0004
3964.00,-0.0004
3963.00,-0.0005
3962.00,-0.0005
3961.00,-0.0005
3960.00,-0.0005
3959.00,-0.0005
3958.00,-0.0006
3957.00,-0.0006
3956.00,-0.0006
3955.00,-0.0006
3954.00,-0.0006
3953.00,-0.0006
3952.00,-0.0006
3951.00,-0.0006
3950.00,-0.0005
3949.00,-0.0005
3948.00,-0.0004
3947.00,-0.0003
3946.00,-0.0004
3945.00,-0.0006
3944.00,-0.0007
3943.00,-0.0007
3942.00,-0.0005
3941.00,-0.0004
3940.00,-0.0005
3939.00,-0.0005
3938.00,-0.0004
3937.00,-0.0003
3936.00,-0.0003
3935.00,-0.0003
3934.00,-0.0004
3933.00,-0.0004
3932.00,-0.0004
3931.00,-0.0006
3930.00,-0.0006
3929.00,-0.0006
3928.00,-0.0006
3927.00,-0.0008
3926.00,-0.0009
3925.00,-0.0007
3924.00,-0.0005
3923.00,-0.0003
3922.00,-0.0003
3921.00,-0.0003
3920.00,-0.0001
3919.00,-0.0001
3918.00,-0.0002
3917.00,-0.0003
3916.00,-0.0003
3915.00,-0.0004
3914.00,-0.0005
3913.00,-0.0005
3912.00,-0.0005
3911.00,-0.0005
3910.00,-0.0005
3909.00,-0.0005
3908.00,-0.0006
3907.00,-0.0007
3906.00,-0.0007
3905.00,-0.0004
3904.00,0.0002
3903.00,0.0007
3902.00,0.0006
3901.00,0.0001
3900.00,-0.0002
3899.00,-0.0003
3898.00,-0.0003
3897.00,-0.0003
3896.00,-0.0003
3895.00,-0.0002
3894.00,-0.0003
3893.00,-0.0005
3892.00,-0.0007
3891.00,-0.0004
3890.00,0.0000
3889.00,0.0003
3888.00,0.0002
3887.00,0.0001
3886.00,0.0002
3885.00,0.0002
3884.00,-0.0000
3883.00,-0.0006
3882.00,-0.0010
3881.00,-0.0010
3880.00,-0.0006
3879.00,-0.0002
3878.00,-0.0001
3877.00,-0.0003
3876.00,-0.0006
3875.00,-0.0005
3874.00,-0.0001
3873.00,0.0002
3872.00,0.0001
3871.00,0.0000
3870.00,0.0003
3869.00,0.0006
3868.00,0.0005
3867.00,-0.0000
3866.00,-0.0002
3865.00,0.0001
3864.00,0.0002
3863.00,-0.0001
3862.00,-0.0001
3861.00,0.0000
3860.00,0.0001
3859.00,-0.0001
3858.00,-0.0004
3857.00,-0.0006
3856.00,-0.0007
3855.00,-0.0004
3854.00,-0.0001
3853.00,0.0003
3852.00,0.0006
3851.00,0.0006
3850.00,0.0005
3849.00,0.0005
3848.00,0.0005
3847.00,0.0003
3846.00,0.0000
3845.00,-0.0001
3844.00,-0.0002
3843.00,-0.0001
3842.00,0.0001
3841.00,0.0000
3840.00,-0.0001
3839.00,-0.0001
3838.00,-0.0001
3837.00,-0.0002
3836.00,-0.0002
3835.00,-0.0001
3834.00,-0.0001
3833.00,-0.0001
3832.00,-0.0001
3831.00,0.0000
3830.00,0.0001
3829.00,-0.0001
3828.00,-0.0004
3827.00,-0.0004
3826.00,0.0000
3825.00,0.0004
3824.00,0.0005
3823.00,0.0003
3822.00,0.0002
3821.00,0.0004
3820.00,0.0006
3819.00,0.0005
3818.00,0.0001
3817.00,0.0001
3816.00,0.0003
3815.00,0.0004
3814.00,0.0002
3813.00,-0.0002
3812.00,-0.0001
3811.00,0.0003
3810.00,0.0006
3809.00,0.0004
3808.00,0.0003
3807.00,0.0004
3806.00,0.0008
3805.00,0.0008
3804.00,0.0004
3803.00,0.0001
3802.00,0.0001
3801.00,0.0002
3800.00,0.0001
3799.00,-0.0002
3798.00,-0.0004
3797.00,-0.0003
3796.00,-0.0001
3795.00,-0.0001
3794.00,-0.0003
3793.00,-0.0004
3792.00,-0.0004
3791.00,-0.0004
3790.00,-0.0004
3789.00,-0.0005
3788.00,-0.0005
3787.00,-0.0005
3786.00,-0.0006
3785.00,-0.0006
3784.00,-0.0005
3783.00,-0.0004
3782.00,-0.0005
3781.00,-0.0007
3780.00,-0.0007
3779.00,-0.0006
3778.00,-0.0004
3777.00,-0.0004
3776.00,-0.0005
3775.00,-0.0003
3774.00,-0.0000
3773.00,-0.0000
3772.00,-0.0002
3771.00,-0.0002
3770.00,-0.0000
3769.00,0.0000
3768.00,-0.0001
3767.00,-0.0003
3766.00,-0.0002
3765.00,-0.0000
3764.00,0.0001
3763.00,0.0000
3762.00,-0.0002
3761.00,-0.0002
3760.00,-0.0002
3759.00,-0.0002
3758.00,-0.0001
3757.00,0.0001
3756.00,0.0003
3755.00,0.0005
3754.00,0.0009
3753.00,0.0016
3752.00,0.0022
3751.00,0.0023
3750.00,0.0022
3749.00,0.0022
3748.00,0.0020
3747.00,0.0011
3746.00,0.0002
3745.00,-0.0000
3744.00,0.0004
3743.00,0.0008
3742.00,0.0010
3741.00,0.0011
3740.00,0.0016
3739.00,0.0020
3738.00,0.0018
3737.00,0.0015
3736.00,0.0013
3735.00,0.0011
3734.00,0.0008
3733.00,0.0006
3732.00,0.0007
3731.00,0.0007
3730.00,0.0006
3729.00,0.0005
3728.00,0.0005
3727.00,0.0005
3726.00,0.0004
3725.00,0.0001
3724.00,-0.0002
3723.00,-0.0003
3722.00,-0.0003
3721.00,-0.0002
3720.00,-0.0003
3719.00,-0.0003
3718.00,-0.0002
3717.00,0.0001
3716.00,0.0004
3715.00,0.0006
3714.00,0.0008
3713.00,0.0011
3712.00,0.0009
3711.00,0.0005
3710.00,0.0002
3709.00,0.0001
3708.00,0.0001
3707.00,0.0001
3706.00,0.0001
3705.00,0.0000
3704.00,-0.0002
3703.00,-0.0005
3702.00,-0.0006
3701.00,-0.0005
3700.00,-0.0004
3699.00,-0.0004
3698.00,-0.0003
3697.00,-0.0002
3696.00,-0.0001
3695.00,-0.0002
3694.00,-0.0003
3693.00,-0.0002
3692.00,-0.0000
3691.00,0.0001
3690.00,0.0002
3689.00,0.0004
3688.00,0.0006
3687.00,0.0005
3686.00,0.0004
3685.00,0.0002
3684.00,0.0002
3683.00,0.0003
3682.00,0.0001
3681.00,-0.0001
3680.00,0.0002
3679.00,0.0007
3678.00,0.0012
3677.00,0.0013
3676.00,0.0013
3675.00,0.0012
3674.00,0.0012
3673.00,0.0009
3672.00,0.0007
3671.00,0.0008
3670.00,0.0008
3669.00,0.0005
3668.00,0.0003
3667.00,0.0001
3666.00,0.0000
3665.00,0.0000
3664.00,-0.0000
3663.00,-0.0001
3662.00,-0.0003
3661.00,-0.0002
3660.00,0.0000
3659.00,0.0002
3658.00,0.0003
3657.00,0.0002
3656.00,0.0004
3655.00,0.0005
3654.00,0.0005
3653.00,0.0005
3652.00,0.0009
3651.00,0.0015
3650.00,0.0016
3649.00,0.0010
3648.00,0.0005
3647.00,0.0003
3646.00,0.0002
3645.00,0.0000
3644.00,-0.0000
3643.00,-0.0001
3642.00,-0.0002
3641.00,-0.0003
3640.00,-0.0004
3639.00,-0.0004
3638.00,-0.0003
3637.00,-0.0002
3636.00,-0.0002
3635.00,-0.0002
3634.00,0.0001
3633.00,0.0004
3632.00,0.0007
3631.00,0.0010
3630.00,0.0012
3629.00,0.0013
3628.00,0.0011
3627.00,0.0008
3626.00,0.0005
3625.00,0.0004
3624.00,0.0004
3623.00,0.0004
3622.00,0.0001
3621.00,-0.0001
3620.00,-0.0002
3619.00,-0.0002
3618.00,-0.0001
3617.00,0.0001
3616.00,0.0002
3615.00,0.0002
3614.00,0.0003
3613.00,0.0006
3612.00,0.0008
3611.00,0.0008
3610.00,0.0008
3609.00,0.0007
3608.00,0.0005
3607.00,0.0002
3606.00,-0.0000
3605.00,-0.0001
3604.00,-0.0002
3603.00,-0.0002
3602.00,-0.0003
3601.00,-0.0002
3600.00,-0.0002
3599.00,-0.0002
3598.00,-0.0002
3597.00,-0.0002
3596.00,-0.0002
3595.00,-0.0002
3594.00,-0.0002
3593.00,0.0000
3592.00,0.0002
3591.00,0.0003
3590.00,0.0003
3589.00,0.0003
3588.00,0.0001
3587.00,-0.0000
3586.00,-0.0001
3585.00,-0.0001
3584.00,-0.0001
3583.00,-0.0002
3582.00,-0.0003
3581.00,-0.0003
3580.00,-0.0004
3579.00,-0.0004
3578.00,-0.0004
3577.00,-0.0004
3576.00,-0.0003
3575.00,-0.0003
3574.00,-0.0003
3573.00,-0.0002
3572.00,-0.0001
3571.00,0.0001
3570.00,0.0002
3569.00,0.0003
3568.00,0.0003
3567.00,0.0002
3566.00,0.0000
3565.00,-0.0001
3564.00,-0.0002
3563.00,-0.0002
3562.00,-0.0003
3561.00,-0.0003
3560.00,-0.0003
3559.00,-0.0003
3558.00,-0.0003
3557.00,-0.0003
3556.00,-0.0002
3555.00,-0.0003
3554.00,-0.0003
3553.00,-0.0003
3552.00,-0.0003
3551.00,-0.0002
3550.00,-0.0001
3549.00,0.0000
3548.00,0.0001
3547.00,0.0001
3546.00,-0.0000
3545.00,-0.0001
3544.00,-0.0002
3543.00,-0.0003
3542.00,-0.0003
3541.00,-0.0003
3540.00,-0.0003
3539.00,-0.0004
3538.00,-0.0004
3537.00,-0.0004
3536.00,-0.0004
3535.00,-0.0003
3534.00,-0.0003
3533.00,-0.0003
3532.00,-0.0003
3531.00,-0.0004
3530.00,-0.0004
3529.00,-0.0004
3528.00,-0.0002
3527.00,-0.0001
3526.00,-0.0001
3525.00,-0.0001
3524.00,-0.0002
3523.00,-0.0003
3522.00,-0.0003
3521.00,-0.0003
3520.00,-0.0003
3519.00,-0.0003
3518.00,-0.0003
3517.00,-0.0003
3516.00,-0.0003
3515.00,-0.0003
3514.00,-0.0003
3513.00,-0.0003
3512.00,-0.0003
3511.00,-0.0003
3510.00,-0.0003
3509.00,-0.0003
3508.00,-0.0003
3507.00,-0.0003
3506.00,-0.0003
3505.00,-0.0002
3504.00,-0.0002
3503.00,-0.0001
3502.00,-0.0001
3501.00,-0.0001
3500.00,-0.0001
3499.00,-0.0002
3498.00,-0.0003
3497.00,-0.0003
3496.00,-0.0004
3495.00,-0.0004
3494.00,-0.0004
3493.00,-0.0003
3492.00,-0.0003
3491.00,-0.0003
3490.00,-0.0003
3489.00,-0.0003
3488.00,-0.0003
3487.00,-0.0003
3486.00,-0.0003
3485.00,-0.0003
3484.00,-0.0003
3483.00,-0.0003
3482.00,-0.0003
3481.00,-0.0002
3480.00,-0.0002
3479.00,-0.0002
3478.00,-0.0002
3477.00,-0.0002
3476.00,-0.0003
3475.00,-0.0003
3474.00,-0.0003
3473.00,-0.0003
3472.00,-0.0002
3471.00,-0.0002
3470.00,-0.0002
3469.00,-0.0002
3468.00,-0.0002
3467.00,-0.0002
3466.00,-0.0003
3465.00,-0.0003
3464.00,-0.0003
3463.00,-0.0003
3462.00,-0.0003
3461.00,-0.0003
3460.00,-0.0003
3459.00,-0.0003
3458.00,-0.0004
3457.00,-0.0003
3456.00,-0.0003
3455.00,-0.0003
3454.00,-0.0003
3453.00,-0.0003
3452.00,-0.0003
3451.00,-0.0003
3450.00,-0.0003
3449.00,-0.0003
3448.00,-0.0003
3447.00,-0.0003
3446.00,-0.0003
3445.00,-0.0002
3444.00,-0.0003
3443.00,-0.0003
3442.00,-0.0003
3441.00,-0.0003
3440.00,-0.0003
3439.00,-0.0003
3438.00,-0.0002
3437.00,-0.0002
3436.00,-0.0002
3435.00,-0.0002
3434.00,-0.0002
3433.00,-0.0002
3432.00,-0.0002
3431.00,-0.0003
3430.00,-0.0003
3429.00,-0.0003
3428.00,-0.0003
3427.00,-0.0004
3426.00,-0.0004
3425.00,-0.0003
3424.00,-0.0003
3423.00,-0.0003
3422.00,-0.0003
3421.00,-0.0003
3420.00,-0.0003
3419.00,-0.0003
3418.00,-0.0003
3417.00,-0.0003
3416.00,-0.0003
3415.00,-0.0003
3414.00,-0.0003
3413.00,-0.0003
3412.00,-0.0003
3411.00,-0.0003
3410.00,-0.0003
3409.00,-0.0003
3408.00,-0.0003
3407.00,-0.0003
3406.00,-0.0002
3405.00,-0.0002
3404.00,-0.0002
3403.00,-0.0002
3402.00,-0.0002
3401.00,-0.0002
3400.00,-0.0003
3399.00,-0.0003
3398.00,-0.0003
3397.00,-0.0003
3396.00,-0.0003
3395.00,-0.0003
3394.00,-0.0003
3393.00,-0.0003
3392.00,-0.0002
3391.00,-0.0002
3390.00,-0.0002
3389.00,-0.0003
3388.00,-0.0003
3387.00,-0.0004
3386.00,-0.0004
3385.00,-0.0004
3384.00,-0.0004
3383.00,-0.0004
3382.00,-0.0003
3381.00,-0.0003
3380.00,-0.0003
3379.00,-0.0003
3378.00,-0.0003
3377.00,-0.0003
3376.00,-0.0003
3375.00,-0.0003
3374.00,-0.0002
3373.00,-0.0002
3372.00,-0.0002
3371.00,-0.0002
3370.00,-0.0002
3369.00,-0.0002
3368.00,-0.0002
3367.00,-0.0002
3366.00,-0.0003
3365.00,-0.0003
3364.00,-0.0003
3363.00,-0.0003
3362.00,-0.0003
3361.00,-0.0002
3360.00,-0.0002
3359.00,-0.0003
3358.00,-0.0003
3357.00,-0.0003
3356.00,-0.0003
3355.00,-0.0003
3354.00,-0.0003
3353.00,-0.0003
3352.00,-0.0003
3351.00,-0.0003
3350.00,-0.0003
3349.00,-0.0003
3348.00,-0.0003
3347.00,-0.0003
3346.00,-0.0004
3345.00,-0.0003
3344.00,-0.0003
3343.00,-0.0004
3342.00,-0.0004
3341.00,-0.0003
3340.00,-0.0003
3339.00,-0.0003
3338.00,-0.0003
3337.00,-0.0003
3336.00,-0.0003
3335.00,-0.0003
3334.00,-0.0004
3333.00,-0.0003
3332.00,-0.0003
3331.00,-0.0003
3330.00,-0.0003
3329.00,-0.0003
3328.00,-0.0003
3327.00,-0.0003
3326.00,-0.0004
3325.00,-0.0004
3324.00,-0.0004
3323.00,-0.0004
3322.00,-0.0004
3321.00,-0.0004
3320.00,-0.0004
3319.00,-0.0004
3318.00,-0.0003
3317.00,-0.0003
3316.00,-0.0003
3315.00,-0.0003
3314.00,-0.0003
3313.00,-0.0003
3312.00,-0.0003
3311.00,-0.0004
3310.00,-0.0003
3309.00,-0.0003
3308.00,-0.0003
3307.00,-0.0003
3306.00,-0.0003
3305.00,-0.0003
3304.00,-0.0004
3303.00,-0.0004
3302.00,-0.0004
3301.00,-0.0004
3300.00,-0.0003
3299.00,-0.0004
3298.00,-0.0004
3297.00,-0.0003
3296.00,-0.0003
3295.00,-0.0003
3294.00,-0.0003
3293.00,-0.0003
3292.00,-0.0003
3291.00,-0.0003
3290.00,-0.0003
3289.00,-0.0004
3288.00,-0.0004
3287.00,-0.0004
3286.00,-0.0004
3285.00,-0.0004
3284.00,-0.0004
3283.00,-0.0004
3282.00,-0.0004
3281.00,-0.0003
3280.00,-0.0003
3279.00,-0.0003
3278.00,-0.0003
3277.00,-0.0003
3276.00,-0.0003
3275.00,-0.0003
3274.00,-0.0003
3273.00,-0.0003
3272.00,-0.0003
3271.00,-0.0003
3270.00,-0.0003
3269.00,-0.0003
3268.00,-0.0003
3267.00,-0.0004
3266.00,-0.0004
3265.00,-0.0005
3264.00,-0.0005
3263.00,-0.0005
3262.00,-0.0004
3261.00,-0.0004
3260.00,-0.0004
3259.00,-0.0004
3258.00,-0.0004
3257.00,-0.0004
3256.00,-0.0004
3255.00,-0.0004
3254.00,-0.0003
3253.00,-0.0003
3252.00,-0.0003
3251.00,-0.0003
3250.00,-0.0003
3249.00,-0.0003
3248.00,-0.0003
3247.00,-0.0003
3246.00,-0.0003
3245.00,-0.0003
3244.00,-0.0003
3243.00,-0.0003
3242.00,-0.0003
3241.00,-0.0003
3240.00,-0.0004
3239.00,-0.0004
3238.00,-0.0004
3237.00,-0.0004
3236.00,-0.0004
3235.00,-0.0004
3234.00,-0.0003
3233.00,-0.0003
3232.00,-0.0003
3231.00,-0.0004
3230.00,-0.0004
3229.00,-0.0004
3228.00,-0.0004
3227.00,-0.0005
3226.00,-0.0005
3225.00,-0.0005
3224.00,-0.0004
3223.00,-0.0004
3222.00,-0.0004
3221.00,-0.0003
3220.00,-0.0003
3219.00,-0.0003
3218.00,-0.0003
3217.00,-0.0003
3216.00,-0.0003
3215.00,-0.0003
3214.00,-0.0004
3213.00,-0.0004
3212.00,-0.0004
3211.00,-0.0004
3210.00,-0.0004
3209.00,-0.0004
3208.00,-0.0003
3207.00,-0.0004
3206.00,-0.0004
3205.00,-0.0004
3204.00,-0.0004
3203.00,-0.0005
3202.00,-0.0005
3201.00,-0.0005
3200.00,-0.0005
3199.00,-0.0004
3198.00,-0.0004
3197.00,-0.0004
3196.00,-0.0004
3195.00,-0.0004
3194.00,-0.0004
3193.00,-0.0004
3192.00,-0.0004
3191.00,-0.0004
3190.00,-0.0004
3189.00,-0.0004
3188.00,-0.0004
3187.00,-0.0004
3186.00,-0.0004
3185.00,-0.0004
3184.00,-0.0004
3183.00,-0.0004
3182.00,-0.0004
3181.00,-0.0004
3180.00,-0.0004
3179.00,-0.0004
3178.00,-0.0004
3177.00,-0.0004
3176.00,-0.0004
3175.00,-0.0004
3174.00,-0.0004
3173.00,-0.0004
3172.00,-0.0005
3171.00,-0.0005
3170.00,-0.0005
3169.00,-0.0005
3168.00,-0.0005
3167.00,-0.0005
3166.00,-0.0005
3165.00,-0.0004
3164.00,-0.0004
3163.00,-0.0004
3162.00,-0.0004
