# Source: MESSENGER MASCS UVVS
# Product: UMC_OB5_65_15094_211347_SCI_DAT
# Type: CDR
# Target: MERCURY
# Observation: 2015-04-04T21:13:48 to 2015-04-05T00:48:29
# Units: wavelength_nm=W m^-2 sr^-1 nm^-1
#
wavelength_nm,radiance_w_m2_sr_nm
306.4205,1.153763e-04
306.6398,1.155504e-04
306.8592,1.223221e-04
307.0784,1.487889e-04
307.2977,1.674219e-04
307.5170,1.568644e-04
307.7362,1.774524e-04
307.9554,1.408046e-04
308.1746,1.619212e-04
308.3938,1.238619e-04
308.6129,1.570553e-04
308.8320,1.832739e-04
309.0511,1.085416e-04
309.2701,1.248075e-04
309.4891,1.751876e-04
309.7081,1.082171e-04
309.9271,1.476136e-04
310.1461,2.070679e-04
310.3649,1.312005e-04
310.5838,1.979005e-04
312.1153,2.350665e-04
312.3340,2.177764e-04
312.5527,3.113465e-04
312.7713,2.064847e-04
312.9899,2.428979e-04
313.2084,3.239552e-04
313.4270,1.872562e-04
313.6455,1.873593e-04
313.8640,3.055738e-04
314.0825,2.482849e-04
314.3009,2.476379e-04
314.5193,3.504835e-04
314.7377,1.994239e-04
314.9561,2.710386e-04
315.1744,3.189868e-04
315.3927,3.146652e-04
315.6110,3.528735e-04
417.3753,1.254117e-06
417.5786,1.240801e-06
417.7819,1.260689e-06
417.9852,1.224922e-06
418.1882,1.283697e-06
418.3914,1.196060e-06
418.5945,1.193430e-06
418.7975,1.134906e-06
419.0006,1.159914e-06
419.2036,1.220978e-06
419.4066,1.187355e-06
419.6095,1.097082e-06
419.8123,1.207914e-06
420.0152,1.190158e-06
420.2181,1.149060e-06
420.4209,1.145906e-06
420.6236,1.049775e-06
420.8263,1.133024e-06
421.0290,1.100272e-06
421.2316,1.176554e-06
421.4342,1.145351e-06
421.6368,1.130618e-06
421.8394,1.112451e-06
422.0419,1.118389e-06
422.2443,1.064234e-06
422.4467,1.029729e-06
422.6491,1.101975e-06
422.8515,1.146263e-06
423.0538,1.162396e-06
423.2560,1.049509e-06
423.4583,1.051282e-06
423.6606,1.028331e-06
423.8627,1.096038e-06
424.0648,1.039900e-06
426.8911,1.012782e-06
427.0927,9.968266e-07
427.2943,1.010430e-06
427.4958,1.054370e-06
427.6973,9.897134e-07
427.8988,1.048685e-06
428.1002,1.020109e-06
428.3015,1.014019e-06
428.5029,9.879912e-07
428.7043,9.743982e-07
428.9055,1.022457e-06
429.1068,1.010911e-06
429.3079,9.037072e-07
429.5091,9.786921e-07
429.7103,1.004415e-06
429.9113,9.523767e-07
430.1124,9.709142e-07
430.3135,9.391994e-07
430.5144,9.255892e-07
430.7154,8.858789e-07
430.9163,9.781133e-07
431.1171,8.950700e-07
431.3180,8.956944e-07
431.5188,8.848496e-07
431.7196,8.349210e-07
445.8797,7.283692e-07
446.0777,7.345974e-07
446.2758,7.152576e-07
446.4738,6.455080e-07
446.6718,6.705598e-07
446.8698,6.681405e-07
447.0677,7.286893e-07
447.2656,7.196650e-07
447.4634,6.667148e-07
447.6611,6.613669e-07
447.8589,7.026777e-07
448.0567,7.315962e-07
448.2543,6.379964e-07
448.4520,6.636240e-07
448.6496,6.614795e-07
448.8471,6.860029e-07
449.0447,7.203799e-07
605.6991,1.033324e-07
605.8572,1.141958e-07
606.0154,1.049734e-07
606.1735,1.149884e-07
606.3315,1.074636e-07
606.4895,1.083835e-07
606.6475,1.067674e-07
606.8053,1.106261e-07
606.9631,1.048123e-07
607.1209,1.039605e-07
607.2786,1.020557e-07
607.4363,1.098101e-07
607.5939,1.042377e-07
607.7515,1.047712e-07
607.9091,1.156310e-07
608.0665,1.042822e-07
608.2239,1.114536e-07
608.3813,1.122227e-07
608.5386,1.057954e-07
608.6959,1.044094e-07
608.8531,1.047550e-07
