# Source: MESSENGER MASCS UVVS
# Product: UMD_OB2_49_13044_005906_SCI_DAT
# Type: DDR
# Target: MERCURY
# Observation: 2013-02-13T00:59:08 to 2013-02-13T00:59:14
# Units: wavelength_nm=dimensionless
#
wavelength_nm,reflectance
210.0000,5.124222e-03
212.0000,5.963074e-03
214.0000,6.376733e-03
216.0000,6.133250e-03
218.0000,6.667911e-03
220.0000,6.102583e-03
222.0000,6.779391e-03
224.0000,6.438141e-03
226.0000,6.779760e-03
228.0000,6.012782e-03
230.0000,6.125262e-03
232.0000,6.891623e-03
234.0000,6.742977e-03
236.0000,7.296696e-03
238.0000,7.231677e-03
240.0000,7.201134e-03
242.0000,7.963692e-03
244.0000,8.144120e-03
246.0000,8.720903e-03
248.0000,9.272529e-03
250.0000,9.207808e-03
252.0000,1.002651e-02
254.0000,1.059021e-02
256.0000,1.063918e-02
258.0000,1.114130e-02
260.0000,1.147608e-02
262.0000,1.197737e-02
264.0000,1.237213e-02
266.0000,1.233101e-02
268.0000,1.248824e-02
270.0000,1.302658e-02
272.0000,1.327955e-02
274.0000,1.387885e-02
276.0000,1.403557e-02
278.0000,1.476708e-02
280.0000,1.589766e-02
282.0000,1.508470e-02
284.0000,1.571364e-02
286.0000,1.591594e-02
288.0000,1.666435e-02
290.0000,1.690137e-02
292.0000,1.779118e-02
294.0000,1.741930e-02
296.0000,1.826310e-02
298.0000,1.987989e-02
300.0000,1.946246e-02
