wavelength_nm,intensity_mean,
345.386,-28.668834,
345.605,-28.668834,
345.824,-28.668834,
346.044,20.631644,
346.263,-16.446906,
346.482,53.083892,
346.701,8.177842,
346.92,10.209656,
347.139,17.196304,
347.358,-8.067414,
347.577,-20.01422,
347.796,-14.841852,
348.015,-9.205452,
348.234,-8.519026,
348.453,12.250992,
348.672,-17.100088,
348.891,-23.196766,
349.11,-4.00848,
349.329,558.06499,
349.548,936.259088,
349.767,976.142714,
349.986,1065.086308,
350.205,1142.053896,
350.424,1206.416136,
350.643,1257.676764,
350.862,1313.852382,
351.08,1383.040966,
351.299,1433.18011,
351.518,1511.092842,
351.737,1594.020878,
351.956,1655.302812,
352.174,1796.287936,
352.393,1876.10836,
352.612,1949.596684,
352.831,2101.263858,
353.049,2283.587568,
353.268,2378.412608,
353.487,2590.55154,
353.705,2679.63285,
353.924,2834.805028,
354.143,2913.687694,
354.361,3089.24833,
354.58,3104.253288,
354.798,3153.863452,
355.017,3255.753268,
355.236,3187.512668,
355.454,3293.192062,
355.673,3375.584318,
355.891,3375.952466,
356.11,3342.999702,
356.328,3393.265448,
356.547,3388.084054,
356.765,3296.639404,
356.984,3344.501878,
357.202,3281.169922,
357.42,3350.186446,
357.639,3239.28547,
357.857,3127.512634,
358.076,3037.206542,
358.294,2935.383952,
358.512,2854.700742,
358.731,2792.595082,
358.949,2757.797346,
359.167,2756.828566,
359.386,2722.731848,
359.604,2693.35726,
359.822,2703.975414,
360.04,2634.883026,
360.259,2576.922638,
360.477,2420.82273,
360.695,2371.702788,
360.913,2197.854362,
361.131,2108.79785,
361.35,1956.390138,
361.568,1717.654226,
361.786,1577.6291,
362.004,1401.777104,
362.222,1126.34093,
362.44,1000.626254,
362.658,801.981218,
362.876,640.491252,
363.094,570.303056,
363.312,570.835128,
363.53,562.025982,
363.749,560.251482,
363.967,578.678994,
364.184,595.1826,
364.402,585.583832,
364.62,617.762196,
364.838,631.976492,
365.056,568.13245,
365.274,690.03056,
365.492,667.610672,
365.71,659.85856,
365.928,733.403618,
366.146,710.339026,
366.364,746.614202,
366.581,788.939514,
366.799,827.815432,
367.017,895.863894,
367.235,880.823092,
367.453,943.0079,
367.67,949.848056,
367.888,994.843456,
368.106,1003.18468,
368.323,1028.06197,
368.541,1001.53716,
368.759,1079.24275,
368.977,1073.639912,
369.194,1059.342706,
369.412,1067.849042,
369.629,1139.513062,
369.847,1149.128842,
370.065,1163.968684,
370.282,1276.577304,
370.5,1269.877698,
370.717,1359.846164,
370.935,1346.65484,
371.152,1459.423724,
371.37,1526.83555,
371.588,1556.681422,
371.805,1605.494312,
372.022,1683.29814,
372.24,1695.078394,
372.457,1721.102224,
372.675,1751.729506,
372.892,1744.645004,
373.11,1794.30602,
373.327,1755.211296,
373.544,1746.079782,
373.762,1826.55833,
373.979,1784.427386,
374.196,1799.71642,
374.414,1753.882696,
374.631,1813.07266,
374.848,1821.342274,
375.066,1779.250738,
375.283,1831.960576,
375.5,1849.937878,
375.717,1852.399406,
375.935,1887.331722,
376.152,1950.58579,
376.369,2015.297316,
376.586,2069.702916,
376.803,2110.527852,
377.02,2198.205818,
377.238,2257.511302,
377.455,2271.857194,
377.672,2317.090508,
377.889,2355.226608,
378.106,2351.14089,
