Created as New Dataset,Sample 001 By Administrator Date Tuesday, October 14 2025
cm-1,%T
4000.00,99.99
3999.00,99.98
3998.00,99.97
3997.00,99.97
3996.00,99.97
3995.00,99.97
3994.00,99.98
3993.00,99.98
3992.00,99.98
3991.00,99.98
3990.00,99.99
3989.00,99.99
3988.00,99.99
3987.00,99.99
3986.00,99.98
3985.00,99.98
3984.00,99.99
3983.00,99.99
3982.00,99.99
3981.00,99.98
3980.00,99.98
3979.00,99.97
3978.00,99.97
3977.00,99.97
3976.00,99.97
3975.00,99.97
3974.00,99.98
3973.00,99.98
3972.00,99.98
3971.00,99.98
3970.00,99.97
3969.00,99.96
3968.00,99.96
3967.00,99.96
3966.00,99.96
3965.00,99.97
3964.00,99.98
3963.00,99.99
3962.00,100.00
3961.00,100.00
3960.00,100.00
3959.00,100.00
3958.00,100.00
3957.00,99.99
3956.00,99.99
3955.00,99.98
3954.00,99.98
3953.00,99.97
3952.00,99.97
3951.00,99.97
3950.00,99.97
3949.00,99.98
3948.00,99.99
3947.00,100.00
3946.00,100.00
3945.00,100.01
3944.00,100.01
3943.00,100.00
3942.00,100.00
3941.00,100.00
3940.00,99.99
3939.00,99.99
3938.00,99.99
3937.00,99.98
3936.00,99.98
3935.00,99.97
3934.00,99.97
3933.00,99.98
3932.00,99.98
3931.00,99.98
3930.00,99.98
3929.00,99.99
3928.00,99.99
3927.00,99.99
3926.00,99.99
3925.00,99.99
3924.00,99.99
3923.00,99.99
3922.00,99.99
3921.00,99.99
3920.00,99.99
3919.00,99.98
3918.00,99.98
3917.00,99.99
3916.00,99.99
3915.00,99.99
3914.00,99.99
3913.00,99.99
3912.00,99.99
3911.00,99.99
3910.00,99.99
3909.00,99.99
3908.00,99.99
3907.00,99.99
3906.00,99.99
3905.00,100.00
3904.00,100.00
3903.00,100.01
3902.00,100.00
3901.00,100.00
3900.00,100.00
3899.00,99.99
3898.00,99.99
3897.00,99.99
3896.00,100.00
3895.00,100.00
3894.00,100.01
3893.00,100.02
3892.00,100.03
3891.00,100.03
3890.00,100.02
3889.00,100.01
3888.00,100.01
3887.00,100.01
3886.00,100.01
3885.00,100.00
3884.00,99.99
3883.00,99.99
3882.00,99.98
3881.00,99.98
3880.00,99.98
3879.00,99.99
3878.00,99.99
3877.00,99.99
3876.00,99.99
3875.00,99.99
3874.00,99.99
3873.00,100.00
3872.00,100.02
3871.00,100.04
3870.00,100.04
3869.00,100.02
3868.00,100.01
3867.00,100.01
3866.00,100.00
3865.00,100.00
3864.00,99.99
3863.00,100.00
3862.00,100.01
3861.00,100.01
3860.00,100.01
3859.00,99.99
3858.00,99.96
3857.00,99.91
3856.00,99.88
3855.00,99.89
3854.00,99.92
3853.00,99.93
3852.00,99.93
3851.00,99.95
3850.00,99.97
3849.00,99.97
3848.00,99.98
3847.00,99.98
3846.00,99.99
3845.00,99.99
3844.00,100.01
3843.00,100.01
3842.00,100.02
3841.00,100.03
3840.00,100.04
3839.00,100.05
3838.00,100.05
3837.00,100.04
3836.00,100.03
3835.00,100.03
3834.00,100.02
3833.00,100.01
3832.00,100.00
3831.00,99.99
3830.00,99.98
3829.00,99.98
3828.00,99.99
3827.00,99.99
3826.00,100.00
3825.00,100.00
3824.00,100.01
3823.00,100.02
3822.00,100.03
3821.00,100.02
3820.00,100.01
3819.00,100.01
3818.00,100.02
3817.00,100.02
3816.00,100.00
3815.00,99.98
3814.00,99.98
3813.00,99.99
3812.00,100.00
3811.00,99.99
3810.00,99.99
3809.00,100.00
3808.00,100.02
3807.00,100.02
3806.00,100.02
3805.00,100.01
3804.00,100.02
3803.00,100.02
3802.00,100.01
3801.00,99.99
3800.00,99.97
3799.00,99.97
3798.00,99.98
3797.00,100.00
3796.00,100.00
3795.00,100.00
3794.00,100.00
3793.00,100.00
3792.00,100.00
3791.00,100.00
3790.00,100.00
3789.00,99.99
3788.00,99.98
3787.00,99.97
3786.00,99.97
3785.00,99.98
3784.00,99.99
3783.00,99.99
3782.00,99.99
3781.00,99.98
3780.00,99.98
3779.00,99.99
3778.00,100.00
3777.00,100.00
3776.00,100.00
3775.00,100.00
3774.00,99.99
3773.00,99.99
3772.00,99.99
3771.00,99.99
3770.00,99.99
3769.00,100.00
3768.00,100.01
3767.00,100.01
3766.00,100.01
3765.00,100.00
3764.00,100.00
3763.00,99.99
3762.00,100.00
3761.00,100.01
3760.00,100.02
3759.00,100.03
3758.00,100.02
3757.00,100.01
3756.00,100.00
3755.00,99.99
3754.00,99.98
3753.00,99.96
3752.00,99.93
3751.00,99.90
3750.00,99.89
3749.00,99.89
3748.00,99.89
3747.00,99.89
3746.00,99.90
3745.00,99.89
3744.00,99.89
3743.00,99.90
3742.00,99.93
3741.00,99.96
3740.00,99.96
3739.00,99.96
3738.00,99.96
3737.00,99.97
3736.00,99.98
3735.00,99.99
3734.00,100.00
3733.00,100.01
3732.00,100.00
3731.00,99.99
3730.00,99.98
3729.00,99.98
3728.00,99.98
3727.00,99.99
3726.00,100.00
3725.00,100.00
3724.00,100.00
3723.00,100.00
3722.00,99.99
3721.00,99.99
3720.00,99.99
3719.00,99.99
3718.00,100.00
3717.00,100.00
3716.00,100.00
3715.00,100.00
3714.00,99.99
3713.00,99.99
3712.00,99.99
3711.00,100.00
3710.00,100.00
3709.00,100.00
3708.00,100.00
3707.00,100.00
3706.00,100.00
3705.00,99.99
3704.00,99.99
3703.00,99.99
3702.00,99.99
3701.00,99.99
3700.00,99.99
3699.00,99.99
3698.00,99.98
3697.00,99.97
3696.00,99.98
3695.00,99.98
3694.00,99.99
3693.00,99.99
3692.00,100.00
3691.00,100.01
3690.00,100.02
3689.00,100.00
3688.00,99.98
3687.00,99.96
3686.00,99.96
3685.00,99.97
3684.00,99.98
3683.00,99.99
3682.00,99.99
3681.00,100.00
3680.00,100.00
3679.00,100.01
3678.00,100.02
3677.00,100.03
3676.00,100.03
3675.00,100.01
3674.00,100.00
3673.00,100.01
3672.00,100.02
3671.00,100.02
3670.00,100.01
3669.00,99.99
3668.00,99.98
3667.00,99.98
3666.00,99.98
3665.00,99.98
3664.00,99.99
3663.00,99.99
3662.00,99.99
3661.00,100.00
3660.00,100.00
3659.00,100.01
3658.00,100.02
3657.00,100.02
3656.00,100.02
3655.00,100.02
3654.00,100.02
3653.00,100.03
3652.00,100.04
3651.00,100.06
3650.00,100.06
3649.00,100.04
3648.00,100.01
3647.00,99.99
3646.00,99.99
3645.00,99.99
3644.00,99.99
3643.00,99.98
3642.00,99.98
3641.00,99.98
3640.00,99.98
3639.00,99.98
3638.00,99.98
3637.00,99.99
3636.00,99.99
3635.00,100.00
3634.00,100.00
3633.00,100.00
3632.00,100.00
3631.00,100.01
3630.00,100.03
3629.00,100.03
3628.00,100.01
3627.00,99.99
3626.00,99.99
3625.00,99.99
3624.00,100.00
3623.00,100.00
3622.00,100.01
3621.00,100.03
3620.00,100.03
3619.00,100.02
3618.00,100.01
3617.00,99.99
3616.00,99.98
3615.00,99.98
3614.00,99.99
3613.00,100.00
3612.00,99.99
3611.00,99.98
3610.00,99.97
3609.00,99.96
3608.00,99.97
3607.00,99.98
3606.00,99.99
3605.00,99.99
3604.00,99.98
3603.00,99.97
3602.00,99.96
3601.00,99.96
3600.00,99.96
3599.00,99.97
3598.00,99.98
3597.00,99.98
3596.00,99.98
3595.00,99.98
3594.00,99.98
3593.00,99.98
3592.00,99.98
3591.00,99.98
3590.00,99.98
3589.00,99.97
3588.00,99.98
3587.00,99.99
3586.00,100.00
3585.00,99.99
3584.00,99.99
3583.00,99.98
3582.00,99.97
3581.00,99.97
3580.00,99.97
3579.00,99.97
3578.00,99.98
3577.00,99.98
3576.00,99.97
3575.00,99.98
3574.00,99.98
3573.00,99.98
3572.00,99.98
3571.00,99.98
3570.00,99.98
3569.00,99.98
3568.00,99.97
3567.00,99.97
3566.00,99.96
3565.00,99.96
3564.00,99.97
3563.00,99.97
3562.00,99.98
3561.00,99.98
3560.00,99.98
3559.00,99.98
3558.00,99.97
3557.00,99.97
3556.00,99.97
3555.00,99.97
3554.00,99.97
3553.00,99.98
3552.00,99.98
3551.00,99.98
3550.00,99.98
3549.00,99.97
3548.00,99.97
3547.00,99.97
3546.00,99.97
3545.00,99.97
3544.00,99.98
3543.00,99.98
3542.00,99.99
3541.00,99.99
3540.00,100.00
3539.00,100.00
3538.00,100.00
3537.00,100.00
3536.00,100.00
3535.00,100.00
3534.00,100.00
3533.00,99.99
3532.00,99.99
3531.00,99.99
3530.00,99.98
3529.00,99.98
3528.00,99.98
3527.00,99.98
3526.00,99.98
3525.00,99.98
3524.00,99.97
3523.00,99.97
3522.00,99.98
3521.00,99.98
3520.00,99.99
3519.00,99.98
3518.00,99.98
3517.00,99.98
3516.00,99.98
3515.00,99.98
3514.00,99.98
3513.00,99.98
