CENTRALWAVELNG,PL_TRANDEP
0.60003,2.00457
0.60044,2.09635
0.60085,2.00022
0.60126,1.72847
0.60167,2.06002
0.60208,1.86639
0.60249,1.89692
0.6029,1.77885
0.60372,1.80173
0.60413,1.96147
0.60454,1.75252
0.60495,2.04419
0.60536,2.00831
0.60577,1.93683
0.60618,1.9527
0.60659,1.94767
0.60701,1.80723
0.60742,1.99109
0.60783,2.00225
0.60824,1.91681
0.60865,2.04229
0.60906,2.16295
0.60948,2.13038
0.60989,1.9151
0.6103,1.68137
0.61071,1.81851
0.61113,2.05954
0.61154,1.79051
0.61195,2.04146
0.61236,1.90002
0.61278,1.77751
0.61319,1.98301
0.6136,2.01254
0.61443,2.00634
0.61484,1.80249
0.61526,2.1238
0.61567,1.96261
0.61609,1.84733
0.6165,1.99743
0.61692,1.95133
0.61733,2.17891
0.61775,1.92502
0.61816,1.69247
0.61858,1.87634
0.61899,1.89856
0.61941,2.07123
0.61982,1.94799
0.62024,1.94819
0.62065,1.73204
0.62107,1.92227
0.62148,2.06907
0.6219,2.05963
0.62232,2.07667
0.62273,1.79758
0.62315,2.1288
0.62357,1.90624
0.62398,1.82631
0.6244,2.06278
0.62482,2.08244
0.62523,1.8991
0.62565,1.8945
0.62607,1.74813
0.62649,2.04902
0.6269,1.95925
0.62732,1.93904
0.62774,1.87409
0.62816,1.87639
0.62858,1.99964
0.62899,2.05591
0.62941,1.8977
0.62983,2.00563
0.63025,2.00836
0.63067,1.83553
0.63109,1.74202
0.63151,1.8048
0.63193,1.87804
0.63235,1.98476
0.63276,2.00894
0.63318,1.84683
0.6336,1.96648
0.63402,1.93031
0.63444,2.03775
0.63486,1.88664
0.63528,1.99772
0.6357,2.02372
0.63613,2.04353
0.63655,1.88494
0.63697,1.84266
0.63739,1.85723
0.63781,1.69797
0.63823,1.90081
0.63865,1.83244
0.63907,1.74551
0.63949,1.82054
0.63992,2.03514
0.64034,1.97967
0.64076,1.96135
0.64118,2.02423
0.6416,1.89058
0.64203,1.96106
0.64245,2.09503
0.64287,1.9534
0.64329,1.86608
0.64372,1.9608
0.64414,1.86194
0.64456,1.99605
0.64499,1.98452
0.64541,2.01374
0.64583,1.78014
0.64626,1.84263
0.64668,1.83994
0.6471,1.82619
0.64753,1.90355
0.64795,1.91202
0.64838,1.83256
0.6488,1.91586
0.64923,2.00155
0.64965,1.88149
0.65007,2.01274
0.6505,1.98737
0.65092,1.86485
0.65135,1.96484
0.65177,1.9243
0.6522,1.85843
0.65263,1.86907
0.65305,1.88993
0.65348,1.92403
0.6539,1.9254
0.65433,1.94678
0.65475,1.8592
0.65518,1.88864
0.65561,1.92828
0.65603,1.95754
0.65646,1.9342
0.65689,1.89507
0.65731,2.07395
0.65774,1.8816
0.65817,2.01095
0.65859,2.04635
0.65902,1.90746
0.65945,1.87895
0.65988,1.85957
0.6603,1.93929
0.66073,1.85334
0.66116,1.87622
0.66159,1.89628
0.66202,2.06932
0.66244,2.01451
0.66287,1.92524
0.6633,1.90545
0.66373,1.91037
0.66416,1.82776
0.66459,1.93843
0.66502,1.91079
0.66544,1.9935
0.66587,1.84955
0.6663,1.80061
0.66673,1.94524
0.66716,1.81211
0.66759,1.95121
0.66802,1.96455
0.66845,1.84346
0.66888,2.00305
0.66931,1.85886
0.66974,1.91457
0.67017,1.86178
0.6706,1.96115
0.67103,1.92196
0.67146,1.93995
0.67189,1.92603
0.67233,1.95506
0.67276,1.98455
0.67319,1.82122
0.67362,1.91722
0.67405,1.93329
0.67448,1.87807
0.67491,1.9648
0.67535,1.89228
0.67578,1.84548
0.67621,2.0212
0.67664,1.90289
0.67707,1.9378
0.67751,1.92217
0.67794,1.93643
0.67837,1.9397
0.6788,1.9066
0.67924,1.85339
0.67967,2.00163
0.6801,1.90978
0.68054,1.91908
0.68097,1.88311
0.6814,1.92415
0.68184,1.89458
0.68227,1.96474
0.6827,1.80091
0.68314,1.88892
0.68357,1.90154
0.68401,1.84234
0.68444,1.9575
0.68487,1.92796
0.68531,1.89162
0.68574,1.89047
0.68618,1.89318
0.68661,1.95519
0.68705,1.87242
0.68748,1.84502
0.68792,1.91962
0.70277,1.86413
0.70321,1.83456
0.70365,1.91801
0.70409,1.95007
0.70453,1.91951
0.70497,1.83822
0.70541,1.86866
0.70585,1.82487
0.70629,1.8908
0.70673,1.93701
0.70717,1.93072
0.70761,1.93769
0.70805,1.91709
0.70849,1.8902
0.70893,1.9071
0.70937,1.9047
0.70981,2.036
0.71025,1.90929
0.71069,1.91964
0.71113,1.9277
0.71157,1.87156
0.71201,1.95565
0.71245,1.91965
0.7129,1.90684
0.71334,1.8363
0.71378,1.83982
0.71422,1.8025
0.71466,1.89968
0.7151,1.85609
0.71555,1.88911
0.71599,1.93537
0.71643,1.9288
0.71687,1.95525
0.71731,1.91801
0.71776,1.91074
0.7182,1.92973
0.71864,1.87708
0.71908,1.91414
0.71953,1.88652
0.71997,1.92941
0.72041,1.98788
0.72086,1.9158
0.7213,1.88646
0.72174,1.90703
0.72219,1.91753
0.72263,1.91304
0.72307,1.89612
0.72352,1.97991
0.72396,1.96966
0.7244,1.91453
0.72485,1.89409
0.72529,1.89983
0.72574,1.87583
0.72618,1.89735
0.72662,1.9253
0.72707,1.89759
0.72751,1.92657
0.72796,1.93561
0.7284,1.92806
0.72885,1.92836
0.72929,1.86858
0.72974,1.97535
0.73018,1.84678
0.73063,1.89658
0.73107,1.85863
0.73152,1.87487
0.73196,1.89651
0.73241,1.91788
0.73286,1.87706
0.7333,1.90923
0.73375,2.00386
0.73419,1.95561
0.73464,1.97927
0.73509,1.99359
0.73553,1.93065
0.73598,1.942
0.73643,1.86438
0.73687,1.88293
0.73732,1.9206
0.73777,1.91212
0.73821,1.90754
0.73866,1.8304
0.73911,1.89545
0.73955,1.78908
0.74,1.87367
0.74045,1.85705
0.7409,1.96051
0.74134,1.91072
0.74179,1.85413
0.74224,1.87873
0.74269,1.93533
0.74314,1.8804
0.74358,1.8769
0.74403,1.84524
0.74448,1.82655
0.74493,1.94652
0.74538,1.914
0.74582,1.88278
0.74627,1.9151
0.74672,1.92882
0.74717,1.92676
0.74762,1.93739
0.74807,1.92582
0.74852,1.85982
0.74897,1.85
0.74942,1.91446
0.74987,2.02709
0.75032,1.92898
0.75076,1.93135
0.75121,1.86911
0.75166,1.8851
0.75211,1.94939
0.75256,1.93665
0.75301,1.98057
0.75346,1.86592
0.75391,1.85962
0.75436,1.85134
0.75482,1.81259
0.75527,1.80187
0.75572,1.89339
0.75617,1.89055
0.75662,1.93139
0.75707,1.94753
0.75752,1.93578
0.75797,1.87178
0.75842,1.89843
0.75887,1.8589
0.75932,1.80884
0.75978,1.86035
0.76023,1.9514
0.76068,1.89979
0.76113,1.88079
0.76158,1.83951
0.76203,1.91811
0.76249,1.98049
0.76294,1.78816
0.76339,1.91382
0.76384,1.93696
0.76429,1.93252
0.76475,1.8628
0.7652,1.82709
0.76565,1.84506
0.7661,1.91392
0.76656,1.99276
0.76701,1.91203
0.76746,1.90875
0.76792,1.89336
0.76837,1.87725
0.76882,1.93215
0.76927,1.84018
0.76973,1.96307
0.77018,1.89307
0.77063,1.92046
0.77109,1.92862
0.77154,1.89103
0.772,1.87046
0.77245,1.99783
0.7729,1.8411
0.77336,1.87785
0.77381,1.86562
0.77427,1.91179
0.77472,1.89514
0.77517,1.88294
0.77563,1.97675
0.77608,1.85841
0.77654,1.95056
0.77699,1.84199
0.77745,1.95314
0.7779,1.88121
0.77836,1.82812
0.77881,1.99429
0.77927,1.90696
0.77972,1.93101
0.78018,1.87589
0.78063,1.84092
0.78109,1.89661
0.78154,1.83921
0.782,1.98007
0.78246,1.96286
0.78291,1.87546
0.78337,1.97731
0.78382,1.87973
0.78428,1.73179
0.78473,1.85158
0.78519,1.90904
0.78565,1.79012
0.7861,1.9344
0.78656,1.92686
0.78702,1.8603
0.78747,2.01764
0.78793,1.86324
0.78839,1.93867
0.78884,1.87255
0.7893,1.8677
0.78976,1.88358
0.79021,1.93054
0.79067,1.92437
0.79113,2.04234
0.79159,2.00122
0.79204,1.80152
0.7925,1.93036
0.79296,1.90883
0.79342,1.87056
0.79387,1.89935
0.79433,1.83384
0.79479,1.88237
0.79525,1.81643
0.79571,1.90623
0.79616,1.91639
0.79662,1.89748
