CENTRALWAVELNG,PL_TRANDEP
2.4275,2.12118
2.4425,2.0998
2.4575,2.12448
2.4725,2.14771
2.4875,2.12792
2.5025,2.14469
2.5175,2.1301
2.5325,2.13061
2.5475,2.14197
2.5625,2.15466
2.5775,2.13663
2.5925,2.12754
2.6075,2.13098
2.6225,2.1369
2.6375,2.14635
2.6525,2.15718
2.6675,2.17736
2.6825,2.17494
2.6975,2.16314
2.7125,2.18277
2.7275,2.15249
2.7425,2.16396
2.7575,2.17465
2.7725,2.17184
2.7875,2.15384
2.8025,2.19374
2.8175,2.16856
2.8325,2.14131
2.8475,2.15655
2.8625,2.15688
2.8775,2.14433
2.8925,2.17452
2.9075,2.16916
2.9225,2.15025
2.9375,2.16469
2.9525,2.16483
2.9675,2.16503
2.9825,2.15431
2.9975,2.14455
3.0125,2.12515
3.0275,2.14394
3.0425,2.12124
3.0575,2.1348
3.0725,2.11999
3.0875,2.1456
3.1025,2.12779
3.1175,2.14322
3.1325,2.13823
3.1475,2.13832
3.1625,2.1026
3.1775,2.10835
3.1925,2.11687
3.2075,2.12233
3.2225,2.11951
3.2375,2.10854
3.2525,2.10104
3.2675,2.09194
3.2825,2.10933
3.2975,2.08435
3.3125,2.0909
3.3275,2.12736
3.3425,2.10506
3.3575,2.11494
3.3725,2.12436
3.3875,2.09262
3.4025,2.11569
3.4175,2.09061
3.4325,2.1168
3.4475,2.12319
3.4625,2.10903
3.4775,2.08697
3.4925,2.07683
3.5075,2.08811
3.5225,2.10192
3.5375,2.09856
3.5525,2.11186
3.5675,2.09458
3.5825,2.10507
3.5975,2.0841
3.6125,2.10218
3.6275,2.08682
3.6425,2.06527
3.6575,2.08427
3.6725,2.10782
3.6875,2.14702
3.7025,2.08571
3.7175,2.06277
3.7325,2.09033
3.7475,2.08476
3.7625,2.10323
3.7775,2.09258
3.7925,2.09013
3.8075,2.04542
3.8225,2.08169
3.8375,2.09859
3.8525,2.11823
3.8675,2.08223
3.8825,2.07726
3.8975,2.06485
3.9125,2.07459
3.9275,2.08901
3.9425,2.10018
3.9575,2.08514
3.9725,2.09079
3.9875,2.09692
4.0025,2.08351
4.0175,2.08922
