CENTRALWAVELNG,ESPECLIPDEP
2.45477,0.01758
2.46433,0.02407
2.47438,0.01707
2.48443,0.01322
2.49448,0.02063
2.50454,0.01254
2.5146,0.01669
2.52466,0.02013
2.53472,0.01552
2.54479,0.0181
2.55438,0.01673
2.56446,0.01796
2.57454,0.03268
2.58462,0.02599
2.5947,0.01628
2.60431,0.02795
2.61439,0.011
2.62449,0.02616
2.63458,0.0188
2.64468,0.01504
2.6543,0.0203
2.6644,0.02027
2.67451,0.01622
2.68462,0.01494
2.69473,0.02304
2.70436,0.01222
2.71448,0.0226
2.7246,0.01797
2.73424,0.01345
2.74437,0.017
2.75449,0.03035
2.76462,0.0255
2.77476,0.01536
2.78441,0.01353
2.79455,0.02003
2.80469,0.00882
2.81435,0.02306
2.8245,0.01628
2.83464,0.0239
2.84431,0.02478
2.85446,0.02283
2.86462,0.01919
2.87429,0.02048
2.88445,-0.00045
2.89462,0.02543
2.9043,0.03707
2.91447,0.03448
2.92464,0.03884
2.93432,0.02652
2.9445,0.03235
2.95467,0.02875
2.96437,0.01745
2.97455,0.03128
2.98473,0.02608
2.99443,0.02967
3.00462,0.0295
3.01481,0.02236
3.02452,0.02344
3.03422,0.02899
3.04442,0.02901
3.05462,0.03027
3.06433,0.02746
3.07453,0.04176
3.08474,0.03189
3.09446,0.03588
3.10418,0.02796
3.11439,0.03918
3.1246,0.04263
3.13433,0.03328
3.14454,0.04313
3.15476,0.03783
3.16449,0.03341
3.17423,0.04136
3.18445,0.04907
3.19467,0.04522
3.20441,0.04265
3.21464,0.04211
3.22487,0.03763
3.23461,0.04007
3.24436,0.05077
3.25459,0.03598
3.26483,0.04764
3.27458,0.05036
3.28433,0.03371
3.29457,0.05672
3.30482,0.03754
3.31457,0.0531
3.32433,0.04979
3.33458,0.04809
3.34483,0.0471
3.35459,0.0411
3.36435,0.04924
3.37461,0.03751
3.38486,0.05169
3.39463,0.0415
3.4044,0.05358
3.41417,0.05036
3.42443,0.04328
3.43469,0.04659
3.44446,0.05609
3.45424,0.04628
3.4645,0.04682
3.47477,0.0476
3.48455,0.05131
3.49432,0.05783
3.50459,0.05822
3.51487,0.05722
3.52465,0.0528
3.53443,0.05794
3.54422,0.05637
3.55449,0.06446
3.56477,0.06061
3.57456,0.04162
3.58435,0.04624
3.59414,0.05334
3.60442,0.05274
3.6147,0.05337
3.62449,0.05914
3.63428,0.05956
3.64457,0.05222
3.65485,0.05315
3.66465,0.05354
3.67445,0.05793
3.68424,0.06122
3.69453,0.06434
3.70482,0.05891
3.71462,0.06216
3.72442,0.0612
3.73422,0.06748
3.74452,0.0656
3.75481,0.06877
3.76461,0.06496
3.77442,0.05113
3.78422,0.06325
3.79452,0.0578
3.80481,0.05609
3.81462,0.06914
3.82443,0.06207
3.83423,0.04818
3.84453,0.06345
3.85483,0.07001
3.86464,0.05822
3.87445,0.06268
3.88426,0.0637
3.89436,0.06532
3.90466,0.06199
3.91471,0.06717
3.92451,0.06569
3.93431,0.06139
3.94436,0.05934
3.95442,0.06665
3.9647,0.06297
3.9745,0.06156
3.9843,0.06395
3.99458,0.06228
4.00487,0.06803
4.01467,0.06039
4.02446,0.07386
4.03426,0.05106
4.04455,0.06326
4.05483,0.06108
4.06463,0.06571
4.07442,0.07138
4.08422,0.06883
4.09451,0.05485
4.10479,0.07751
4.11459,0.06749
4.12439,0.0588
4.13418,0.06573
4.14447,0.06706
4.15476,0.06562
4.16455,0.06593
4.17435,0.06444
4.18415,0.07295
4.19443,0.06707
4.20472,0.06225
4.21451,0.05622
4.22431,0.04333
4.2346,0.06393
4.24488,0.04877
4.25468,0.0363
4.26448,0.04563
4.27427,0.03939
4.28456,0.04167
4.29485,0.03172
4.30464,0.04009
4.31444,0.04956
4.32424,0.03837
4.33452,0.03767
4.34481,0.03545
4.3546,0.04332
4.3644,0.03881
4.3742,0.0485
4.38448,0.04652
4.39477,0.04933
4.40457,0.0499
4.41436,0.06002
4.42416,0.04351
4.43445,0.04105
4.44473,0.05172
4.45453,0.05559
4.46433,0.05677
4.47461,0.05795
4.4849,0.05861
4.49469,0.06384
4.50449,0.0401
4.51429,0.06528
4.52457,0.05655
4.53486,0.06214
4.54466,0.06106
4.55445,0.06555
4.56425,0.08496
4.57454,0.06037
4.58482,0.10827
4.59462,0.0852
4.60441,0.08035
4.61421,0.07428
4.6245,0.08297
4.63478,0.05222
4.64458,0.09138
4.65438,0.06871
4.66417,0.08111
4.67446,0.06626
4.68475,0.07809
4.69454,0.076
4.70434,0.08738
4.71414,0.07304
4.72442,0.08165
4.73471,0.08008
4.7445,0.08553
4.7543,0.08578
4.76459,0.0835
4.77487,0.07956
4.78467,0.08601
4.79447,0.08133
4.80426,0.07398
4.81455,0.06338
4.82484,0.07515
4.83463,0.07668
4.84443,0.06361
4.85423,0.07863
4.86451,0.07129
4.8748,0.0724
4.88459,0.07422
4.89439,0.07806
4.90419,0.06424
4.91447,0.08222
4.92476,0.06647
4.93456,0.07821
4.94435,0.08695
4.95415,0.07932
4.96444,0.10096
