CENTRALWAVELNG,BANDWIDTH,FLAM,FLAMERR1,FLAMERR2,FLAMLIM,FLAMERR1_CALC,FLAMERR2_CALC,FLAMLIM_CALC,FLAM_REFID,FLAM_BIBCODE,FLAM_HTMLLINK,FLAM_AUTHORS,FLAM_URL,FNU,FNUERR1,FNUERR2,FNULIM,FNUERR1_CALC,FNUERR2_CALC,FNULIM_CALC,FNU_REFID,FNU_BIBCODE,FNU_HTMLLINK,FNU_AUTHORS,FNU_URL,OBS_DATE,OBS_DATEERR1,OBS_DATEERR2
0.97011,,3.798154327503062e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,1.192299e-05,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
0.97036,,2.753652030828938e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,8.648532e-06,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
0.97061,,2.623155494937657e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,8.242863e-06,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
0.97085,,2.8673427805184404e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,9.014763e-06,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
0.9711,,2.0141971744286092e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,6.335739e-06,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
0.97135,,1.3533548616557413e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,4.259195e-06,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
0.97159,,2.4239903690961557e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,7.632507e-06,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
0.97184,,4.846037873585692e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,1.526664e-05,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
0.97209,,3.8450970965536054e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,1.211949e-05,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
0.97233,,2.316910111752251e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,7.306452e-06,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
0.97258,,1.1769781202355628e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,3.713522e-06,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
0.97283,,1.0262214920014785e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,3.239507e-06,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
0.97307,,1.5821870094577458e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,4.997074e-06,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
0.97332,,2.212699766255923e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,6.991986e-06,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
0.97356,,2.091846655980602e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,6.613448e-06,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
0.97381,,2.451900315501011e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,7.755698e-06,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
0.97406,,1.7811322206585306e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,5.63682e-06,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
0.9743,,1.5247719228081638e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,4.82795e-06,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
0.97455,,1.698072492196254e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,5.379401e-06,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
0.9748,,1.793967291642189e-17,,,0,,,,Calculated,Calculated,/docs/atmospheres/atmospheres_calc.html,Calculated,/docs/atmospheres/atmospheres_calc.html,5.686067e-06,,,0,,,,5457,2023ApJ...949L..36L,<a refstr=LUHMAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract target=ref>Luhman et al. 2023</a>,Luhman et al. 2023,https://ui.adsabs.harvard.edu/abs/2023ApJ...949L..36L/abstract,2459982.500000,,
