Created as New Dataset,Sample 006 By Administrator Date Monday, October 13 2025
cm-1,%T
4000.00,99.95
3999.00,100.00
3998.00,100.02
3997.00,100.03
3996.00,100.05
3995.00,100.08
3994.00,100.11
3993.00,100.14
3992.00,100.17
3991.00,100.22
3990.00,100.27
3989.00,100.32
3988.00,100.35
3987.00,100.37
3986.00,100.41
3985.00,100.48
3984.00,100.57
3983.00,100.65
3982.00,100.69
3981.00,100.70
3980.00,100.70
3979.00,100.69
3978.00,100.69
3977.00,100.70
3976.00,100.73
3975.00,100.79
3974.00,100.88
3973.00,101.00
3972.00,101.09
3971.00,101.15
3970.00,101.17
3969.00,101.18
3968.00,101.21
3967.00,101.27
3966.00,101.33
3965.00,101.39
3964.00,101.44
3963.00,101.46
3962.00,101.46
3961.00,101.44
3960.00,101.42
3959.00,101.44
3958.00,101.50
3957.00,101.59
3956.00,101.66
3955.00,101.72
3954.00,101.75
3953.00,101.77
3952.00,101.76
3951.00,101.75
3950.00,101.75
3949.00,101.78
3948.00,101.85
3947.00,101.94
3946.00,102.03
3945.00,102.09
3944.00,102.11
3943.00,102.12
3942.00,102.16
3941.00,102.23
3940.00,102.30
3939.00,102.34
3938.00,102.36
3937.00,102.36
3936.00,102.40
3935.00,102.45
3934.00,102.50
3933.00,102.55
3932.00,102.60
3931.00,102.64
3930.00,102.69
3929.00,102.73
3928.00,102.74
3927.00,102.73
3926.00,102.71
3925.00,102.72
3924.00,102.75
3923.00,102.81
3922.00,102.89
3921.00,102.98
3920.00,103.06
3919.00,103.11
3918.00,103.16
3917.00,103.20
3916.00,103.27
3915.00,103.34
3914.00,103.40
3913.00,103.43
3912.00,103.41
3911.00,103.38
3910.00,103.37
3909.00,103.39
3908.00,103.44
3907.00,103.52
3906.00,103.63
3905.00,103.74
3904.00,103.82
3903.00,103.87
3902.00,103.88
3901.00,103.88
3900.00,103.88
3899.00,103.89
3898.00,103.90
3897.00,103.93
3896.00,103.97
3895.00,104.04
3894.00,104.14
3893.00,104.24
3892.00,104.32
3891.00,104.34
3890.00,104.34
3889.00,104.33
3888.00,104.34
3887.00,104.38
3886.00,104.45
3885.00,104.54
3884.00,104.63
3883.00,104.67
3882.00,104.68
3881.00,104.68
3880.00,104.70
3879.00,104.76
3878.00,104.84
3877.00,104.92
3876.00,104.98
3875.00,105.03
3874.00,105.06
3873.00,105.11
3872.00,105.17
3871.00,105.22
3870.00,105.24
