Created as New Dataset,Sample 002 By Administrator Date Thursday, October 16 2025
cm-1,%T
4000.00,99.81
3999.00,99.81
3998.00,99.79
3997.00,99.77
3996.00,99.77
3995.00,99.79
3994.00,99.81
3993.00,99.82
3992.00,99.82
3991.00,99.81
3990.00,99.82
3989.00,99.84
3988.00,99.86
3987.00,99.84
3986.00,99.81
3985.00,99.78
3984.00,99.76
3983.00,99.75
3982.00,99.77
3981.00,99.80
3980.00,99.84
3979.00,99.85
3978.00,99.82
3977.00,99.78
3976.00,99.74
3975.00,99.72
3974.00,99.73
3973.00,99.75
3972.00,99.78
3971.00,99.81
3970.00,99.82
3969.00,99.83
3968.00,99.85
3967.00,99.87
3966.00,99.86
3965.00,99.81
3964.00,99.74
3963.00,99.70
3962.00,99.72
3961.00,99.78
3960.00,99.82
3959.00,99.81
3958.00,99.78
3957.00,99.77
3956.00,99.77
3955.00,99.78
3954.00,99.79
3953.00,99.80
3952.00,99.79
3951.00,99.76
3950.00,99.75
3949.00,99.79
3948.00,99.90
3947.00,100.03
3946.00,100.06
3945.00,99.97
3944.00,99.84
3943.00,99.81
3942.00,99.89
3941.00,99.97
3940.00,99.97
3939.00,99.90
3938.00,99.88
3937.00,99.90
3936.00,99.90
3935.00,99.83
3934.00,99.71
3933.00,99.62
3932.00,99.59
3931.00,99.65
3930.00,99.79
3929.00,99.93
3928.00,99.99
3927.00,99.90
3926.00,99.75
3925.00,99.74
3924.00,99.92
3923.00,100.19
3922.00,100.35
3921.00,100.31
3920.00,100.09
3919.00,99.82
3918.00,99.62
3917.00,99.59
3916.00,99.74
3915.00,99.91
3914.00,99.99
3913.00,99.96
3912.00,99.92
3911.00,99.96
3910.00,100.06
3909.00,100.14
3908.00,100.20
3907.00,100.30
3906.00,100.51
3905.00,100.77
3904.00,100.94
3903.00,100.94
3902.00,100.77
3901.00,100.48
3900.00,100.22
3899.00,100.10
3898.00,100.12
3897.00,100.20
3896.00,100.22
3895.00,100.21
3894.00,100.25
3893.00,100.39
3892.00,100.56
3891.00,100.69
3890.00,100.70
3889.00,100.60
3888.00,100.42
3887.00,100.28
3886.00,100.27
3885.00,100.34
3884.00,100.33
3883.00,100.12
3882.00,99.78
3881.00,99.61
3880.00,99.83
3879.00,100.27
3878.00,100.55
3877.00,100.47
3876.00,100.19
3875.00,100.04
3874.00,100.22
3873.00,100.59
3872.00,100.89
3871.00,100.99
3870.00,100.96
3869.00,100.94
3868.00,100.96
3867.00,100.90
3866.00,100.75
3865.00,100.58
3864.00,100.52
3863.00,100.54
3862.00,100.59
3861.00,100.58
3860.00,100.45
3859.00,100.12
3858.00,99.57
3857.00,98.98
3856.00,98.73
3855.00,98.96
3854.00,99.20
3853.00,99.22
3852.00,99.28
3851.00,99.47
3850.00,99.68
3849.00,99.89
3848.00,100.08
3847.00,100.16
3846.00,100.13
3845.00,100.16
3844.00,100.35
3843.00,100.58
3842.00,100.70
3841.00,100.72
3840.00,100.85
3839.00,101.07
3838.00,101.18
3837.00,101.11
3836.00,101.02
