Created as New Dataset,Sample 002 By Administrator Date Tuesday, October 21 2025
cm-1,%T
4000.00,83.49
3999.00,83.49
3998.00,83.49
3997.00,83.49
3996.00,83.48
3995.00,83.49
3994.00,83.49
3993.00,83.49
3992.00,83.49
3991.00,83.49
3990.00,83.50
3989.00,83.50
3988.00,83.50
3987.00,83.50
3986.00,83.50
3985.00,83.50
3984.00,83.50
3983.00,83.50
3982.00,83.50
3981.00,83.50
3980.00,83.50
3979.00,83.50
3978.00,83.50
3977.00,83.50
3976.00,83.50
3975.00,83.50
3974.00,83.50
3973.00,83.50
3972.00,83.51
3971.00,83.51
3970.00,83.50
3969.00,83.50
3968.00,83.50
3967.00,83.50
3966.00,83.51
3965.00,83.51
3964.00,83.51
3963.00,83.51
3962.00,83.51
3961.00,83.51
3960.00,83.51
3959.00,83.50
3958.00,83.51
3957.00,83.51
3956.00,83.51
3955.00,83.50
3954.00,83.50
3953.00,83.49
3952.00,83.50
3951.00,83.50
3950.00,83.52
3949.00,83.53
3948.00,83.55
3947.00,83.56
3946.00,83.54
3945.00,83.50
3944.00,83.48
3943.00,83.49
3942.00,83.51
3941.00,83.52
3940.00,83.52
3939.00,83.51
3938.00,83.52
3937.00,83.54
3936.00,83.54
3935.00,83.54
3934.00,83.54
3933.00,83.55
3932.00,83.55
3931.00,83.53
3930.00,83.52
3929.00,83.52
3928.00,83.52
3927.00,83.51
3926.00,83.49
3925.00,83.51
3924.00,83.54
3923.00,83.56
3922.00,83.55
3921.00,83.56
3920.00,83.59
3919.00,83.60
3918.00,83.59
3917.00,83.58
3916.00,83.57
3915.00,83.55
3914.00,83.53
3913.00,83.52
3912.00,83.53
3911.00,83.54
3910.00,83.53
3909.00,83.53
3908.00,83.52
3907.00,83.51
3906.00,83.52
3905.00,83.57
3904.00,83.67
3903.00,83.74
3902.00,83.72
3901.00,83.66
3900.00,83.62
3899.00,83.61
3898.00,83.60
3897.00,83.59
3896.00,83.58
3895.00,83.57
3894.00,83.56
3893.00,83.53
3892.00,83.52
3891.00,83.57
3890.00,83.63
3889.00,83.66
3888.00,83.64
3887.00,83.63
3886.00,83.65
3885.00,83.67
3884.00,83.63
3883.00,83.54
3882.00,83.49
3881.00,83.52
3880.00,83.59
3879.00,83.64
3878.00,83.64
3877.00,83.59
3876.00,83.55
3875.00,83.55
3874.00,83.61
3873.00,83.65
3872.00,83.62
3871.00,83.60
3870.00,83.65
3869.00,83.71
3868.00,83.68
3867.00,83.60
3866.00,83.59
3865.00,83.64
3864.00,83.66
3863.00,83.63
3862.00,83.63
3861.00,83.66
3860.00,83.66
3859.00,83.61
3858.00,83.54
3857.00,83.52
3856.00,83.53
3855.00,83.55
3854.00,83.57
3853.00,83.58
3852.00,83.58
3851.00,83.56
3850.00,83.59
3849.00,83.65
3848.00,83.68
3847.00,83.66
3846.00,83.63
3845.00,83.61
3844.00,83.62
3843.00,83.63
3842.00,83.64
3841.00,83.61
3840.00,83.58
3839.00,83.58
3838.00,83.58
3837.00,83.58
3836.00,83.58
3835.00,83.61
3834.00,83.63
3833.00,83.65
3832.00,83.66
3831.00,83.68
3830.00,83.68
3829.00,83.65
3828.00,83.61
3827.00,83.61
3826.00,83.67
3825.00,83.72
3824.00,83.70
3823.00,83.66
3822.00,83.65
3821.00,83.69
3820.00,83.73
3819.00,83.68
3818.00,83.60
3817.00,83.58
3816.00,83.62
3815.00,83.64
3814.00,83.60
3813.00,83.56
3812.00,83.58
3811.00,83.66
3810.00,83.68
3809.00,83.65
3808.00,83.63
3807.00,83.68
3806.00,83.74
3805.00,83.72
3804.00,83.65
3803.00,83.60
3802.00,83.63
3801.00,83.66
3800.00,83.64
3799.00,83.59
3798.00,83.59
3797.00,83.64
3796.00,83.68
3795.00,83.67
3794.00,83.62
3793.00,83.59
3792.00,83.59
3791.00,83.60
3790.00,83.59
3789.00,83.58
3788.00,83.58
3787.00,83.58
3786.00,83.58
3785.00,83.58
3784.00,83.61
3783.00,83.63
3782.00,83.61
3781.00,83.58
3780.00,83.58
3779.00,83.61
3778.00,83.63
3777.00,83.61
3776.00,83.59
3775.00,83.61
3774.00,83.64
3773.00,83.64
3772.00,83.62
3771.00,83.63
3770.00,83.67
3769.00,83.69
3768.00,83.66
3767.00,83.63
3766.00,83.65
3765.00,83.68
3764.00,83.69
3763.00,83.68
3762.00,83.65
3761.00,83.65
3760.00,83.67
3759.00,83.69
3758.00,83.69
3757.00,83.71
3756.00,83.71
3755.00,83.71
3754.00,83.74
3753.00,83.82
3752.00,83.89
3751.00,83.91
3750.00,83.91
3749.00,83.92
3748.00,83.88
3747.00,83.76
3746.00,83.67
3745.00,83.67
3744.00,83.73
3743.00,83.74
3742.00,83.73
3741.00,83.79
3740.00,83.91
3739.00,83.99
3738.00,83.96
3737.00,83.90
3736.00,83.88
3735.00,83.86
3734.00,83.82
3733.00,83.80
3732.00,83.81
3731.00,83.80
3730.00,83.77
3729.00,83.74
3728.00,83.73
3727.00,83.74
3726.00,83.73
3725.00,83.70
3724.00,83.67
3723.00,83.65
3722.00,83.66
3721.00,83.67
3720.00,83.67
3719.00,83.65
3718.00,83.66
3717.00,83.69
3716.00,83.71
3715.00,83.72
3714.00,83.76
3713.00,83.80
3712.00,83.80
3711.00,83.77
3710.00,83.74
3709.00,83.74
3708.00,83.73
3707.00,83.72
3706.00,83.71
3705.00,83.69
3704.00,83.66
3703.00,83.63
3702.00,83.63
3701.00,83.65
3700.00,83.66
3699.00,83.65
3698.00,83.64
3697.00,83.66
3696.00,83.68
3695.00,83.67
3694.00,83.66
3693.00,83.67
3692.00,83.68
3691.00,83.67
3690.00,83.69
3689.00,83.72
3688.00,83.72
3687.00,83.70
3686.00,83.67
3685.00,83.67
3684.00,83.71
3683.00,83.73
3682.00,83.71
3681.00,83.68
3680.00,83.71
3679.00,83.79
3678.00,83.84
3677.00,83.84
3676.00,83.85
3675.00,83.87
3674.00,83.85
3673.00,83.79
3672.00,83.76
3671.00,83.77
3670.00,83.76
3669.00,83.73
3668.00,83.69
3667.00,83.67
3666.00,83.67
3665.00,83.68
3664.00,83.68
3663.00,83.66
3662.00,83.63
3661.00,83.64
3660.00,83.67
3659.00,83.70
3658.00,83.69
3657.00,83.70
3656.00,83.73
3655.00,83.76
3654.00,83.74
3653.00,83.74
3652.00,83.80
3651.00,83.89
3650.00,83.92
3649.00,83.86
3648.00,83.80
3647.00,83.77
3646.00,83.75
3645.00,83.73
3644.00,83.70
3643.00,83.68
3642.00,83.66
3641.00,83.64
3640.00,83.63
3639.00,83.64
3638.00,83.66
3637.00,83.67
3636.00,83.67
3635.00,83.67
3634.00,83.70
3633.00,83.75
3632.00,83.79
3631.00,83.81
3630.00,83.83
3629.00,83.85
3628.00,83.83
3627.00,83.77
3626.00,83.72
3625.00,83.72
3624.00,83.73
3623.00,83.72
3622.00,83.67
3621.00,83.64
3620.00,83.63
3619.00,83.65
3618.00,83.68
3617.00,83.71
3616.00,83.71
3615.00,83.71
3614.00,83.73
3613.00,83.77
3612.00,83.80
3611.00,83.80
3610.00,83.79
3609.00,83.77
3608.00,83.73
3607.00,83.69
3606.00,83.65
3605.00,83.64
3604.00,83.64
3603.00,83.63
3602.00,83.62
3601.00,83.64
3600.00,83.65
3599.00,83.65
3598.00,83.64
3597.00,83.64
3596.00,83.64
3595.00,83.63
3594.00,83.63
3593.00,83.66
3592.00,83.69
3591.00,83.70
3590.00,83.71
3589.00,83.70
3588.00,83.69
3587.00,83.68
3586.00,83.66
3585.00,83.65
3584.00,83.63
3583.00,83.61
