wavelength_nm,intensity,spectrum_id,spectrum_name,point_index,x_unit,y_unit
345.39,4.210964333333333,afe29383-1696-4d44-970d-052d9d544c81,Sun Redo,0,nm,absorbance
345.61,4.210964333333333,afe29383-1696-4d44-970d-052d9d544c81,Sun Redo,1,nm,absorbance
345.82,4.210964333333333,afe29383-1696-4d44-970d-052d9d544c81,Sun Redo,2,nm,absorbance
346.04,-16.30789811111111,afe29383-1696-4d44-970d-052d9d544c81,Sun Redo,3,nm,absorbance
346.26,5.235247333333333,afe29383-1696-4d44-970d-052d9d544c81,Sun Redo,4,nm,absorbance
346.48,1.8180736888888884,afe29383-1696-4d44-970d-052d9d544c81,Sun Redo,5,nm,absorbance
346.7,9.835199333333334,afe29383-1696-4d44-970d-052d9d544c81,Sun Redo,6,nm,absorbance
346.92,10.210333111111112,afe29383-1696-4d44-970d-052d9d544c81,Sun Redo,7,nm,absorbance
347.14,1.4315443333333338,afe29383-1696-4d44-970d-052d9d544c81,Sun Redo,8,nm,absorbance
347.36,-6.9756089999999995,afe29383-1696-4d44-970d-052d9d544c81,Sun Redo,9,nm,absorbance
347.58,6.809046555555555,afe29383-1696-4d44-970d-052d9d544c81,Sun Redo,10,nm,absorbance
347.8,-20.965547,afe29383-1696-4d44-970d-052d9d544c81,Sun Redo,11,nm,absorbance
348.02,-10.09039111111111,afe29383-1696-4d44-970d-052d9d544c81,Sun Redo,12,nm,absorbance
348.23,-2.4252232,afe29383-1696-4d44-970d-052d9d544c81,Sun Redo,13,nm,absorbance
348.45,1.6497719111111113,afe29383-1696-4d44-970d-052d9d544c81,Sun Redo,14,nm,absorbance
348.67,-0.8666329999999999,afe29383-1696-4d44-970d-052d9d544c81,Sun Redo,15,nm,absorbance
348.89,9.496906777777777,afe29383-1696-4d44-970d-052d9d544c81,Sun Redo,16,nm,absorbance
349.11,-18.608445555555555,afe29383-1696-4d44-970d-052d9d544c81,Sun Redo,17,nm,absorbance
349.33,266.01396666666665,afe29383-1696-4d44-970d-052d9d544c81,Sun Redo,18,nm,absorbance
349.55,819.8342333333334,afe29383-1696-4d44-970d-052d9d544c81,Sun Redo,19,nm,absorbance
349.77,813.1825111111111,afe29383-1696-4d44-970d-052d9d544c81,Sun Redo,20,nm,absorbance
349.99,863.6675,afe29383-1696-4d44-970d-052d9d544c81,Sun Redo,21,nm,absorbance
350.2,826.1443666666668,afe29383-1696-4d44-970d-052d9d544c81,Sun Redo,22,nm,absorbance
350.42,901.914488888889,afe29383-1696-4d44-970d-052d9d544c81,Sun Redo,23,nm,absorbance
350.64,856.6714888888889,afe29383-1696-4d44-970d-052d9d544c81,Sun Redo,24,nm,absorbance
350.86,890.8101222222223,afe29383-1696-4d44-970d-052d9d544c81,Sun Redo,25,nm,absorbance
351.08,883.2981888888888,afe29383-1696-4d44-970d-052d9d544c81,Sun Redo,26,nm,absorbance
351.3,902.0222444444445,afe29383-1696-4d44-970d-052d9d544c81,Sun Redo,27,nm,absorbance
351.52,900.8578444444444,afe29383-1696-4d44-970d-052d9d544c81,Sun Redo,28,nm,absorbance
351.74,971.1864555555557,afe29383-1696-4d44-970d-052d9d544c81,Sun Redo,29,nm,absorbance
351.96,943.9312555555555,afe29383-1696-4d44-970d-052d9d544c81,Sun Redo,30,nm,absorbance
