wavelength_nm,intensity,spectrum_id,spectrum_name,point_index,x_unit,y_unit
345.386,-4.148262,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,0,nm,absorbance
345.605,-4.148262,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,1,nm,absorbance
345.824,0.5072399999999999,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,2,nm,absorbance
346.044,-0.15800899999999993,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,3,nm,absorbance
346.263,0.592857,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,4,nm,absorbance
346.482,-3.129449,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,5,nm,absorbance
346.701,2.055453,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,6,nm,absorbance
346.92,3.822152,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,7,nm,absorbance
347.139,4.800066,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,8,nm,absorbance
347.358,-1.6884799999999998,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,9,nm,absorbance
347.577,1.0412499999999998,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,10,nm,absorbance
347.796,1.6509629999999997,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,11,nm,absorbance
348.015,5.146559999999999,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,12,nm,absorbance
348.234,0.900934,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,13,nm,absorbance
348.453,-4.660585,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,14,nm,absorbance
348.672,-5.5116629999999995,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,15,nm,absorbance
348.891,-9.048112,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,16,nm,absorbance
349.11,-0.40941600000000006,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,17,nm,absorbance
349.329,-2.877324,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,18,nm,absorbance
349.548,-0.31846799999999986,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,19,nm,absorbance
349.767,2.210051,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,20,nm,absorbance
349.986,5.333326000000001,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,21,nm,absorbance
350.205,7.6675759999999995,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,22,nm,absorbance
350.424,4.602361,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,23,nm,absorbance
350.643,7.328049,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,24,nm,absorbance
350.862,2.2255030000000002,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,25,nm,absorbance
351.08,-1.003214,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,26,nm,absorbance
351.299,-2.565194,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,27,nm,absorbance
351.518,1.3991909999999996,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,28,nm,absorbance
351.737,1.086679,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,29,nm,absorbance
351.956,1.0604220000000002,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,30,nm,absorbance
352.174,3.6520160000000006,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,31,nm,absorbance
352.393,3.3812560000000005,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,32,nm,absorbance
352.612,2.129504,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,33,nm,absorbance
352.831,3.043545,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,34,nm,absorbance
353.049,5.781797,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,35,nm,absorbance
