wavelength_nm,intensity,spectrum_id,spectrum_name,point_index,x_unit,y_unit,wavelength_calibrated_nm
345.386,-5.483229,abb5f43e-39f7-4e00-9c94-18a2b72b0413,CO2 Lamp,0,nm,absorbance,341.21027603164254
345.605,-5.483229,abb5f43e-39f7-4e00-9c94-18a2b72b0413,CO2 Lamp,1,nm,absorbance,341.4276528070887
345.824,-1.6040389999999995,abb5f43e-39f7-4e00-9c94-18a2b72b0413,CO2 Lamp,2,nm,absorbance,341.6450295825348
346.044,-3.1500570000000003,abb5f43e-39f7-4e00-9c94-18a2b72b0413,CO2 Lamp,3,nm,absorbance,341.86339894599666
346.263,-1.5775320000000002,abb5f43e-39f7-4e00-9c94-18a2b72b0413,CO2 Lamp,4,nm,absorbance,342.0807757214428
346.482,-4.386212,abb5f43e-39f7-4e00-9c94-18a2b72b0413,CO2 Lamp,5,nm,absorbance,342.29815249688903
346.701,1.53633,abb5f43e-39f7-4e00-9c94-18a2b72b0413,CO2 Lamp,6,nm,absorbance,342.51552927233513
346.92,2.9903190000000004,abb5f43e-39f7-4e00-9c94-18a2b72b0413,CO2 Lamp,7,nm,absorbance,342.7329060477813
347.139,3.661925,abb5f43e-39f7-4e00-9c94-18a2b72b0413,CO2 Lamp,8,nm,absorbance,342.95028282322744
347.358,-2.669918,abb5f43e-39f7-4e00-9c94-18a2b72b0413,CO2 Lamp,9,nm,absorbance,343.1676595986736
347.577,-1.420545,abb5f43e-39f7-4e00-9c94-18a2b72b0413,CO2 Lamp,10,nm,absorbance,343.3850363741197
347.796,-0.357794,abb5f43e-39f7-4e00-9c94-18a2b72b0413,CO2 Lamp,11,nm,absorbance,343.60241314956585
348.015,5.660681,abb5f43e-39f7-4e00-9c94-18a2b72b0413,CO2 Lamp,12,nm,absorbance,343.819789925012
348.234,2.800855,abb5f43e-39f7-4e00-9c94-18a2b72b0413,CO2 Lamp,13,nm,absorbance,344.03716670045816
348.453,-1.345646,abb5f43e-39f7-4e00-9c94-18a2b72b0413,CO2 Lamp,14,nm,absorbance,344.25454347590426
348.672,-4.5242640000000005,abb5f43e-39f7-4e00-9c94-18a2b72b0413,CO2 Lamp,15,nm,absorbance,344.47192025135047
348.891,-7.692496000000001,abb5f43e-39f7-4e00-9c94-18a2b72b0413,CO2 Lamp,16,nm,absorbance,344.6892970267966
349.11,4.939941,abb5f43e-39f7-4e00-9c94-18a2b72b0413,CO2 Lamp,17,nm,absorbance,344.9066738022428
