wavelength_nm,intensity,spectrum_id,spectrum_name,point_index,x_unit,y_unit,wavelength_calibrated_nm
345.386,0.4738039999999997,4ef7a7ad-18f5-4edc-8181-d1957c45b67f,Neon Lamp,0,nm,absorbance,341.21027603164254
345.605,0.4738039999999997,4ef7a7ad-18f5-4edc-8181-d1957c45b67f,Neon Lamp,1,nm,absorbance,341.4276528070887
345.824,1.7108339999999995,4ef7a7ad-18f5-4edc-8181-d1957c45b67f,Neon Lamp,2,nm,absorbance,341.6450295825348
346.044,-0.0894290000000001,4ef7a7ad-18f5-4edc-8181-d1957c45b67f,Neon Lamp,3,nm,absorbance,341.86339894599666
346.263,-1.255954,4ef7a7ad-18f5-4edc-8181-d1957c45b67f,Neon Lamp,4,nm,absorbance,342.0807757214428
346.482,-3.92041,4ef7a7ad-18f5-4edc-8181-d1957c45b67f,Neon Lamp,5,nm,absorbance,342.29815249688903
346.701,0.6027220000000002,4ef7a7ad-18f5-4edc-8181-d1957c45b67f,Neon Lamp,6,nm,absorbance,342.51552927233513
346.92,3.552601,4ef7a7ad-18f5-4edc-8181-d1957c45b67f,Neon Lamp,7,nm,absorbance,342.7329060477813
347.139,4.2762,4ef7a7ad-18f5-4edc-8181-d1957c45b67f,Neon Lamp,8,nm,absorbance,342.95028282322744
347.358,-3.584139999999999,4ef7a7ad-18f5-4edc-8181-d1957c45b67f,Neon Lamp,9,nm,absorbance,343.1676595986736
347.577,-1.975766,4ef7a7ad-18f5-4edc-8181-d1957c45b67f,Neon Lamp,10,nm,absorbance,343.3850363741197
347.796,-1.803116,4ef7a7ad-18f5-4edc-8181-d1957c45b67f,Neon Lamp,11,nm,absorbance,343.60241314956585
348.015,4.971378,4ef7a7ad-18f5-4edc-8181-d1957c45b67f,Neon Lamp,12,nm,absorbance,343.819789925012
348.234,1.6027209999999996,4ef7a7ad-18f5-4edc-8181-d1957c45b67f,Neon Lamp,13,nm,absorbance,344.03716670045816
348.453,-0.8581520000000001,4ef7a7ad-18f5-4edc-8181-d1957c45b67f,Neon Lamp,14,nm,absorbance,344.25454347590426
