wavelength_nm,intensity,spectrum_id,spectrum_name,point_index,x_unit,y_unit,wavelength_calibrated_nm
345.386,-2.345679,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,0,nm,absorbance,341.21027603164254
345.605,-2.345679,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,1,nm,absorbance,341.4276528070887
345.824,0.910424,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,2,nm,absorbance,341.6450295825348
346.044,1.008306,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,3,nm,absorbance,341.86339894599666
346.263,0.581664,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,4,nm,absorbance,342.0807757214428
346.482,-3.26092,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,5,nm,absorbance,342.29815249688903
346.701,-0.4466360000000001,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,6,nm,absorbance,342.51552927233513
346.92,2.441697,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,7,nm,absorbance,342.7329060477813
347.139,3.625114,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,8,nm,absorbance,342.95028282322744
347.358,-3.1985850000000005,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,9,nm,absorbance,343.1676595986736
347.577,-1.3361289999999997,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,10,nm,absorbance,343.3850363741197
347.796,0.140705,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,11,nm,absorbance,343.60241314956585
348.015,7.303071,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,12,nm,absorbance,343.819789925012
348.234,3.833516000000001,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,13,nm,absorbance,344.03716670045816
348.453,-0.4105109999999999,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,14,nm,absorbance,344.25454347590426
348.672,-3.6545770000000006,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,15,nm,absorbance,344.47192025135047
348.891,-5.880705000000001,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,16,nm,absorbance,344.6892970267966
349.11,2.926401,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,17,nm,absorbance,344.9066738022428
349.329,4.083794,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,18,nm,absorbance,345.12405057768893
349.548,8.072677,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,19,nm,absorbance,345.34142735313503
349.767,11.716134,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,20,nm,absorbance,345.5588041285812
349.986,16.350227,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,21,nm,absorbance,345.77618090402734
350.205,19.680408,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,22,nm,absorbance,345.9935576794735
350.424,17.603274000000003,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,23,nm,absorbance,346.2109344549196
350.643,19.993461,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,24,nm,absorbance,346.42831123036575
350.862,15.219462000000002,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,25,nm,absorbance,346.64568800581196
351.08,12.304918,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,26,nm,absorbance,346.86207219324234
351.299,9.416409,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,27,nm,absorbance,347.0794489686885
351.518,13.637315,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,28,nm,absorbance,347.2968257441346
351.737,13.282213,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,29,nm,absorbance,347.5142025195808
351.956,14.396538000000003,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,30,nm,absorbance,347.73157929502696
352.174,17.166462000000003,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,31,nm,absorbance,347.94796348245734
352.393,18.588953,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,32,nm,absorbance,348.16534025790344
352.612,20.017779,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,33,nm,absorbance,348.38271703334965
352.831,21.810072,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,34,nm,absorbance,348.6000938087958
353.049,24.803963,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,35,nm,absorbance,348.8164779962262
353.268,23.807786,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,36,nm,absorbance,349.03385477167234
353.487,24.906146000000003,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,37,nm,absorbance,349.2512315471185
353.705,23.323315,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,38,nm,absorbance,349.4676157345489
353.924,26.372222,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,39,nm,absorbance,349.684992509995
354.143,25.225571,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,40,nm,absorbance,349.9023692854412
354.361,29.270038,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,41,nm,absorbance,350.1187534728716
354.58,29.99316,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,42,nm,absorbance,350.3361302483177
354.798,33.159274,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,43,nm,absorbance,350.55251443574815
355.017,32.027589000000006,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,44,nm,absorbance,350.7698912111943
355.236,32.430303,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,45,nm,absorbance,350.98726798664046
355.454,27.372174,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,46,nm,absorbance,351.2036521740709
355.673,30.227486,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,47,nm,absorbance,351.42102894951705
355.891,29.845062,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,48,nm,absorbance,351.63741313694743
356.11,34.005453,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,49,nm,absorbance,351.8547899123936
356.328,34.356882,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,50,nm,absorbance,352.07117409982396
356.547,37.235215,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,51,nm,absorbance,352.2885508752702
356.765,39.92185500000001,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,52,nm,absorbance,352.50493506270055
356.984,40.349114,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,53,nm,absorbance,352.7223118381467
357.202,39.786664,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,54,nm,absorbance,352.9386960255771
357.42,41.405767,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,55,nm,absorbance,353.1550802130075
357.639,42.047963,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,56,nm,absorbance,353.3724569884537
357.857,45.998504,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,57,nm,absorbance,353.5888411758841
358.076,44.99699,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,58,nm,absorbance,353.80621795133027
358.294,51.615224,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,59,nm,absorbance,354.02260213876065
358.512,54.04996100000001,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,60,nm,absorbance,354.2389863261911
358.731,55.207204,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,61,nm,absorbance,354.4563631016372
358.949,52.276259,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,62,nm,absorbance,354.6727472890676
359.167,49.54478900000001,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,63,nm,absorbance,354.889131476498
359.386,49.863692,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,64,nm,absorbance,355.1065082519442
359.604,46.963793,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,65,nm,absorbance,355.3228924393746
359.822,51.358841000000005,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,66,nm,absorbance,355.539276626805
360.04,52.33449400000001,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,67,nm,absorbance,355.75566081423545
360.259,50.797523,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,68,nm,absorbance,355.97303758968155
360.477,49.24566,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,69,nm,absorbance,356.18942177711193
360.695,47.748551000000006,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,70,nm,absorbance,356.40580596454237
