wavelength_nm,intensity,spectrum_id,spectrum_name,point_index,x_unit,y_unit,wavelength_calibrated_nm
345.386,-4.148262,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,0,nm,absorbance,341.21027603164254
345.605,-4.148262,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,1,nm,absorbance,341.4276528070887
345.824,0.5072399999999999,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,2,nm,absorbance,341.6450295825348
346.044,-0.1580089999999999,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,3,nm,absorbance,341.86339894599666
346.263,0.592857,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,4,nm,absorbance,342.0807757214428
346.482,-3.129449,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,5,nm,absorbance,342.29815249688903
346.701,2.055453,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,6,nm,absorbance,342.51552927233513
346.92,3.822152,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,7,nm,absorbance,342.7329060477813
347.139,4.800066,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,8,nm,absorbance,342.95028282322744
347.358,-1.6884799999999998,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,9,nm,absorbance,343.1676595986736
347.577,1.0412499999999998,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,10,nm,absorbance,343.3850363741197
347.796,1.6509629999999995,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,11,nm,absorbance,343.60241314956585
348.015,5.146559999999999,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,12,nm,absorbance,343.819789925012
348.234,0.900934,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,13,nm,absorbance,344.03716670045816
348.453,-4.660585,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,14,nm,absorbance,344.25454347590426
348.672,-5.511663,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,15,nm,absorbance,344.47192025135047
348.891,-9.048112,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,16,nm,absorbance,344.6892970267966
349.11,-0.409416,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,17,nm,absorbance,344.9066738022428
349.329,-2.877324,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,18,nm,absorbance,345.12405057768893
349.548,-0.3184679999999998,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,19,nm,absorbance,345.34142735313503
349.767,2.210051,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,20,nm,absorbance,345.5588041285812
349.986,5.333326000000001,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,21,nm,absorbance,345.77618090402734
350.205,7.667575999999999,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,22,nm,absorbance,345.9935576794735
350.424,4.602361,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,23,nm,absorbance,346.2109344549196
350.643,7.328049,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,24,nm,absorbance,346.42831123036575
350.862,2.225503,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,25,nm,absorbance,346.64568800581196
351.08,-1.003214,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,26,nm,absorbance,346.86207219324234
351.299,-2.565194,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,27,nm,absorbance,347.0794489686885
351.518,1.3991909999999996,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,28,nm,absorbance,347.2968257441346
351.737,1.086679,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,29,nm,absorbance,347.5142025195808
351.956,1.0604220000000002,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,30,nm,absorbance,347.73157929502696
352.174,3.6520160000000006,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,31,nm,absorbance,347.94796348245734
352.393,3.3812560000000005,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,32,nm,absorbance,348.16534025790344
352.612,2.129504,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,33,nm,absorbance,348.38271703334965
352.831,3.043545,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,34,nm,absorbance,348.6000938087958
353.049,5.781797,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,35,nm,absorbance,348.8164779962262
353.268,5.9937190000000005,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,36,nm,absorbance,349.03385477167234
353.487,7.333644,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,37,nm,absorbance,349.2512315471185
353.705,4.070525999999999,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,38,nm,absorbance,349.4676157345489
353.924,5.605770000000001,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,39,nm,absorbance,349.684992509995
354.143,2.892441,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,40,nm,absorbance,349.9023692854412
354.361,6.9279530000000005,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,41,nm,absorbance,350.1187534728716
354.58,6.230818,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,42,nm,absorbance,350.3361302483177
354.798,6.617635,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,43,nm,absorbance,350.55251443574815
355.017,4.173223999999999,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,44,nm,absorbance,350.7698912111943
355.236,3.335122,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,45,nm,absorbance,350.98726798664046
355.454,-1.32894,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,46,nm,absorbance,351.2036521740709
355.673,-0.912017,d37b79a3-8c4f-4b8a-8508-1150e238c472,Xenon Lamp,47,nm,absorbance,351.42102894951705
