wavelength_nm,intensity_mean,
345.386,-16.661188,
345.605,-16.661188,
345.824,-16.661188,
346.044,20.191414,
346.263,-47.869438,
346.482,29.871522,
346.701,14.969728,
346.92,2.329568,
347.139,3.003962,
347.358,-17.07898,
347.577,-22.472062,
347.796,-20.249598,
348.015,-2.871224,
348.234,-3.541102,
348.453,28.756222,
348.672,-2.636444,
348.891,-10.086072,
349.11,30.499338,
349.329,1953.523746,
349.548,3085.688946,
349.767,3357.948996,
349.986,3624.859054,
350.205,3871.10323,
350.424,4058.44149,
350.643,4273.048364,
350.862,4293.10004,
351.08,4629.136516,
351.299,4729.96253,
351.518,4995.239112,
351.737,5405.399742,
351.956,5703.71527,
352.174,6027.492956,
352.393,6465.718792,
352.612,6979.64151,
352.831,7398.014858,
353.049,8000.339392,
353.268,8431.23382,
353.487,9214.504628,
353.705,9596.051416,
353.924,10387.22944,
354.143,10784.72485,
354.361,11158.40351,
354.58,11354.07207,
354.798,11551.89902,
355.017,11661.7453,
355.236,11560.92098,
355.454,11879.74856,
355.673,12208.65,
355.891,12360.49179,
356.11,12287.52182,
356.328,12223.11351,
356.547,12298.24978,
356.765,12055.97995,
356.984,12119.93122,
357.202,11948.14807,
357.42,11987.65094,
357.639,11729.26729,
357.857,11356.92685,
358.076,11047.02793,
358.294,10626.93227,
358.512,10388.82218,
358.731,10120.51223,
358.949,10002.6881,
359.167,10123.42613,
359.386,10129.92583,
359.604,9989.992114,
359.822,10004.02776,
360.04,9848.012746,
360.259,9544.806732,
360.477,9077.125212,
360.695,8702.27234,
360.913,8182.53675,
361.131,7672.651324,
361.35,7028.184382,
361.568,6131.795852,
361.786,5357.2922,
362.004,4511.604074,
362.222,3603.735982,
362.44,2784.995894,
362.658,1986.331778,
362.876,1417.03758,
363.094,1180.108968,
363.312,1202.466524,
363.53,1248.856428,
363.749,1275.05626,
363.967,1347.840642,
364.184,1422.212496,
364.402,1434.913628,
364.62,1503.62439,
364.838,1556.792202,
365.056,1581.054086,
365.274,1781.963276,
365.492,1829.798638,
365.71,1887.767376,
365.928,2060.312052,
366.146,2199.782564,
366.364,2391.382434,
366.581,2545.586826,
366.799,2651.484016,
367.017,2815.078196,
367.235,2994.847196,
367.453,3205.53313,
367.67,3291.528254,
367.888,3414.844474,
368.106,3466.434602,
368.323,3541.681852,
368.541,3653.019346,
368.759,3718.22104,
368.977,3827.766216,
369.194,3883.883842,
369.412,3979.693014,
369.629,4168.198658,
369.847,4249.997734,
370.065,4363.298542,
370.282,4736.95981,
370.5,4924.654732,
370.717,5146.012436,
370.935,5355.393628,
371.152,5592.93291,
371.37,5960.47052,
371.588,6214.022708,
371.805,6489.709368,
372.022,6724.374064,
372.24,6830.196738,
372.457,6975.028538,
372.675,7081.048912,
372.892,7153.218484,
373.11,7263.19152,
373.327,7325.257808,
373.544,7358.360734,
373.762,7612.04494,
373.979,7589.548394,
374.196,7603.664056,
374.414,7536.694102,
374.631,7751.297838,
374.848,7866.230236,
375.066,7717.157156,
375.283,7887.66828,
375.5,7858.053296,
375.717,8118.26713,
375.935,8240.894612,
376.152,8434.541626,
376.369,8674.443894,
376.586,8929.730774,
376.803,9163.365648,
377.02,9547.815508,
377.238,9705.038922,
377.455,9638.39806,
377.672,9953.06454,
377.889,9808.602952,
378.106,9828.27598,
378.323,9840.489728,
378.54,9800.133738,
378.757,9509.917478,
378.974,9097.580902,
379.191,9052.75022,
379.408,8877.227346,
379.625,8521.138668,
379.842,8005.680866,
380.059,7856.809474,
380.276,7395.603264,
380.493,6928.85313,
380.71,6764.87211,
380.927,6492.25392,
381.143,6480.40471,
381.36,6684.426732,
381.577,6684.430846,
381.794,6626.739256,
382.011,6674.2654,
382.228,6804.209098,
382.444,6785.65336,
382.661,6660.226594,
382.878,6615.127828,
383.095,6508.804502,
383.311,6486.946888,
383.528,6071.27256,
383.745,5881.864494,
383.962,5810.129086,
384.178,5585.176884,
384.395,5092.199456,
384.612,4710.255452,
384.828,4385.694212,
385.045,3943.927284,
385.261,3639.128734,
385.478,3184.0001,
385.695,2870.694682,
385.911,2773.328628,
386.128,2626.718162,
386.344,2678.40004,
386.561,2723.068314,
386.777,2730.72201,
386.994,2826.034418,
387.21,2891.602024,
387.427,2978.600492,
387.643,3040.157958,
387.86,3093.135052,
388.076,3102.20531,
388.292,3170.317096,
388.509,3195.227956,
388.725,3304.312392,
388.942,3450.344674,
389.158,3587.883374,
389.374,3680.163852,
389.591,3611.632542,
389.807,3752.90999,
390.023,4068.920852,
390.239,4011.685548,
390.456,4182.199772,
390.672,4276.59037,
390.888,4286.778436,
391.104,4524.369934,
391.321,4474.989332,
391.537,4632.30611,
391.753,4418.691,
391.969,4592.08721,
392.185,4624.373744,
392.401,4596.35741,
392.618,4432.251972,
392.834,4369.873592,
393.05,4520.160646,
393.266,4433.9183,
393.482,4469.881934,
393.698,4300.347624,
393.914,4249.238046,
394.13,4312.364378,
394.346,4179.73908,
394.562,4206.266962,
394.778,4197.912386,
394.994,4414.99661,
395.21,4634.336756,
395.426,4748.073948,
395.642,4894.165094,
395.858,5285.09572,
396.073,5192.189936,
396.289,5481.707786,
396.505,5636.737948,
396.721,5728.221434,
396.937,5767.079032,
397.153,5452.901848,
397.369,5618.767994,
397.584,5687.893388,
397.8,5424.569766,
398.016,5302.282864,
398.232,5254.97339,
398.447,5053.334626,
398.663,4866.11346,
398.879,4617.17131,
399.094,4563.430102,
399.31,4343.411578,
399.526,4120.829056,
399.741,4104.615048,
399.957,4009.504072,
400.173,4056.172726,
400.388,4083.699254,
400.604,4228.301162,
400.82,4268.405474,
401.035,4555.723802,
401.251,4586.988784,
401.466,4543.178476,
401.682,4830.301814,
401.897,5052.191848,
402.113,4962.356778,
402.328,5092.900722,
402.544,5124.702314,
402.759,5008.529604,
402.974,4936.25556,
403.19,4768.60013,
403.405,4978.505984,
403.621,4849.881148,
403.836,4569.003816,
404.051,4571.721144,
404.267,4241.059216,
404.482,3933.008748,
404.697,3605.830362,
404.913,3450.078472,
405.128,3534.159516,
405.343,3329.679046,
405.559,3189.178402,
405.774,3264.41459,
405.989,3412.913438,
406.204,3408.459012,
406.42,3356.862066,
406.635,3432.3446,
406.85,3442.040262,
407.065,3496.32763,
407.28,3527.792766,
407.495,3607.69907,
407.71,3470.226206,
407.926,3572.88676,
408.141,3772.084878,
408.356,3677.430122,
408.571,3671.219868,
408.786,3505.85302,
409.001,3577.880152,
409.216,3686.604548,
409.431,3611.049718,
409.646,3486.704524,
409.861,3403.676106,
410.076,3280.366296,
410.291,3296.044582,
410.506,3178.325532,
410.721,3026.192446,
410.936,2922.706746,
411.15,2799.849154,
411.365,2724.34401,
411.58,2676.774822,
411.795,2578.807234,
412.01,2545.22553,
412.225,2559.428884,
412.439,2460.949754,
412.654,2461.594074,
412.869,2462.714184,
413.084,2383.542056,
413.299,2391.956092,
413.513,2241.411016,
413.728,2194.55384,
413.943,2260.516846,
414.157,2161.149218,
414.372,2138.916508,
414.587,2204.403342,
414.801,2232.74779,
415.016,2209.015248,
415.231,2253.039528,
415.445,2311.37536,
415.66,2408.666772,
415.874,2563.159634,
416.089,2548.833628,
416.304,2738.395302,
416.518,2779.239718,
416.733,2825.325278,
416.947,2853.060626,
417.162,2843.344098,
417.376,2916.87632,
417.59,2901.796526,
417.805,2884.711492,
418.019,2714.044994,
418.234,2621.924762,
418.448,2546.324654,
418.663,2503.860472,
418.877,2391.93623,
419.091,2394.515654,
419.306,2274.307942,
419.52,2195.811724,
419.734,2087.871506,
419.949,2159.527674,
420.163,2233.58303,
420.377,2039.715992,
420.591,2068.922536,
420.806,2190.482146,
421.02,2214.364932,
421.234,2316.66659,
421.448,2316.801992,
421.663,2414.941834,
421.877,2402.816694,
422.091,2453.233586,
422.305,2541.801856,
422.519,2560.294954,
422.733,2836.63491,
422.947,2764.47495,
423.161,2777.011582,
423.376,2864.61969,
423.59,2871.571264,
423.804,2861.580314,
424.018,2790.536018,
424.232,2725.452384,
424.446,2740.920226,
424.66,2598.77608,
424.874,2447.22214,
425.088,2235.876874,
425.302,2166.210088,
425.515,2258.670744,
425.729,2100.329964,
425.943,2043.576866,
426.157,2062.755726,
426.371,1966.279578,
426.585,2037.571396,
426.799,2042.296864,
427.013,2057.600604,
427.226,2142.065854,
427.44,2013.746848,
427.654,2022.695562,
427.868,2079.974324,
428.081,2113.322052,
428.295,2024.396132,
428.509,2041.559704,
428.723,2049.35951,
428.936,2065.942088,
429.15,1992.025996,
429.364,2121.829824,
429.577,2071.542876,
429.791,2118.657406,
430.005,2229.174296,
430.218,2248.518922,
430.432,2088.313582,
430.645,2135.860542,
430.859,2174.366532,
431.073,2200.678564,
431.286,2196.797992,
431.5,2168.53612,
431.713,1969.435662,
431.927,1945.434532,
432.14,1970.243958,
432.354,1878.122678,
432.567,1791.327636,
432.781,1860.4246,
432.994,1809.231378,
433.207,1849.580338,
433.421,1831.619514,
433.634,1840.66807,
433.848,1846.24818,
434.061,1752.494354,
434.274,1730.135108,
434.488,1795.879644,
434.701,1791.383522,
434.914,1783.683492,
435.127,1883.762414,
435.341,1908.971364,
435.554,1906.50935,
435.767,1961.952708,
435.98,2034.456184,
436.194,1982.02951,
436.407,1972.288146,
436.62,2155.054004,
436.833,2127.857548,
437.046,2089.273272,
437.259,2060.607984,
437.473,2149.70319,
437.686,2222.021194,
437.899,2158.87123,
438.112,2291.868096,
438.325,2162.393368,
438.538,2125.945674,
438.751,2220.172694,
438.964,2058.11141,
439.177,1942.749542,
439.39,1838.504026,
439.603,1831.605178,
439.816,1688.261598,
440.029,1688.290874,
440.242,1628.310992,
440.455,1545.311332,
440.668,1415.14022,
440.881,1337.309892,
441.094,1229.360616,
441.306,1291.004122,
441.519,1261.771668,
441.732,1256.567254,
441.945,1272.231418,
442.158,1165.285228,
442.37,1149.512878,
442.583,1212.41606,
442.796,1276.168816,
443.009,1279.329422,
443.222,1267.351666,
443.434,1181.401184,
443.647,1349.468504,
443.86,1372.128994,
444.072,1422.151678,
444.285,1433.814088,
444.498,1461.6301,
444.71,1439.827224,
444.923,1452.136922,
445.136,1459.014538,
445.348,1456.192852,
445.561,1439.169278,
445.773,1469.579966,
445.986,1375.018146,
446.198,1437.67941,
446.411,1332.012254,
446.623,1376.07786,
446.836,1236.134124,
447.048,1245.471694,
447.261,1271.727272,
447.473,1251.043726,
447.686,1122.1909,
447.898,1101.925698,
448.11,1166.397644,
448.323,1274.213262,
448.535,1169.255592,
448.748,1158.36013,
448.96,1130.300238,
449.172,1111.010238,
449.385,1124.887754,
449.597,1148.098506,
449.809,1153.733054,
450.021,1182.672132,
450.234,1174.712608,
450.446,1141.33,
450.658,1162.737494,
450.87,1176.813174,
451.083,1212.939612,
451.295,1219.148974,
451.507,1153.951206,
451.719,1155.920684,
451.931,1206.389306,
452.143,1185.470492,
452.356,1169.055706,
452.568,1150.82625,
452.78,1127.598172,
452.992,1085.198102,
453.204,1191.525924,
453.416,1060.14519,
453.628,1076.571322,
453.84,1036.999968,
454.052,1003.403276,
454.264,1029.787036,
454.476,1022.934282,
454.688,1026.813512,
454.9,1008.165986,
455.112,931.824218,
455.324,886.01374,
455.536,917.250428,
455.747,889.046612,
455.959,915.698528,
456.171,942.210434,
456.383,918.105356,
456.595,891.897114,
456.807,887.399568,
457.018,839.52792,
457.23,914.277798,
457.442,903.111962,
457.654,919.036138,
457.865,886.165782,
458.077,853.330528,
458.289,906.750492,
458.501,940.687238,
458.712,986.24063,
458.924,1024.49578,
459.136,962.947082,
459.347,920.002158,
459.559,875.869496,
459.77,983.226984,
459.982,1067.183606,
460.194,1038.112904,
460.405,983.218468,
460.617,1006.410272,
460.828,1062.604976,
461.04,1075.168006,
461.251,1040.025832,
461.463,1136.514926,
461.674,1089.686036,
461.886,1076.482242,
462.097,999.543112,
462.309,1028.827326,
462.52,1013.461602,
462.731,1017.486842,
462.943,953.329984,
463.154,922.904578,
463.366,959.642096,
463.577,1007.962772,
463.788,1004.847544,
464,959.483164,
464.211,1053.613746,
464.422,1033.253068,
464.634,1029.940154,
464.845,1048.267128,
465.056,1070.26484,
465.267,1121.357138,
465.478,1008.954464,
465.69,1057.073452,
465.901,1020.17768,
466.112,1035.254566,
466.323,1089.422142,
466.534,1090.36182,
466.745,1152.413062,
466.957,1144.166862,
467.168,1143.046936,
467.379,1118.770674,
467.59,1084.497714,
467.801,1164.518594,
468.012,1161.868944,
468.223,1231.130114,
468.434,1205.066438,
468.645,1270.485408,
468.856,1298.28545,
469.067,1274.084104,
469.278,1254.881516,
469.489,1230.654086,
469.7,1185.78594,
469.911,1117.365432,
470.122,1132.684144,
470.333,1160.003526,
470.543,1058.426656,
470.754,1047.314192,
470.965,1037.057866,
471.176,1004.145584,
471.387,981.52543,
471.598,911.174392,
471.808,927.599568,
472.019,941.921864,
472.23,872.87232,
472.441,893.03948,
472.651,900.048956,
472.862,866.723288,
473.073,858.25098,
473.283,864.11331,
473.494,831.722818,
473.705,862.749564,
473.915,821.963914,
474.126,915.260016,
474.337,891.33957,
474.547,853.600144,
474.758,869.369776,
474.968,845.881778,
475.179,846.17335,
475.389,865.957194,
475.6,873.81992,
475.81,828.336176,
476.021,828.589604,
476.231,879.494856,
476.442,835.42501,
476.652,769.100364,
476.863,776.34505,
477.073,807.188668,
477.284,795.580762,
477.494,797.598006,
477.704,870.729512,
477.915,901.013118,
478.125,860.46321,
478.335,884.219118,
478.546,901.260576,
478.756,922.486288,
478.966,950.492944,
479.177,933.371394,
479.387,924.046144,
479.597,948.984992,
479.807,948.82352,
480.018,1022.059874,
480.228,1005.801922,
480.438,1026.23165,
480.648,1062.910886,
480.858,988.460492,
481.068,1011.063838,
481.279,1032.193106,
481.489,1057.291294,
481.699,1044.332604,
481.909,1103.513786,
482.119,1118.649684,
482.329,1144.99845,
482.539,1153.560342,
482.749,1180.287446,
482.959,1204.135538,
483.169,1292.456084,
483.379,1250.967198,
483.589,1402.402732,
483.799,1338.467482,
484.009,1302.428218,
484.219,1342.24698,
484.429,1308.670548,
484.639,1300.52008,
484.849,1296.877338,
485.059,1311.205966,
485.268,1295.387628,
485.478,1264.954828,
485.688,1252.283828,
485.898,1286.23857,
486.108,1224.868968,
486.317,1237.844226,
486.527,1160.947074,
486.737,1141.619204,
486.947,1139.83788,
487.156,1128.887606,
487.366,1135.722158,
487.576,1113.57069,
487.785,1152.980402,
487.995,1126.695778,
488.205,1162.772428,
488.414,1208.078118,
488.624,1148.596476,
488.834,1233.711898,
489.043,1252.323432,
489.253,1258.129884,
489.462,1261.972892,
489.672,1257.14478,
489.882,1245.206388,
490.091,1284.48922,
490.301,1266.047402,
490.51,1279.90319,
490.72,1296.096104,
490.929,1301.962318,
491.138,1259.105292,
491.348,1186.346888,
491.557,1182.782174,
491.767,1205.49151,
491.976,1205.02617,
492.185,1096.169516,
492.395,1156.195838,
492.604,1156.064924,
492.813,1159.02366,
493.023,1118.848116,
493.232,1148.972546,
493.441,1175.284434,
493.651,1159.259112,
493.86,1148.613386,
494.069,1150.719346,
494.278,1227.058388,
494.488,1178.221054,
494.697,1243.307928,
494.906,1210.9399,
495.115,1226.848522,
495.324,1213.724916,
495.533,1180.165634,
495.743,1153.42181,
495.952,1155.634304,
496.161,1131.177386,
496.37,1099.621862,
496.579,1106.407014,
496.788,1070.903938,
496.997,1070.04889,
497.206,1004.657954,
497.415,987.86801,
497.624,980.485014,
497.833,962.536206,
498.042,934.843574,
498.251,957.143134,
498.46,993.392468,
498.669,909.705236,
498.878,943.014386,
499.087,924.246684,
499.296,992.785436,
499.504,960.187322,
499.713,906.994022,
499.922,970.002892,
500.131,961.897288,
500.34,995.133304,
500.549,1010.003258,
500.757,924.641406,
500.966,1012.961494,
501.175,953.290048,
501.384,1000.646728,
501.592,980.15093,
501.801,962.733988,
502.01,973.118748,
502.218,955.516784,
502.427,897.875584,
502.636,962.52247,
502.844,976.662026,
503.053,983.908398,
503.262,963.12776,
503.47,967.192922,
503.679,1056.749974,
503.887,1017.795908,
504.096,1037.433578,
504.304,1045.891368,
504.513,1069.726948,
504.721,1077.027134,
504.93,1031.713526,
505.138,1126.224312,
505.347,1080.921288,
505.555,1081.7256,
505.764,1131.940032,
505.972,1119.450238,
506.18,1108.857224,
506.389,1067.106622,
506.597,1100.317484,
506.806,1085.646724,
507.014,1096.665238,
507.222,1112.783118,
507.431,1085.350184,
507.639,1043.819568,
507.847,1111.683886,
508.055,1040.262548,
508.264,1042.696142,
508.472,1103.831996,
508.68,1072.772586,
508.888,1035.946776,
509.096,1035.535352,
509.305,1046.363836,
509.513,990.017286,
509.721,1024.533486,
509.929,1039.410576,
510.137,978.553098,
510.345,1027.899856,
510.553,1003.16777,
510.762,1008.418636,
510.97,975.753694,
511.178,1026.565476,
511.386,1048.887466,
511.594,976.227438,
511.802,984.92759,
512.01,975.874906,
512.218,973.638746,
512.426,1004.87194,
512.634,995.179098,
512.842,1002.354458,
513.049,1007.983718,
513.257,1018.31343,
513.465,1058.11619,
513.673,1064.932036,
513.881,1099.2513,
514.089,1131.688814,
514.297,1190.15491,
514.504,1176.717744,
514.712,1257.034318,
514.92,1271.91373,
515.128,1329.944316,
515.336,1422.967286,
515.543,1450.277514,
515.751,1401.209654,
515.959,1440.969396,
516.166,1474.495436,
516.374,1543.642872,
516.582,1506.807754,
516.789,1578.790612,
516.997,1552.002976,
517.205,1636.467366,
517.412,1630.660408,
517.62,1676.019844,
517.827,1633.373908,
518.035,1677.999294,
518.243,1679.500548,
518.45,1681.30363,
518.658,1711.935606,
