Wavelength,Flux
341.572,-52.32459
341.796,-52.32459
342.021,-52.32459
342.246,-34.88459
342.47,-67.53329
342.695,14.76736
342.919,33.5885
343.144,73.55357
343.368,-22.35271
343.592,-25.08331
343.817,-35.98187
344.041,62.09103
344.266,-42.48876
344.49,23.94979
344.714,-63.21519
344.939,-42.95393
345.163,24.45821
345.387,23.50641
345.611,47.74309
345.836,29.03745
346.06,-4.002
346.284,-80.90857
346.508,-3.55208
346.732,38.28946
346.957,33.68742
347.181,-59.44641
347.405,-26.38649
347.629,-78.45252
347.853,-7.68671
348.077,-48.47563
348.301,-2.6329
348.525,67.50824
348.749,-9.96906
348.973,-39.76011
349.197,-31.02049
349.421,57.07329
349.645,33.1016
349.869,-13.61644
350.092,-2.64059
350.316,45.07528
350.54,43.65866
350.764,59.80747
350.988,41.81997
351.211,28.11749
351.435,46.3957
351.659,31.78041
351.883,55.27294
352.106,51.96729
352.33,63.71484
352.554,-31.48598
352.777,11.59276
353.001,-0.80161
353.224,41.44376
353.448,56.95602
353.672,-42.48876
353.895,46.01396
354.119,40.45238
354.342,58.67303
354.566,59.68485
354.789,-20.05776
355.012,48.29554
355.236,38.10227
355.459,51.93856
355.683,15.66584
355.906,23.43124
356.129,6.07957
356.353,-1.2581
356.576,17.53455
356.799,-29.67871
357.022,-7.21016
357.246,-20.05618
357.469,0.11442
357.692,-3.54902
357.915,-13.1648
358.138,17.53455
358.361,-18.68193
358.585,12.00369
358.808,-9.50765
359.031,-25.05006
359.254,18.94379
359.477,36.30384
359.7,15.68905
359.923,19.3585
360.146,12.02898
360.369,8.36484
360.592,10.64532
360.815,8.36222
361.038,1.94621
361.26,21.66732
361.483,-13.17925
361.706,-36.54119
361.929,59.18999
362.152,59.74122
362.375,1.03198
362.597,36.32378
362.82,-31.05941
363.043,-79.85547
363.265,23.50456
363.488,-44.32602
363.711,-19.56389
363.933,3.78137
364.156,44.59222
364.379,69.2314
364.601,-53.64146
364.824,-61.25699
365.046,-38.9808
365.269,39.072
365.491,7.45708
365.714,-7.21354
365.936,-11.33548
366.159,32.62837
366.381,45.95227
366.604,4.23141
366.826,28.54472
367.048,64.85274
367.271,52.82585
367.493,73.94184
367.715,19.35547
367.938,67.07672
368.16,-16.8291
368.382,26.67366
368.604,20.74398
368.827,25.74818
369.049,45.50498
369.271,-25.04811
369.493,-63.57435
369.715,29.93619
369.937,50.57987
370.16,71.37502
370.382,31.79301
370.604,-49.3622
370.826,26.70295
371.048,40.54534
371.27,-0.34314
371.492,75.3276
371.714,-29.22013
371.936,-13.18965
372.158,-21.4001
372.379,58.44993
372.601,-42.95393
372.823,20.76527
373.045,50.55195
373.267,11.09963
373.489,-19.16929
373.71,-32.37214
373.932,-71.25072
374.154,-55.32772
374.376,-36.11677
374.597,73.35155
374.819,-47.12529
375.041,20.33723
375.262,-4.92875
375.484,24.91732
375.706,60.48703
375.927,43.23128
376.149,117.9578
376.37,68.49433
376.592,13.40972
376.813,63.49198
377.035,-12.27871
377.256,3.78345
377.478,52.83001
377.699,13.3992
377.921,35.85445
378.142,8.81483
378.363,122.72755
378.585,51.44795
378.806,43.16679
379.027,118.37814
379.249,8.8066
379.47,-60.68048
379.691,25.33627
379.912,-1.72059
380.134,99.75033
380.355,6.06906
380.576,-26.00612
380.797,16.18781
381.018,17.08299
381.239,1.03321
381.461,51.10305
381.682,-42.98093
381.903,-19.53964
382.124,74.03546
382.345,85.65905
382.566,-4.01456
382.787,18.8975
383.008,-4.46777
383.229,73.15324
383.45,19.37372
383.671,-3.09886
383.891,42.31123
384.112,22.11007
384.333,-22.30901
384.554,32.69256
384.775,56.59639
384.996,102.90973
385.216,73.94767
385.437,10.18913
385.658,89.8048
385.879,3.32751
386.099,-12.70978
386.32,-9.52189
386.541,-31.54795
386.761,-13.62281
386.982,-64.94029
387.202,-22.71584
387.423,-27.79009
387.644,-73.21426
387.864,49.14277
388.085,-65.42973
388.305,-6.76079
388.526,63.35669
388.746,3.32909
388.966,-46.60036
389.187,12.47541
389.407,40.46511
389.628,61.54485
