x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004
345.386,-0.886696,22222.2222222222,-0.3743633575,345.386,-16.661188,345.386,-1.6272,345.386,-12.902691
345.605,-0.886696,22172.9490022173,-0.3407811076,345.605,-16.661188,345.605,-1.6272,345.605,-12.902691
345.824,-0.886696,22123.8938053097,-0.3063821322,345.824,-16.661188,345.824,-1.6272,345.824,-12.902691
346.044,-7.692704,22075.055187638,-0.3572485769,346.044,20.191414,346.044,10.59011,346.044,17.7910880000
346.263,-18.289434,22026.4317180617,-0.3800121444,346.263,-47.869438,346.263,-8.641158,346.263,-38.062368
346.482,33.643684,21978.021978022,-0.1621759365,346.482,29.871522,346.482,31.336324,346.482,30.2377225
346.701,15.13911,21929.8245614035,-0.1418572232,346.701,14.969728,346.701,16.88862,346.701,15.449451
346.92,-2.920784,21881.8380743982,-0.1658672684,346.92,2.329568,346.92,3.346514,346.92,2.5838045000
347.139,18.066196,21834.0611353712,-0.2152673434,347.139,3.003962,347.139,-21.943874,347.139,-3.232997
347.358,-8.105412,21786.4923747277,-0.2561161467,347.358,-17.07898,347.358,-6.814624,347.358,-14.5128910000
347.577,-12.83392,21739.1304347826,-0.2581102553,347.577,-22.472062,347.577,-30.037522,347.577,-24.363427
347.796,-10.368692,21691.9739696312,-0.2987002826,347.796,-20.249598,347.796,-17.643144,347.796,-19.5979845
348.015,-9.013924,21645.0216450216,-0.331811816,348.015,-2.871224,348.015,10.792826,348.015,0.5447885
348.234,-3.141208,21598.2721382289,-0.3160962097,348.234,-3.541102,348.234,-6.809488,348.234,-4.3581985
348.453,13.119814,21551.7241379310,-0.2595460991,348.453,28.756222,348.453,33.16087,348.453,29.857384
348.672,-11.724088,21505.3763440860,-0.3202917192,348.672,-2.636444,348.672,-14.03514,348.672,-5.486118
348.891,-21.881992,21459.2274678112,-0.4862037080,348.891,-10.086072,348.891,1.766228,348.891,-7.122997
349.11,-14.41645,21413.2762312634,-0.8673672998,349.11,30.499338,349.11,-46.981524,349.11,11.1291225000
349.329,408.725942,21367.5213675214,-1.3217288856,349.329,1953.523746,349.329,142.499694,349.329,1500.7677330000
349.548,644.59517,21321.9616204691,-0.7163790129,349.548,3085.688946,349.548,209.091096,349.548,2366.5394835
349.767,638.856378,21276.5957446808,-0.5088797068,349.767,3357.948996,349.767,189.06292,349.767,2565.7274770000
349.986,672.5812,21231.4225053079,-1.2649145844,349.986,3624.859054,349.986,188.979262,349.986,2765.889106
350.205,720.6677,21186.4406779661,-0.7010150518,350.205,3871.10323,350.205,224.961292,350.205,2959.5677455
350.424,746.460276,21141.6490486258,-0.4455263657,350.424,4058.44149,350.424,222.706462,350.424,3099.507733
350.643,771.617164,21097.0464135021,-0.3536854687,350.643,4273.048364,350.643,254.388764,350.643,3268.383464
350.862,776.485122,21052.6315789474,-0.2288108450,350.862,4293.10004,350.862,237.516356,350.862,3279.204119
351.08,844.518232,21008.4033613445,-0.2550070218,351.08,4629.136516,351.08,259.110404,351.08,3536.629988
351.299,864.829994,20964.3605870021,-0.3279103936,351.299,4729.96253,351.299,277.042976,351.299,3616.7326415
351.518,898.580366,20920.5020920502,-0.5849754023,351.518,4995.239112,351.518,254.35706,351.518,3810.0185990000
351.737,934.386236,20876.8267223382,-0.6693912715,351.737,5405.399742,351.737,274.890604,351.737,4122.7724575
351.956,983.076104,20833.3333333333,-0.566013008,351.956,5703.71527,351.956,280.212996,351.956,4347.8397015
352.174,1070.66888,20790.0207900208,-0.4239500071,352.174,6027.492956,352.174,298.56841,352.174,4595.2618195
352.393,1097.55514,20746.887966805,-0.4014350072,352.393,6465.718792,352.393,288.045678,352.393,4921.3005135
352.612,1137.412734,20703.9337474120,-0.6559351912,352.612,6979.64151,352.612,273.009388,352.612,5302.9834795
352.831,1242.999512,20661.1570247934,-0.6462174200,352.831,7398.014858,352.831,319.652542,352.831,5628.424279
353.049,1350.220346,20618.5567010309,-0.8233111751,353.049,8000.339392,353.049,355.775082,353.049,6089.1983145
353.268,1391.657812,20576.1316872428,-0.9687210448,353.268,8431.23382,353.268,344.137136,353.268,6409.459649
353.487,1526.658196,20533.8809034908,-0.7320075486,353.487,9214.504628,353.487,394.304082,353.487,7009.4544915
353.705,1609.274318,20491.8032786885,-0.6067037413,353.705,9596.051416,353.705,404.919408,353.705,7298.268414
353.924,1726.959136,20449.8977505112,-0.6931111155,353.924,10387.22944,353.924,389.530594,353.924,7887.8047285
354.143,1760.745132,20408.1632653061,-0.6851503374,354.143,10784.72485,354.143,391.902226,354.143,8186.519194
354.361,1822.558212,20366.5987780041,-0.5404796371,354.361,11158.40351,354.361,433.230796,354.361,8477.1103315
354.58,1856.656462,20325.2032520325,-0.4331615558,354.58,11354.07207,354.58,412.171952,354.58,8618.5970405
354.798,1886.23304,20283.9756592292,-0.5122306577,354.798,11551.89902,354.798,444.73726,354.798,8775.1085800000
355.017,1918.112208,20242.9149797571,-0.5687530453,355.017,11661.7453,355.017,474.826132,355.017,8865.015508
355.236,1887.478944,20202.0202020202,-0.3866416261,355.236,11560.92098,355.236,440.831846,355.236,8780.8986965
355.454,1969.115472,20161.2903225806,-0.2825314838,355.454,11879.74856,355.454,461.886726,355.454,9025.2831015
355.673,2032.298546,20120.7243460765,-0.2921895926,355.673,12208.65,355.673,500.786732,355.673,9281.684183
355.891,2038.8421,20080.3212851406,-0.3393122858,355.891,12360.49179,355.891,444.86737,355.891,9381.585685
356.11,2027.829936,20040.0801603206,-0.3788519464,356.11,12287.52182,356.11,460.32204,356.11,9330.721875
356.328,2054.064486,20000.,-0.4392853137,356.328,12223.11351,356.328,525.14804,356.328,9298.6221425
356.547,2049.910428,19960.0798403194,-0.6568549213,356.547,12298.24978,356.547,494.42353,356.547,9347.2932175
356.765,1979.6732,19920.3187250996,-0.8754837711,356.765,12055.97995,356.765,442.38116,356.765,9152.5802525
356.984,2049.394914,19880.7157057654,-0.4978001303,356.984,12119.93122,356.984,483.364586,356.984,9210.7895615000
357.202,1959.794826,19841.2698412698,-0.3093107158,357.202,11948.14807,357.202,425.344728,357.202,9067.4472345
357.42,2049.736134,19801.9801980198,-0.3379581637,357.42,11987.65094,357.42,508.015902,357.42,9117.7421805
357.639,2000.833792,19762.8458498024,-0.4319103095,357.639,11729.26729,357.639,470.86364,357.639,8914.6663775
357.857,1958.273586,19723.8658777120,-0.4436227942,357.857,11356.92685,357.857,446.520356,357.857,8629.3252265
358.076,1896.741644,19685.0393700787,-0.3949592285,358.076,11047.02793,358.076,463.278236,358.076,8401.0905065
358.294,1816.738808,19646.3654223969,-0.3900691863,358.294,10626.93227,358.294,387.480632,358.294,8067.0693605
358.512,1816.862766,19607.8431372549,-0.3412960031,358.512,10388.82218,358.512,404.713698,358.512,7892.7950595
358.731,1807.657602,19569.4716242661,-0.1432959071,358.731,10120.51223,358.731,430.914774,358.731,7698.112866
358.949,1779.4225,19531.25,-0.0912447659,358.949,10002.6881,358.949,414.913442,358.949,7605.7444355
359.167,1778.156096,19493.1773879142,-0.1310730480,359.167,10123.42613,359.167,427.153012,359.167,7699.3578505
359.386,1785.407852,19455.2529182879,-0.2811925036,359.386,10129.92583,359.386,442.966162,359.386,7708.185913
359.604,1740.420506,19417.4757281553,-0.4329051836,359.604,9989.992114,359.604,439.622118,359.604,7602.399615
359.822,1763.49391,19379.8449612403,-0.3658435115,359.822,10004.02776,359.822,437.171922,359.822,7612.3138005000
360.04,1746.33577,19342.3597678917,-0.2566696487,360.04,9848.012746,360.04,401.294108,360.04,7486.3330865
360.259,1686.391618,19305.0193050193,-0.1358955756,360.259,9544.806732,360.259,441.101848,360.259,7268.880511
360.477,1576.276572,19267.8227360308,-0.1773344555,360.477,9077.125212,360.477,377.26191,360.477,6902.1593865000
