wavelength_nm,intensity_mean,
345.386,-1.6272,
345.605,-1.6272,
345.824,-1.6272,
346.044,10.59011,
346.263,-8.641158,
346.482,31.336324,
346.701,16.88862,
346.92,3.346514,
347.139,-21.943874,
347.358,-6.814624,
347.577,-30.037522,
347.796,-17.643144,
348.015,10.792826,
348.234,-6.809488,
348.453,33.16087,
348.672,-14.03514,
348.891,1.766228,
349.11,-46.981524,
349.329,142.499694,
349.548,209.091096,
349.767,189.06292,
349.986,188.979262,
350.205,224.961292,
350.424,222.706462,
350.643,254.388764,
350.862,237.516356,
351.08,259.110404,
351.299,277.042976,
351.518,254.35706,
351.737,274.890604,
351.956,280.212996,
352.174,298.56841,
352.393,288.045678,
352.612,273.009388,
352.831,319.652542,
353.049,355.775082,
353.268,344.137136,
353.487,394.304082,
353.705,404.919408,
353.924,389.530594,
354.143,391.902226,
354.361,433.230796,
354.58,412.171952,
354.798,444.73726,
355.017,474.826132,
355.236,440.831846,
355.454,461.886726,
355.673,500.786732,
355.891,444.86737,
356.11,460.32204,
356.328,525.14804,
356.547,494.42353,
356.765,442.38116,
356.984,483.364586,
357.202,425.344728,
357.42,508.015902,
357.639,470.86364,
357.857,446.520356,
358.076,463.278236,
358.294,387.480632,
358.512,404.713698,
358.731,430.914774,
358.949,414.913442,
359.167,427.153012,
359.386,442.966162,
359.604,439.622118,
359.822,437.171922,
360.04,401.294108,
360.259,441.101848,
360.477,377.26191,
360.695,376.860026,
360.913,379.090808,
361.131,375.009622,
361.35,352.786462,
361.568,265.05169,
361.786,308.771168,
362.004,284.397398,
362.222,229.777286,
362.44,249.025276,
362.658,223.724934,
362.876,182.730468,
363.094,173.365184,
363.312,181.992522,
363.53,186.494314,
363.749,155.333,
363.967,189.571068,
364.184,220.267962,
364.402,178.151238,
364.62,212.341438,
364.838,214.145812,
365.056,171.517012,
365.274,214.196486,
365.492,221.48536,
365.71,198.17786,
365.928,250.240454,
366.146,216.444446,
366.364,228.295598,
366.581,250.612258,
366.799,249.246338,
367.017,265.796506,
367.235,248.376468,
367.453,285.323938,
367.67,234.065462,
367.888,270.38602,
368.106,273.328412,
368.323,335.19718,
368.541,265.373624,
368.759,311.002926,
368.977,271.29404,
369.194,274.776242,
369.412,284.610936,
369.629,303.834532,
369.847,313.791758,
370.065,276.23049,
370.282,319.029768,
370.5,277.885352,
370.717,335.9609,
370.935,312.934874,
371.152,329.832084,
371.37,381.93149,
371.588,381.070888,
371.805,388.131314,
372.022,402.591006,
372.24,364.265464,
372.457,396.193138,
372.675,379.366832,
372.892,387.437226,
373.11,398.83521,
373.327,390.459652,
373.544,343.852742,
373.762,386.286478,
373.979,352.83533,
374.196,385.708386,
374.414,349.716198,
374.631,381.234352,
374.848,405.148796,
375.066,378.379322,
375.283,391.491016,
375.5,409.52131,
375.717,378.601442,
375.935,401.387564,
376.152,404.96921,
376.369,446.37916,
376.586,440.562276,
376.803,442.011138,
377.02,434.823974,
377.238,464.945666,
377.455,494.692918,
377.672,457.786578,
377.889,495.001462,
378.106,499.325478,
378.323,521.04835,
378.54,498.773366,
378.757,497.148006,
378.974,422.706464,
379.191,488.675844,
379.408,472.141442,
379.625,443.231544,
379.842,430.551154,
380.059,451.890418,
380.276,452.374046,
380.493,420.629142,
380.71,398.172598,
380.927,421.728818,
381.143,365.422842,
381.36,432.405832,
381.577,433.381172,
381.794,396.465374,
382.011,404.55799,
382.228,462.976104,
382.444,447.451008,
382.661,450.370454,
382.878,442.594512,
383.095,434.687186,
383.311,438.57041,
383.528,427.893356,
383.745,456.821672,
383.962,433.12253,
384.178,441.01398,
384.395,399.681416,
384.612,347.804362,
384.828,398.947854,
385.045,374.184742,
385.261,421.685042,
385.478,340.269308,
385.695,346.11243,
385.911,417.309146,
386.128,347.384862,
386.344,368.03392,
386.561,338.828762,
386.777,338.90247,
386.994,360.424698,
387.21,358.203042,
387.427,377.015544,
387.643,354.750186,
387.86,371.332682,
388.076,369.356062,
388.292,368.814326,
388.509,383.954368,
388.725,381.98384,
388.942,421.136972,
389.158,424.111498,
389.374,410.220764,
389.591,385.060592,
389.807,398.12634,
390.023,430.271872,
390.239,389.919972,
390.456,407.270906,
390.672,412.02383,
390.888,417.4709,
391.104,427.67718,
391.321,418.599442,
391.537,476.57843,
391.753,416.666974,
391.969,423.765774,
392.185,413.071328,
392.401,372.849562,
392.618,353.795624,
392.834,349.207728,
393.05,362.88504,
393.266,385.422928,
393.482,377.039734,
393.698,353.97511,
393.914,338.534172,
394.13,388.830248,
394.346,357.726468,
394.562,340.097636,
394.778,360.06491,
394.994,382.076678,
395.21,381.828002,
395.426,361.927508,
395.642,379.281284,
395.858,395.15558,
396.073,355.81697,
396.289,397.193066,
396.505,419.91384,
396.721,420.441906,
396.937,370.903406,
397.153,369.674688,
397.369,432.08866,
397.584,392.514586,
397.8,405.64375,
398.016,363.552422,
398.232,379.637224,
398.447,369.805228,
398.663,357.153222,
398.879,380.74539,
399.094,350.281932,
399.31,357.673956,
399.526,364.797302,
399.741,331.087234,
399.957,310.21813,
400.173,370.239736,
400.388,325.73146,
400.604,357.7979,
400.82,319.96852,
401.035,380.68434,
401.251,379.705292,
401.466,340.777838,
401.682,377.310388,
401.897,427.266236,
402.113,390.327086,
402.328,397.466336,
402.544,388.733932,
402.759,361.902986,
402.974,350.740832,
403.19,355.868508,
403.405,434.178212,
403.621,385.557616,
403.836,387.619616,
404.051,400.016682,
404.267,401.300478,
404.482,367.152866,
404.697,378.972058,
404.913,369.233948,
405.128,411.417582,
405.343,378.942374,
405.559,378.910318,
405.774,372.532914,
405.989,379.103796,
406.204,351.3266,
406.42,337.327086,
406.635,382.057652,
406.85,378.163992,
407.065,425.653168,
407.28,405.028444,
407.495,430.202712,
407.71,385.265246,
407.926,446.120866,
408.141,461.1698,
408.356,443.92377,
408.571,459.353142,
408.786,452.099114,
409.001,453.695912,
409.216,459.967402,
409.431,525.93918,
409.646,443.557402,
409.861,478.597954,
410.076,422.68559,
410.291,485.459468,
410.506,434.0709,
410.721,478.76721,
410.936,452.770964,
411.15,417.171952,
411.365,412.628148,
411.58,434.110678,
411.795,490.577104,
412.01,396.86393,
412.225,447.91123,
412.439,410.201078,
412.654,401.662138,
412.869,442.752536,
413.084,413.599704,
413.299,450.020672,
413.513,406.5011,
413.728,394.434056,
413.943,472.092702,
414.157,420.255166,
414.372,408.279676,
414.587,431.81896,
414.801,447.74098,
415.016,384.281544,
415.231,426.543886,
415.445,426.467564,
415.66,413.860574,
415.874,430.36142,
416.089,410.151792,
416.304,391.123228,
416.518,442.20261,
416.733,348.813566,
416.947,410.988152,
417.162,387.33073,
417.376,363.078108,
417.59,386.60935,
417.805,407.32612,
418.019,350.096082,
418.234,374.550824,
418.448,367.639578,
418.663,360.807394,
418.877,330.762512,
419.091,387.214674,
419.306,365.829494,
419.52,376.906456,
419.734,365.991976,
419.949,339.409388,
420.163,424.247378,
420.377,329.052192,
420.591,326.277192,
420.806,376.692808,
421.02,390.122252,
421.234,404.564324,
421.448,374.111484,
421.663,382.077004,
421.877,386.169056,
422.091,389.179792,
422.305,401.607548,
422.519,343.553474,
422.733,396.730998,
422.947,404.311028,
423.161,354.685756,
423.376,393.591894,
423.59,374.87222,
423.804,371.176858,
424.018,368.11596,
424.232,368.825318,
424.446,366.84288,
424.66,366.493252,
424.874,369.110414,
425.088,324.383284,
425.302,327.406352,
425.515,358.615636,
425.729,305.27099,
425.943,307.693054,
426.157,349.56125,
426.371,345.785992,
426.585,336.32897,
426.799,364.874174,
427.013,314.851526,
427.226,350.459888,
427.44,340.33946,
427.654,335.71589,
427.868,339.391196,
428.081,340.922044,
428.295,284.139284,
428.509,326.70574,
428.723,313.32238,
428.936,289.69881,
429.15,298.584904,
429.364,320.753686,
429.577,371.814572,
429.791,363.606442,
430.005,369.190476,
430.218,428.996,
430.432,331.036724,
430.645,374.21656,
430.859,391.944248,
431.073,452.594162,
431.286,427.394606,
431.5,449.429444,
431.713,423.133878,
431.927,430.990144,
432.14,450.25543,
432.354,413.566598,
432.567,382.817372,
432.781,437.615334,
432.994,432.581832,
433.207,478.971184,
433.421,466.394994,
433.634,507.403004,
433.848,497.075508,
434.061,453.830302,
434.274,422.618122,
434.488,495.266038,
434.701,496.447136,
434.914,485.44205,
435.127,512.149008,
435.341,504.357102,
435.554,515.426454,
435.767,506.688788,
435.98,560.443552,
436.194,551.426418,
436.407,562.310794,
436.62,587.924618,
436.833,598.174064,
437.046,509.127204,
437.259,539.084442,
437.473,580.59062,
437.686,583.879784,
437.899,532.171284,
438.112,616.865452,
438.325,531.079272,
438.538,532.794452,
438.751,573.350564,
438.964,557.281926,
439.177,507.205294,
439.39,477.072692,
439.603,511.094642,
439.816,479.117074,
440.029,534.414556,
440.242,508.797328,
440.455,480.26281,
440.668,448.99617,
440.881,467.481614,
441.094,430.107806,
441.306,426.165666,
441.519,439.263686,
441.732,455.784126,
441.945,458.352844,
442.158,420.578938,
442.37,426.705792,
442.583,409.00574,
442.796,421.007658,
443.009,461.265482,
443.222,409.173868,
443.434,357.895258,
443.647,441.511352,
443.86,401.320044,
444.072,394.397246,
444.285,418.810444,
444.498,424.40016,
444.71,425.285118,
444.923,382.95431,
445.136,400.289532,
445.348,377.521006,
445.561,375.397724,
445.773,425.840148,
445.986,417.14762,
446.198,455.109444,
446.411,409.996056,
446.623,486.183668,
446.836,464.568642,
447.048,471.250222,
447.261,549.379142,
447.473,554.807908,
447.686,520.900332,
447.898,535.868234,
448.11,561.458266,
448.323,614.891536,
448.535,599.893222,
448.748,587.74215,
448.96,583.66873,
449.172,560.740468,
449.385,583.451946,
449.597,595.547886,
449.809,575.520102,
450.021,597.539116,
450.234,641.615124,
450.446,595.846922,
450.658,604.57494,
450.87,606.675572,
451.083,637.825982,
451.295,647.831866,
451.507,616.679408,
451.719,613.408844,
451.931,631.316432,
452.143,634.9312,
452.356,631.15826,
452.568,631.033446,
452.78,629.090474,
452.992,590.23319,
453.204,666.968768,
453.416,600.275748,
453.628,646.826756,
453.84,627.977474,
454.052,579.683522,
454.264,645.14184,
454.476,638.230782,
454.688,620.503822,
454.9,618.320914,
455.112,522.663088,
455.324,526.10532,
455.536,574.836586,
455.747,495.051176,
455.959,479.171062,
456.171,498.389406,
456.383,481.591886,
456.595,457.165906,
456.807,464.988926,
457.018,411.47313,
457.23,419.21561,
457.442,442.27871,
457.654,406.707716,
457.865,411.857438,
458.077,360.290744,
458.289,423.721574,
458.501,417.900366,
458.712,426.349536,
458.924,461.391058,
459.136,381.774138,
459.347,369.836542,
459.559,372.012762,
459.77,442.200848,
459.982,447.90716,
460.194,390.95385,
460.405,404.823988,
460.617,409.503284,
460.828,422.954264,
461.04,440.02704,
461.251,391.987654,
461.463,381.392742,
461.674,414.372558,
461.886,403.113534,
462.097,349.693582,
462.309,405.488644,
462.52,406.234038,
462.731,420.810344,
462.943,407.563488,
463.154,377.419094,
463.366,412.914532,
463.577,441.282756,
463.788,418.644016,
464,411.581332,
464.211,456.73066,
464.422,453.307662,
464.634,453.848602,
464.845,451.351682,
465.056,472.664838,
465.267,517.441968,
465.478,454.259236,
465.69,487.42088,
465.901,429.168942,
466.112,479.77351,
466.323,489.85105,
466.534,456.53743,
466.745,487.386448,
466.957,501.12419,
467.168,517.39676,
467.379,430.062238,
467.59,479.512012,
467.801,527.775686,
468.012,471.348236,
468.223,548.8521,
