wavelength,intensity
341.572,15.39762863
341.764021,15.39762863
341.956042,15.39762863
342.148063,3.24481945
342.3400839,6.561007903
342.5321049,32.69235292
342.7241259,49.77170665
342.9161469,13.35462393
343.1081679,-47.32541331
343.3001889,-39.81128208
343.4922099,-15.81175827
343.6842309,-14.81608409
343.8762518,-16.06874898
344.0682728,20.48640548
344.2602938,-27.08510087
344.4523148,48.27521892
344.6443358,45.9150439
344.8363568,-4.968223314
345.0283778,-25.56206928
345.2203987,-12.7423144
345.4124197,-37.30302558
345.6044407,1.943688474
345.7964617,32.6774893
345.9884827,25.25835836
346.1805037,41.13400105
346.3725247,62.24457932
346.5645457,73.14314294
346.7565666,95.0977211
346.9485876,83.95770218
347.1406086,23.88932882
347.3326296,37.86994946
347.5246506,19.1916768
347.7166716,26.63874633
347.9086926,57.68194985
348.1007135,3.20073588
348.2927345,134.6643721
348.4847555,65.47223404
348.6767765,42.388224
348.8687975,45.48974182
349.0608185,43.17935796
349.2528395,32.71766692
349.4448605,39.13405152
349.6368814,52.01659678
349.8289024,45.60836183
350.0209234,58.58518563
350.2129444,99.65691839
350.4049654,116.8657583
350.5969864,85.07568972
350.7890074,48.35639475
350.9810283,71.56319578
351.1730493,86.31840466
351.3650703,5.984587124
351.5570913,-14.64171164
351.7491123,41.52861919
351.9411333,91.2935196
352.1331543,55.31873815
352.3251753,50.54774518
352.5171962,79.17159743
352.7092172,99.40843514
352.9012382,102.608425
353.0932592,99.06342831
353.2852802,90.57053007
353.4773012,79.32148953
353.6693222,128.7333928
353.8613431,75.3148079
354.0533641,95.87542473
354.2453851,43.20884212
354.4374061,24.6006438
354.6294271,80.27260948
354.8214481,113.9784546
355.0134691,110.4847291
355.2054901,44.14368531
355.397511,70.18021654
355.589532,125.4537284
355.781553,134.4862997
355.973574,137.3369574
356.165595,197.2053038
356.357616,164.3110473
356.549637,169.2432532
356.7416579,262.3521287
356.9336789,321.5482765
357.1256999,350.9828263
357.3177209,361.7770948
357.5097419,368.7605771
357.7017629,427.1696091
357.8937839,468.1732488
358.0858049,525.0563962
358.2778258,612.4920357
