wavelength_nm,label,ion,note,
393.4,Ca II K,Ca II,strong near-UV resonance line,
396.8,Ca II H,Ca II,blended with H epsilon,
397,H epsilon,H I,Balmer epsilon,
410.2,H delta,H I,Balmer delta,
422.7,Ca I 422.7,Ca I,isolated strong neutral Ca line,
430,CH G band,CH,broad molecular band,
434,H gamma,H I,Balmer gamma,
486.1,H beta,H I,Balmer beta,
516.7,Mg b1,Mg I,part of Mg b triplet,
517.3,Mg b2,Mg I,part of Mg b triplet,
518.4,Mg b3,Mg I,part of Mg b triplet,
589,Na D2,Na I,strong Fraunhofer D2 line,
589.6,Na D1,Na I,strong Fraunhofer D1 line,
587.6,He D3,He I,weak solar He line,
656.3,H alpha,H I,Balmer alpha,
686.7,O2 B band,O2,Earth atmosphere (telluric),
759.5,O2 A band,O2,Earth atmosphere (telluric, broad)
766.5,K I 7665,K I,inside O2 A band,
769.9,K I 7699,K I,inside O2 A band,
777.2,O I 7772,O I,first of O I triplet,
777.4,O I 7774,O I,second of O I triplet,
777.5,O I 7775,O I,third of O I triplet,
