Created as New Dataset,Sample 001 By Administrator Date Monday, October 13 2025
cm-1,%T
4000.00,92.77
3999.00,92.76
3998.00,92.77
3997.00,92.77
3996.00,92.77
3995.00,92.77
3994.00,92.77
3993.00,92.76
3992.00,92.75
3991.00,92.75
3990.00,92.76
3989.00,92.77
3988.00,92.78
3987.00,92.79
3986.00,92.79
3985.00,92.79
3984.00,92.78
3983.00,92.78
3982.00,92.77
3981.00,92.76
3980.00,92.76
3979.00,92.77
3978.00,92.78
3977.00,92.79
3976.00,92.79
3975.00,92.78
3974.00,92.78
3973.00,92.78
3972.00,92.78
3971.00,92.78
3970.00,92.78
3969.00,92.77
3968.00,92.76
3967.00,92.77
3966.00,92.77
3965.00,92.78
3964.00,92.79
3963.00,92.79
3962.00,92.78
3961.00,92.77
3960.00,92.77
3959.00,92.77
3958.00,92.78
3957.00,92.78
3956.00,92.78
3955.00,92.78
3954.00,92.77
3953.00,92.76
3952.00,92.75
3951.00,92.75
3950.00,92.75
3949.00,92.76
3948.00,92.77
3947.00,92.77
3946.00,92.76
3945.00,92.76
3944.00,92.75
3943.00,92.75
3942.00,92.75
3941.00,92.75
3940.00,92.75
3939.00,92.75
3938.00,92.76
3937.00,92.76
3936.00,92.76
3935.00,92.76
3934.00,92.76
3933.00,92.77
3932.00,92.77
3931.00,92.77
3930.00,92.77
3929.00,92.78
3928.00,92.78
3927.00,92.78
3926.00,92.78
3925.00,92.78
3924.00,92.79
3923.00,92.78
3922.00,92.77
3921.00,92.77
3920.00,92.77
3919.00,92.77
3918.00,92.76
3917.00,92.76
3916.00,92.76
3915.00,92.77
3914.00,92.78
3913.00,92.78
3912.00,92.79
3911.00,92.79
3910.00,92.78
3909.00,92.76
3908.00,92.73
3907.00,92.71
3906.00,92.69
3905.00,92.70
3904.00,92.73
3903.00,92.76
3902.00,92.76
3901.00,92.75
3900.00,92.74
3899.00,92.74
3898.00,92.76
3897.00,92.78
3896.00,92.79
3895.00,92.81
3894.00,92.83
3893.00,92.83
3892.00,92.80
3891.00,92.78
3890.00,92.78
3889.00,92.80
3888.00,92.84
3887.00,92.88
3886.00,92.88
3885.00,92.84
3884.00,92.80
3883.00,92.78
3882.00,92.77
3881.00,92.77
3880.00,92.76
3879.00,92.75
3878.00,92.77
3877.00,92.80
3876.00,92.82
3875.00,92.85
3874.00,92.89
3873.00,92.94
3872.00,93.00
3871.00,93.02
3870.00,93.00
3869.00,92.95
3868.00,92.91
3867.00,92.90
3866.00,92.95
3865.00,93.00
3864.00,92.98
3863.00,92.93
3862.00,92.90
3861.00,92.89
3860.00,92.88
3859.00,92.81
3858.00,92.67
3857.00,92.50
3856.00,92.41
3855.00,92.50
3854.00,92.68
3853.00,92.82
3852.00,92.92
3851.00,92.97
3850.00,92.97
3849.00,92.95
3848.00,92.93
3847.00,92.91
3846.00,92.90
3845.00,92.90
3844.00,92.91
3843.00,92.93
3842.00,92.95
3841.00,92.98
3840.00,92.99
3839.00,93.00
3838.00,92.98
3837.00,92.94
3836.00,92.92
3835.00,92.91
3834.00,92.90
3833.00,92.87
3832.00,92.85
3831.00,92.85
3830.00,92.88
3829.00,92.90
3828.00,92.91
3827.00,92.91
3826.00,92.91
3825.00,92.92
3824.00,92.94
3823.00,92.99
3822.00,93.02
3821.00,92.99
3820.00,92.97
3819.00,92.98
3818.00,93.01
3817.00,93.02
3816.00,92.98
3815.00,92.92
3814.00,92.88
3813.00,92.85
3812.00,92.84
3811.00,92.84
3810.00,92.83
3809.00,92.81
3808.00,92.79
3807.00,92.80
3806.00,92.83
3805.00,92.84
3804.00,92.83
3803.00,92.84
3802.00,92.84
3801.00,92.82
3800.00,92.84
3799.00,92.89
3798.00,92.92
3797.00,92.91
3796.00,92.87
3795.00,92.83
3794.00,92.80
3793.00,92.79
3792.00,92.79
3791.00,92.79
3790.00,92.79
3789.00,92.79
3788.00,92.80
3787.00,92.83
3786.00,92.85
3785.00,92.85
3784.00,92.85
3783.00,92.84
3782.00,92.84
3781.00,92.84
3780.00,92.84
3779.00,92.83
3778.00,92.82
3777.00,92.80
3776.00,92.79
3775.00,92.80
3774.00,92.81
3773.00,92.81
3772.00,92.80
3771.00,92.82
3770.00,92.82
3769.00,92.82
3768.00,92.81
3767.00,92.83
3766.00,92.84
3765.00,92.83
3764.00,92.81
