CENTRALWAVELNG,BANDWIDTH
0.63031,0.00042
0.63073,0.00042
0.63115,0.00042
0.63157,0.00042
0.63199,0.00042
0.63242,0.00042
0.63284,0.00042
0.63326,0.00042
0.63368,0.00042
0.63411,0.00042
0.63453,0.00042
0.63495,0.00042
0.63538,0.00042
0.6358,0.00042
0.63622,0.00042
0.63664,0.00042
0.63707,0.00042
0.63749,0.00042
0.63791,0.00042
0.63834,0.00042
0.63876,0.00042
0.63919,0.00042
0.63961,0.00042
0.64003,0.00042
0.64046,0.00042
0.64088,0.00042
0.64131,0.00042
0.64173,0.00042
0.64216,0.00042
0.64258,0.00042
0.64301,0.00042
0.64343,0.00042
0.64386,0.00042
0.64428,0.00042
0.64471,0.00042
0.64513,0.00043
0.64556,0.00043
0.64598,0.00043
0.64641,0.00043
0.64684,0.00043
0.64726,0.00043
0.64769,0.00043
0.64811,0.00043
0.64854,0.00043
0.64897,0.00043
0.64939,0.00043
0.64982,0.00043
0.65025,0.00043
0.65067,0.00043
0.6511,0.00043
0.65153,0.00043
0.65196,0.00043
0.65238,0.00043
0.65281,0.00043
0.65324,0.00043
0.65367,0.00043
0.65409,0.00043
0.65452,0.00043
0.65495,0.00043
0.65538,0.00043
0.65581,0.00043
0.65624,0.00043
0.65666,0.00043
0.65709,0.00043
0.65752,0.00043
0.65795,0.00043
0.65838,0.00043
0.65881,0.00043
0.65924,0.00043
0.65967,0.00043
0.66009,0.00043
0.66053,0.00043
0.66095,0.00043
0.66138,0.00043
0.66181,0.00043
0.66224,0.00043
0.66267,0.00043
0.6631,0.00043
0.66353,0.00043
0.66397,0.00043
0.66439,0.00043
0.66483,0.00043
0.66526,0.00043
0.66569,0.00043
0.66612,0.00043
0.66655,0.00043
0.66698,0.00043
0.66741,0.00043
0.66784,0.00043
0.66827,0.00043
0.66871,0.00043
0.66914,0.00043
0.66957,0.00043
0.67,0.00043
0.67043,0.00043
0.67087,0.00043
0.6713,0.00043
0.67173,0.00043
0.67216,0.00043
0.6726,0.00043
0.67303,0.00043
0.67346,0.00043
0.67389,0.00043
0.67433,0.00043
0.67476,0.00043
0.67519,0.00043
0.67563,0.00043
0.67606,0.00043
0.67649,0.00043
0.67693,0.00043
0.67736,0.00043
0.67779,0.00043
0.67823,0.00043
0.67866,0.00043
0.6791,0.00043
0.67953,0.00043
0.67997,0.00043
0.6804,0.00043
0.68083,0.00044
0.68127,0.00044
0.6817,0.00044
0.68214,0.00044
0.68257,0.00044
0.68301,0.00044
0.68344,0.00044
0.68388,0.00044
0.68431,0.00044
0.68475,0.00044
0.68519,0.00044
0.68562,0.00044
0.68606,0.00044
0.68649,0.00044
0.68693,0.00044
0.68736,0.00044
0.6878,0.00044
0.68824,0.00044
0.68867,0.00044
0.68911,0.00044
0.68955,0.00044
0.68998,0.00044
0.69042,0.00044
0.69086,0.00044
0.69129,0.00044
0.69173,0.00044
0.69217,0.00044
0.69261,0.00044
0.69304,0.00044
0.69348,0.00044
0.69392,0.00044
0.69436,0.00044
0.69479,0.00044
0.69523,0.00044
0.69567,0.00044
0.69611,0.00044
0.69655,0.00044
0.69698,0.00044
0.69742,0.00044
0.69786,0.00044
0.6983,0.00044
0.69874,0.00044
0.69918,0.00044
0.69962,0.00044
0.70005,0.00044
0.70049,0.00044
0.70093,0.00044
0.70137,0.00044
0.70181,0.00044
0.70225,0.00044
0.70269,0.00044
0.70313,0.00044
0.70357,0.00044
0.70401,0.00044
0.70445,0.00044
0.70489,0.00044
0.70533,0.00044
0.70577,0.00044
0.70621,0.00044
0.70665,0.00044
0.70709,0.00044
0.70753,0.00044
0.70798,0.00044
0.70842,0.00044
0.70886,0.00044
0.7093,0.00044
0.70974,0.00044
0.71018,0.00044
0.71062,0.00044
0.71106,0.00044
0.7115,0.00044
0.71195,0.00044
0.71239,0.00044
0.71283,0.00044
0.71327,0.00044
0.71371,0.00044
0.71416,0.00044
0.7146,0.00044
0.71504,0.00044
0.71548,0.00044
0.71593,0.00044
0.71637,0.00044
0.71681,0.00044
0.71725,0.00044
0.7177,0.00044
0.71814,0.00044
0.71858,0.00044
0.71903,0.00044
0.71947,0.00044
0.71991,0.00044
0.72036,0.00044
0.7208,0.00044
0.72124,0.00044
0.72169,0.00044
0.72213,0.00044
0.72257,0.00044
0.72302,0.00044
0.72346,0.00044
0.72391,0.00044
0.72435,0.00044
0.7248,0.00044
0.72524,0.00044
0.72569,0.00044
0.72613,0.00044
0.72657,0.00044
0.72702,0.00044
0.72746,0.00044
0.72791,0.00044
0.72835,0.00044
0.7288,0.00044
0.72925,0.00044
0.72969,0.00044
0.73014,0.00045
0.73058,0.00045
0.73103,0.00045
0.73147,0.00045
0.73192,0.00045
0.73237,0.00045
0.73281,0.00045
0.73326,0.00045
0.7337,0.00045
0.73415,0.00045
0.7346,0.00045
0.73504,0.00045
0.73549,0.00045
0.73594,0.00045
0.73638,0.00045
0.73683,0.00045
0.73728,0.00045
0.73772,0.00045
0.73817,0.00045
0.73862,0.00045
0.73906,0.00045
0.73951,0.00045
0.73996,0.00045
0.74041,0.00045
0.74086,0.00045
0.7413,0.00045
0.74175,0.00045
0.7422,0.00045
0.74265,0.00045
0.74309,0.00045
0.74354,0.00045
0.74399,0.00045
0.74444,0.00045
0.74489,0.00045
0.74534,0.00045
0.74579,0.00045
0.74623,0.00045
0.74668,0.00045
0.74713,0.00045
0.74758,0.00045
0.74803,0.00045
0.74848,0.00045
0.74893,0.00045
0.74938,0.00045
0.74983,0.00045
0.75028,0.00045
0.75073,0.00045
0.75118,0.00045
0.75162,0.00045
0.75208,0.00045
0.75252,0.00045
0.75297,0.00045
0.75343,0.00045
0.75387,0.00045
0.75433,0.00045
0.75478,0.00045
0.75523,0.00045
0.75568,0.00045
0.75613,0.00045
0.75658,0.00045
0.75703,0.00045
0.75748,0.00045
0.75793,0.00045
0.75838,0.00045
0.75883,0.00045
0.75928,0.00045
0.75974,0.00045
0.76019,0.00045
0.76064,0.00045
0.76109,0.00045
0.76154,0.00045
0.76199,0.00045
0.76245,0.00045
0.7629,0.00045
0.76335,0.00045
0.7638,0.00045
0.76425,0.00045
0.7647,0.00045
0.76516,0.00045
0.76561,0.00045
0.76606,0.00045
0.76651,0.00045
0.76697,0.00045
0.76742,0.00045
0.76787,0.00045
0.76833,0.00045
0.76878,0.00045
0.76923,0.00045
0.76968,0.00045
0.77014,0.00045
0.77059,0.00045
0.77104,0.00045
0.7715,0.00045
0.77195,0.00045
0.77241,0.00045
0.77286,0.00045
0.77331,0.00045
0.77377,0.00045
0.77422,0.00045
0.77467,0.00045
0.77513,0.00045
0.77558,0.00045
0.77604,0.00045
0.77649,0.00045
0.77694,0.00045
0.7774,0.00046
0.77785,0.00046
0.77831,0.00046
0.77876,0.00046
0.77922,0.00046
0.77967,0.00046
0.78013,0.00046
0.78058,0.00046
0.78104,0.00046
0.78149,0.00046
0.78195,0.00046
0.7824,0.00046
0.78286,0.00046
0.78331,0.00046
0.78377,0.00046
0.78423,0.00046
0.78468,0.00046
0.78514,0.00046
0.78559,0.00046
0.78605,0.00046
0.78651,0.00046
0.78696,0.00046
0.78742,0.00046
0.78787,0.00046
0.78833,0.00046
0.78879,0.00046
0.78924,0.00046
0.7897,0.00046
0.79016,0.00046
0.79061,0.00046
0.79107,0.00046
0.79153,0.00046
0.79198,0.00046
0.79244,0.00046
0.7929,0.00046
0.79336,0.00046
0.79381,0.00046
0.79427,0.00046
0.79473,0.00046
0.79519,0.00046
0.79564,0.00046
0.7961,0.00046
0.79656,0.00046
0.79702,0.00046
0.79747,0.00046
0.79793,0.00046
0.79839,0.00046
0.79885,0.00046
0.79931,0.00046
0.79976,0.00046
0.80022,0.00046
0.80068,0.00046
0.80114,0.00046
0.8016,0.00046
0.80206,0.00046
0.80251,0.00046
0.80297,0.00046
0.80343,0.00046
0.80389,0.00046
0.80435,0.00046
0.80481,0.00046
0.80527,0.00046
0.80573,0.00046
0.80619,0.00046
0.80665,0.00046
0.8071,0.00046
0.80756,0.00046
0.80802,0.00046
0.80848,0.00046
0.80894,0.00046
0.8094,0.00046
0.80986,0.00046
0.81032,0.00046
0.81078,0.00046
0.81124,0.00046
0.8117,0.00046
0.81216,0.00046
0.81262,0.00046
0.81308,0.00046
0.81354,0.00046
0.814,0.00046
0.81446,0.00046
0.81493,0.00046
0.81539,0.00046
0.81585,0.00046
0.81631,0.00046
0.81677,0.00046
0.81723,0.00046
0.81769,0.00046
0.81815,0.00046
0.81861,0.00046
0.81907,0.00046
0.81954,0.00046
0.82,0.00046
0.82046,0.00046
0.82092,0.00046
0.82138,0.00046
0.82184,0.00046
0.8223,0.00046
0.82277,0.00046
0.82323,0.00046
0.82369,0.00046
0.82415,0.00046
0.82461,0.00046
0.82508,0.00046
0.82554,0.00046
0.826,0.00046
0.82646,0.00046
0.82693,0.00046
0.82739,0.00046
0.82785,0.00046
0.82831,0.00046
0.82878,0.00046
0.82924,0.00046
0.8297,0.00046
0.83016,0.00046
0.83063,0.00046
0.83109,0.00046
0.83155,0.00046
0.83202,0.00046
0.83248,0.00046
0.83294,0.00046
0.8334,0.00046
0.83387,0.00046
0.83433,0.00046
0.8348,0.00046
0.83526,0.00046
0.83572,0.00046
0.83619,0.00046
0.83665,0.00046
0.83711,0.00046
0.83758,0.00046
0.83804,0.00046
0.83851,0.00046
0.83897,0.00046
0.83943,0.00046
0.8399,0.00046
0.84036,0.00046
0.84083,0.00046
0.84129,0.00046
0.84176,0.00046
0.84222,0.00047
0.84269,0.00047
0.84315,0.00047
0.84361,0.00047
0.84408,0.00047
0.84454,0.00047
0.84501,0.00047
0.84547,0.00047
0.84594,0.00047
0.8464,0.00047
0.84687,0.00047
0.84733,0.00047
0.8478,0.00047
0.84827,0.00047
0.84873,0.00047
0.8492,0.00047
0.84966,0.00047
0.85013,0.00047
0.85059,0.00047
0.85106,0.00047
0.85152,0.00047
0.85199,0.00047
0.85246,0.00047
0.85292,0.00047
0.85339,0.00047
0.85385,0.00047
0.85432,0.00047
0.85479,0.00047
0.85525,0.00047
0.85572,0.00047
0.85618,0.00047
0.85665,0.00047
0.85712,0.00047
0.85758,0.00047
0.85805,0.00047
0.85852,0.00047
0.85898,0.00047
0.85945,0.00047
0.85992,0.00047
0.86038,0.00047
0.86085,0.00047
0.86132,0.00047
0.86179,0.00047
0.86225,0.00047
0.86272,0.00047
0.86319,0.00047
0.86365,0.00047
0.86412,0.00047
0.86459,0.00047
0.86506,0.00047
0.86552,0.00047
0.86599,0.00047
0.86646,0.00047
0.86693,0.00047
0.8674,0.00047
0.86786,0.00047
0.86833,0.00047
0.8688,0.00047
0.86927,0.00047
0.86974,0.00047
0.8702,0.00047
0.87067,0.00047
0.87114,0.00047
0.87161,0.00047
0.87208,0.00047
0.87254,0.00047
0.87301,0.00047
0.87348,0.00047
0.87395,0.00047
0.87442,0.00047
0.87489,0.00047
0.87536,0.00047
0.87582,0.00047
0.87629,0.00047
0.87676,0.00047
0.87723,0.00047
0.8777,0.00047
0.87817,0.00047
0.87864,0.00047
0.87911,0.00047
0.87958,0.00047
0.88005,0.00047
0.88052,0.00047
0.88098,0.00047
0.88145,0.00047
0.88192,0.00047
0.88239,0.00047
0.88286,0.00047
0.88333,0.00047
0.8838,0.00047
0.88427,0.00047
0.88474,0.00047
0.88521,0.00047
0.88568,0.00047
0.88615,0.00047
0.88662,0.00047
0.88709,0.00047
0.88756,0.00047
0.88803,0.00047
0.8885,0.00047
