# Source: MESSENGER MASCS UVVS
# Product: UFC_OB5_29_15094_155425_SCI_DAT
# Type: CDR
# Target: MERCURY
# Observation: 2015-04-04T15:54:26 to 2015-04-04T15:55:09
# Units: wavelength_nm=W m^-2 sr^-1 nm^-1
#
wavelength_nm,radiance_w_m2_sr_nm
129.2794,1.227640e-05
129.4922,4.299331e-05
129.6587,3.278624e-05
129.9578,8.531360e-05
130.1304,5.657097e-05
130.3301,6.178043e-05
130.5603,7.427901e-05
130.7960,4.001056e-05
131.0177,6.232584e-05
131.2173,6.248946e-05
131.4334,3.343013e-05
131.6828,1.260804e-05
