Created as New Dataset,Sample 005 By Administrator Date Thursday, October 16 2025
cm-1,%T
4000.00,98.44
3999.00,98.44
3998.00,98.44
3997.00,98.44
3996.00,98.45
3995.00,98.45
3994.00,98.46
3993.00,98.45
3992.00,98.45
3991.00,98.46
3990.00,98.47
3989.00,98.47
3988.00,98.47
3987.00,98.47
3986.00,98.47
3985.00,98.47
3984.00,98.46
3983.00,98.46
3982.00,98.46
3981.00,98.47
3980.00,98.48
3979.00,98.49
3978.00,98.49
3977.00,98.49
3976.00,98.49
3975.00,98.48
3974.00,98.47
3973.00,98.47
3972.00,98.47
3971.00,98.47
3970.00,98.47
3969.00,98.47
3968.00,98.46
3967.00,98.46
3966.00,98.46
3965.00,98.45
3964.00,98.46
3963.00,98.46
3962.00,98.47
3961.00,98.48
3960.00,98.47
3959.00,98.46
3958.00,98.45
3957.00,98.46
3956.00,98.46
3955.00,98.46
3954.00,98.45
3953.00,98.44
3952.00,98.44
3951.00,98.45
3950.00,98.47
3949.00,98.50
3948.00,98.53
3947.00,98.54
3946.00,98.52
3945.00,98.47
3944.00,98.43
3943.00,98.43
3942.00,98.46
3941.00,98.47
3940.00,98.47
3939.00,98.47
3938.00,98.49
3937.00,98.52
3936.00,98.54
3935.00,98.54
3934.00,98.53
3933.00,98.53
3932.00,98.51
3931.00,98.47
3930.00,98.46
3929.00,98.46
3928.00,98.47
3927.00,98.44
3926.00,98.42
3925.00,98.44
3924.00,98.48
3923.00,98.49
3922.00,98.48
3921.00,98.50
3920.00,98.54
3919.00,98.57
3918.00,98.55
3917.00,98.54
3916.00,98.54
3915.00,98.53
3914.00,98.50
3913.00,98.49
3912.00,98.50
3911.00,98.50
3910.00,98.49
3909.00,98.49
3908.00,98.48
3907.00,98.46
3906.00,98.46
3905.00,98.53
3904.00,98.67
3903.00,98.77
3902.00,98.75
3901.00,98.65
3900.00,98.58
3899.00,98.56
3898.00,98.56
3897.00,98.55
3896.00,98.55
3895.00,98.56
3894.00,98.55
3893.00,98.50
3892.00,98.47
3891.00,98.54
3890.00,98.65
3889.00,98.70
3888.00,98.67
3887.00,98.65
3886.00,98.68
3885.00,98.69
3884.00,98.62
3883.00,98.49
3882.00,98.41
3881.00,98.43
3880.00,98.53
3879.00,98.62
3878.00,98.62
3877.00,98.56
3876.00,98.49
3875.00,98.50
3874.00,98.58
3873.00,98.63
3872.00,98.60
3871.00,98.57
3870.00,98.65
3869.00,98.76
3868.00,98.72
3867.00,98.59
3866.00,98.55
3865.00,98.62
3864.00,98.64
3863.00,98.59
3862.00,98.58
3861.00,98.63
3860.00,98.65
3859.00,98.63
3858.00,98.60
3857.00,98.61
3856.00,98.65
3855.00,98.69
3854.00,98.72
