# Source: MESSENGER MASCS VIRS
# Product: VIRSND_OB2_12094_055036_DAT
# Type: DDR
# Target: MERCURY
# Observation: 2012-04-03T05:50:37 to 2012-04-03T06:15:11
# Units: wavelength_nm=dimensionless
#
wavelength_nm,reflectance
300.0000,1.012993e-03
304.5098,2.572313e-03
309.0196,2.132758e-03
313.5294,5.741812e-03
318.0392,1.897160e-03
322.5490,4.901431e-03
327.0588,3.934454e-03
331.5686,7.159573e-03
336.0784,6.804975e-03
340.5882,3.526267e-03
345.0980,6.680914e-03
349.6078,4.743420e-03
354.1176,3.552379e-03
358.6275,3.246210e-03
363.1373,6.215993e-03
367.6471,6.413517e-03
372.1569,7.199534e-03
376.6667,6.638444e-03
381.1765,5.364791e-03
385.6863,3.257262e-03
390.1961,3.323960e-03
394.7059,4.973095e-03
399.2157,1.243065e-03
403.7255,5.561242e-03
408.2353,4.957577e-03
412.7451,5.724501e-03
417.2549,1.937802e-03
421.7647,5.536315e-03
426.2745,4.443490e-03
430.7843,7.347545e-03
435.2941,5.599174e-03
439.8039,5.135484e-03
444.3137,4.593321e-03
448.8235,6.672288e-03
453.3333,4.026710e-03
457.8431,3.537556e-03
462.3529,2.340410e-03
466.8627,7.375637e-03
471.3725,5.156858e-03
475.8824,3.491753e-03
480.3922,3.955254e-03
484.9020,4.098861e-03
489.4118,4.639138e-03
493.9216,4.361377e-03
498.4314,3.687650e-03
502.9412,1.814195e-03
507.4510,7.800476e-03
511.9608,3.367664e-03
516.4706,4.578276e-03
520.9804,6.947377e-03
525.4902,3.976802e-03
530.0000,2.828684e-03
534.5098,3.828073e-03
539.0196,6.490985e-03
543.5294,2.618250e-03
548.0392,7.624111e-03
552.5490,4.044318e-03
557.0588,3.491379e-03
561.5686,5.248133e-04
566.0784,3.453655e-03
570.5882,6.360553e-03
575.0980,4.307445e-03
579.6078,2.467416e-03
584.1176,4.776901e-03
588.6275,7.338922e-03
593.1373,4.267824e-03
597.6471,3.610753e-03
602.1569,4.279468e-03
606.6667,2.675239e-03
611.1765,1.236872e-03
615.6863,3.915784e-03
620.1961,5.277190e-03
624.7059,4.263281e-03
629.2157,7.152342e-04
633.7255,4.189197e-03
638.2353,3.569025e-03
642.7451,4.932123e-03
647.2549,5.885671e-03
651.7647,3.677892e-03
656.2745,5.172688e-03
660.7843,2.626636e-03
665.2941,5.148292e-03
669.8039,3.159661e-03
674.3137,6.305898e-03
678.8235,8.026344e-03
683.3333,4.609418e-03
687.8431,1.150205e-02
692.3529,6.777162e-03
696.8627,3.103295e-03
701.3725,4.992398e-03
705.8824,3.323919e-03
710.3922,4.929448e-03
714.9020,7.382406e-03
719.4118,4.300666e-03
723.9216,3.000315e-03
728.4314,2.646334e-03
732.9412,5.841899e-03
737.4510,3.645425e-03
741.9608,8.049367e-03
746.4706,6.116112e-03
750.9804,6.093392e-03
755.4902,3.217673e-03
760.0000,6.129791e-03
764.5098,1.028380e-02
769.0196,7.155062e-03
773.5294,4.659506e-03
778.0392,4.783474e-03
782.5490,1.031153e-02
787.0588,8.420009e-04
