Created as New Dataset,Sample 004 By Administrator Date Tuesday, October 21 2025
cm-1,%T
4000.00,99.84
3999.00,99.84
3998.00,99.85
3997.00,99.85
3996.00,99.84
3995.00,99.84
3994.00,99.84
3993.00,99.84
3992.00,99.84
3991.00,99.84
3990.00,99.84
3989.00,99.84
3988.00,99.84
3987.00,99.84
3986.00,99.84
3985.00,99.85
3984.00,99.85
3983.00,99.85
3982.00,99.85
3981.00,99.85
3980.00,99.84
3979.00,99.84
3978.00,99.84
3977.00,99.84
3976.00,99.84
3975.00,99.84
3974.00,99.84
3973.00,99.84
3972.00,99.84
3971.00,99.83
3970.00,99.83
3969.00,99.82
3968.00,99.82
3967.00,99.82
3966.00,99.83
3965.00,99.83
3964.00,99.84
3963.00,99.84
3962.00,99.85
3961.00,99.85
3960.00,99.85
3959.00,99.85
3958.00,99.84
3957.00,99.84
3956.00,99.84
3955.00,99.84
3954.00,99.84
3953.00,99.84
3952.00,99.84
3951.00,99.84
3950.00,99.83
3949.00,99.84
3948.00,99.84
3947.00,99.84
3946.00,99.85
3945.00,99.85
3944.00,99.84
3943.00,99.84
3942.00,99.83
3941.00,99.83
3940.00,99.84
3939.00,99.84
3938.00,99.84
3937.00,99.84
3936.00,99.84
3935.00,99.84
3934.00,99.84
3933.00,99.84
3932.00,99.84
3931.00,99.85
3930.00,99.85
3929.00,99.86
3928.00,99.86
3927.00,99.86
3926.00,99.86
3925.00,99.86
3924.00,99.86
3923.00,99.87
3922.00,99.88
3921.00,99.87
3920.00,99.86
3919.00,99.84
3918.00,99.84
3917.00,99.84
3916.00,99.84
3915.00,99.85
3914.00,99.85
3913.00,99.85
3912.00,99.85
3911.00,99.86
3910.00,99.87
3909.00,99.87
3908.00,99.87
3907.00,99.87
3906.00,99.87
3905.00,99.88
3904.00,99.89
3903.00,99.89
3902.00,99.90
3901.00,99.89
3900.00,99.88
3899.00,99.87
3898.00,99.87
3897.00,99.88
3896.00,99.88
3895.00,99.88
3894.00,99.88
3893.00,99.90
3892.00,99.92
3891.00,99.91
3890.00,99.90
3889.00,99.89
3888.00,99.89
3887.00,99.89
3886.00,99.88
3885.00,99.87
3884.00,99.87
3883.00,99.87
3882.00,99.87
3881.00,99.86
3880.00,99.86
3879.00,99.88
3878.00,99.89
3877.00,99.89
3876.00,99.88
3875.00,99.88
3874.00,99.89
3873.00,99.91
3872.00,99.95
3871.00,99.97
3870.00,99.94
3869.00,99.91
3868.00,99.90
3867.00,99.92
3866.00,99.92
3865.00,99.91
3864.00,99.90
3863.00,99.91
3862.00,99.91
3861.00,99.90
3860.00,99.89
3859.00,99.87
3858.00,99.81
3857.00,99.70
3856.00,99.63
3855.00,99.65
3854.00,99.72
3853.00,99.77
3852.00,99.82
3851.00,99.85
3850.00,99.86
3849.00,99.85
3848.00,99.85
3847.00,99.86
3846.00,99.87
3845.00,99.87
3844.00,99.89
3843.00,99.91
3842.00,99.93
3841.00,99.97
3840.00,100.01
3839.00,100.03
3838.00,100.01
3837.00,99.97
3836.00,99.93
3835.00,99.92
3834.00,99.91
3833.00,99.91
3832.00,99.90
3831.00,99.89
3830.00,99.87
3829.00,99.87
3828.00,99.86
3827.00,99.86
3826.00,99.87
3825.00,99.88
3824.00,99.92
3823.00,99.96
3822.00,99.97
3821.00,99.95
3820.00,99.93
3819.00,99.94
3818.00,99.95
3817.00,99.94
3816.00,99.90
3815.00,99.86
3814.00,99.87
3813.00,99.89
3812.00,99.90
3811.00,99.88
3810.00,99.88
3809.00,99.89
3808.00,99.90
3807.00,99.90
3806.00,99.88
3805.00,99.88
3804.00,99.90
3803.00,99.92
3802.00,99.91
3801.00,99.88
3800.00,99.86
3799.00,99.86
3798.00,99.86
3797.00,99.85
3796.00,99.85
3795.00,99.86
3794.00,99.87
3793.00,99.87
3792.00,99.86
3791.00,99.85
3790.00,99.85
3789.00,99.85
3788.00,99.85
3787.00,99.83
3786.00,99.83
3785.00,99.83
3784.00,99.84
3783.00,99.85
3782.00,99.85
3781.00,99.85
3780.00,99.85
3779.00,99.85
3778.00,99.86
3777.00,99.87
3776.00,99.88
3775.00,99.87
3774.00,99.86
3773.00,99.86
3772.00,99.87
3771.00,99.87
3770.00,99.87
3769.00,99.87
3768.00,99.89
3767.00,99.89
3766.00,99.87
3765.00,99.86
3764.00,99.86
3763.00,99.86
3762.00,99.87
3761.00,99.86
3760.00,99.87
3759.00,99.88
3758.00,99.89
3757.00,99.89
3756.00,99.89
3755.00,99.87
3754.00,99.86
3753.00,99.83
3752.00,99.77
3751.00,99.71
3750.00,99.66
3749.00,99.66
3748.00,99.67
3747.00,99.67
3746.00,99.65
3745.00,99.64
3744.00,99.64
3743.00,99.71
3742.00,99.80
3741.00,99.82
3740.00,99.79
3739.00,99.77
3738.00,99.80
3737.00,99.84
3736.00,99.87
3735.00,99.88
3734.00,99.89
3733.00,99.88
3732.00,99.85
3731.00,99.84
3730.00,99.84
3729.00,99.85
3728.00,99.85
3727.00,99.84
3726.00,99.84
3725.00,99.85
3724.00,99.85
3723.00,99.85
3722.00,99.86
3721.00,99.86
3720.00,99.87
3719.00,99.87
3718.00,99.88
3717.00,99.88
3716.00,99.88
3715.00,99.88
3714.00,99.87
3713.00,99.87
3712.00,99.86
3711.00,99.86
3710.00,99.87
3709.00,99.87
3708.00,99.87
3707.00,99.87
3706.00,99.86
3705.00,99.86
3704.00,99.86
3703.00,99.87
3702.00,99.88
3701.00,99.88
3700.00,99.88
3699.00,99.88
3698.00,99.86
3697.00,99.85
3696.00,99.85
3695.00,99.87
3694.00,99.88
3693.00,99.89
3692.00,99.91
3691.00,99.94
3690.00,99.96
3689.00,99.94
3688.00,99.89
3687.00,99.86
3686.00,99.85
3685.00,99.86
3684.00,99.86
3683.00,99.85
3682.00,99.86
3681.00,99.88
3680.00,99.89
3679.00,99.90
3678.00,99.92
3677.00,99.96
3676.00,99.96
3675.00,99.93
3674.00,99.93
3673.00,99.96
3672.00,99.98
3671.00,99.97
3670.00,99.92
3669.00,99.89
3668.00,99.88
3667.00,99.88
3666.00,99.87
3665.00,99.86
3664.00,99.85
3663.00,99.86
3662.00,99.87
3661.00,99.88
3660.00,99.88
3659.00,99.89
3658.00,99.90
3657.00,99.90
3656.00,99.90
3655.00,99.90
3654.00,99.92
3653.00,99.94
3652.00,99.97
3651.00,100.01
3650.00,100.03
3649.00,100.00
3648.00,99.94
3647.00,99.89
3646.00,99.87
3645.00,99.87
3644.00,99.86
3643.00,99.85
3642.00,99.85
3641.00,99.85
3640.00,99.85
3639.00,99.85
3638.00,99.85
3637.00,99.85
3636.00,99.85
3635.00,99.86
3634.00,99.86
3633.00,99.85
3632.00,99.84
3631.00,99.85
3630.00,99.87
3629.00,99.87
3628.00,99.85
3627.00,99.85
3626.00,99.85
3625.00,99.84
3624.00,99.84
3623.00,99.86
3622.00,99.89
3621.00,99.93
3620.00,99.94
3619.00,99.93
3618.00,99.90
3617.00,99.88
3616.00,99.86
3615.00,99.86
3614.00,99.86
3613.00,99.86
3612.00,99.86
3611.00,99.84
3610.00,99.83
3609.00,99.81
3608.00,99.81
3607.00,99.83
3606.00,99.85
3605.00,99.85
3604.00,99.84
3603.00,99.83
3602.00,99.83
3601.00,99.82
3600.00,99.82
3599.00,99.83
3598.00,99.84
3597.00,99.84
3596.00,99.84
3595.00,99.85
3594.00,99.85
3593.00,99.85
3592.00,99.84
3591.00,99.83
3590.00,99.82
3589.00,99.82
3588.00,99.83
3587.00,99.84
3586.00,99.85
3585.00,99.85
3584.00,99.85
3583.00,99.85
3582.00,99.85
3581.00,99.85
3580.00,99.85
3579.00,99.85
3578.00,99.84
3577.00,99.83
3576.00,99.83
3575.00,99.84
3574.00,99.85
3573.00,99.85
3572.00,99.86
3571.00,99.86
3570.00,99.86
3569.00,99.85
3568.00,99.85
3567.00,99.84
3566.00,99.85
3565.00,99.85
3564.00,99.85
3563.00,99.84
3562.00,99.84
3561.00,99.83
3560.00,99.84
3559.00,99.85
3558.00,99.85
3557.00,99.85
3556.00,99.84
3555.00,99.83
3554.00,99.82
3553.00,99.82
3552.00,99.82
3551.00,99.83
3550.00,99.83
3549.00,99.83
3548.00,99.83
3547.00,99.83
3546.00,99.83
3545.00,99.83
3544.00,99.83
3543.00,99.83
3542.00,99.84
3541.00,99.84
3540.00,99.84
3539.00,99.85
3538.00,99.85
3537.00,99.85
3536.00,99.85
3535.00,99.85
3534.00,99.85
3533.00,99.84
3532.00,99.84
3531.00,99.83
3530.00,99.83
3529.00,99.83
3528.00,99.83
3527.00,99.84
3526.00,99.84
3525.00,99.84
3524.00,99.84
3523.00,99.84
3522.00,99.84
3521.00,99.84
3520.00,99.84
3519.00,99.83
3518.00,99.83
3517.00,99.83
3516.00,99.83
3515.00,99.83
3514.00,99.83
3513.00,99.83
3512.00,99.82
3511.00,99.82
3510.00,99.82
3509.00,99.83
3508.00,99.83
3507.00,99.84
3506.00,99.83
3505.00,99.83
3504.00,99.82
3503.00,99.83
3502.00,99.83
3501.00,99.84
3500.00,99.84
3499.00,99.84
3498.00,99.84
3497.00,99.84
3496.00,99.84
3495.00,99.84
3494.00,99.85
3493.00,99.85
3492.00,99.85
3491.00,99.84
3490.00,99.84
3489.00,99.84
3488.00,99.84
3487.00,99.84
3486.00,99.84
3485.00,99.83
3484.00,99.83
3483.00,99.82
3482.00,99.83
3481.00,99.83
3480.00,99.83
3479.00,99.84
3478.00,99.84
3477.00,99.83
3476.00,99.83
3475.00,99.83
3474.00,99.83
3473.00,99.83
3472.00,99.83
3471.00,99.83
3470.00,99.83
3469.00,99.82
3468.00,99.83
3467.00,99.83
3466.00,99.83
3465.00,99.83
3464.00,99.83
3463.00,99.83
3462.00,99.83
3461.00,99.83
3460.00,99.84
3459.00,99.84
3458.00,99.84
3457.00,99.84
3456.00,99.84
3455.00,99.83
3454.00,99.83
3453.00,99.83
3452.00,99.82
3451.00,99.82
3450.00,99.81
3449.00,99.81
3448.00,99.81
3447.00,99.81
3446.00,99.82
3445.00,99.82
3444.00,99.82
3443.00,99.82
3442.00,99.83
3441.00,99.83
3440.00,99.83
3439.00,99.83
3438.00,99.83
3437.00,99.82
3436.00,99.82
3435.00,99.82
3434.00,99.83
3433.00,99.83
3432.00,99.83
3431.00,99.83
3430.00,99.83
3429.00,99.83
3428.00,99.83
3427.00,99.83
3426.00,99.83
3425.00,99.82
3424.00,99.82
3423.00,99.82
3422.00,99.82
3421.00,99.83
3420.00,99.83
3419.00,99.83
3418.00,99.83
3417.00,99.82
3416.00,99.81
3415.00,99.81
3414.00,99.81
3413.00,99.81
3412.00,99.82
3411.00,99.82
3410.00,99.82
3409.00,99.82
3408.00,99.82
3407.00,99.82
3406.00,99.82
3405.00,99.82
3404.00,99.82
3403.00,99.81
3402.00,99.81
3401.00,99.81
3400.00,99.81
3399.00,99.81
3398.00,99.81
3397.00,99.81
3396.00,99.81
3395.00,99.81
3394.00,99.81
3393.00,99.81
3392.00,99.82
3391.00,99.82
3390.00,99.82
3389.00,99.82
3388.00,99.81
3387.00,99.82
3386.00,99.82
3385.00,99.82
3384.00,99.81
3383.00,99.81
3382.00,99.82
3381.00,99.82
3380.00,99.82
3379.00,99.82
3378.00,99.82
3377.00,99.81
3376.00,99.81
3375.00,99.81
3374.00,99.81
3373.00,99.81
3372.00,99.81
3371.00,99.81
3370.00,99.81
3369.00,99.81
3368.00,99.81
3367.00,99.81
3366.00,99.81
3365.00,99.81
3364.00,99.81
3363.00,99.81
3362.00,99.81
3361.00,99.81
3360.00,99.81
3359.00,99.81
3358.00,99.81
3357.00,99.81
3356.00,99.81
3355.00,99.81
3354.00,99.81
3353.00,99.81
3352.00,99.81
3351.00,99.80
3350.00,99.80
3349.00,99.79
3348.00,99.79
3347.00,99.79
3346.00,99.79
3345.00,99.79
3344.00,99.79
3343.00,99.79
3342.00,99.79
3341.00,99.79
3340.00,99.80
3339.00,99.80
3338.00,99.80
3337.00,99.80
3336.00,99.80
3335.00,99.80
3334.00,99.80
3333.00,99.79
3332.00,99.79
3331.00,99.79
3330.00,99.79
3329.00,99.79
3328.00,99.79
3327.00,99.79
3326.00,99.79
3325.00,99.79
3324.00,99.79
3323.00,99.79
3322.00,99.80
3321.00,99.80
3320.00,99.80
3319.00,99.79
3318.00,99.79
3317.00,99.79
3316.00,99.79
3315.00,99.79
3314.00,99.80
3313.00,99.80
3312.00,99.80
3311.00,99.80
3310.00,99.79
3309.00,99.78
3308.00,99.78
3307.00,99.78
3306.00,99.79
3305.00,99.79
3304.00,99.80
3303.00,99.80
3302.00,99.80
3301.00,99.80
3300.00,99.80
3299.00,99.79
3298.00,99.80
3297.00,99.80
3296.00,99.80
3295.00,99.80
3294.00,99.79
3293.00,99.79
3292.00,99.78
3291.00,99.79
3290.00,99.79
3289.00,99.79
3288.00,99.80
3287.00,99.80
3286.00,99.80
3285.00,99.79
3284.00,99.79
3283.00,99.79
3282.00,99.78
3281.00,99.78
3280.00,99.79
3279.00,99.79
3278.00,99.79
3277.00,99.79
3276.00,99.79
3275.00,99.78
3274.00,99.78
3273.00,99.78
3272.00,99.78
3271.00,99.78
3270.00,99.79
3269.00,99.79
3268.00,99.79
3267.00,99.79
3266.00,99.79
3265.00,99.79
3264.00,99.79
3263.00,99.79
3262.00,99.79
3261.00,99.79
3260.00,99.79
3259.00,99.79
3258.00,99.79
3257.00,99.79
3256.00,99.79
3255.00,99.79
3254.00,99.79
3253.00,99.79
3252.00,99.79
3251.00,99.79
3250.00,99.79
3249.00,99.79
3248.00,99.79
3247.00,99.79
3246.00,99.79
3245.00,99.79
3244.00,99.80
3243.00,99.80
3242.00,99.80
3241.00,99.80
3240.00,99.80
3239.00,99.80
3238.00,99.80
3237.00,99.80
3236.00,99.80
3235.00,99.80
3234.00,99.80
3233.00,99.79
3232.00,99.79
3231.00,99.79
3230.00,99.79
3229.00,99.80
3228.00,99.80
3227.00,99.80
3226.00,99.81
3225.00,99.81
3224.00,99.81
3223.00,99.80
3222.00,99.79
3221.00,99.79
3220.00,99.79
3219.00,99.79
3218.00,99.79
3217.00,99.79
3216.00,99.79
3215.00,99.79
3214.00,99.79
3213.00,99.80
3212.00,99.80
3211.00,99.80
3210.00,99.79
3209.00,99.80
3208.00,99.80
3207.00,99.81
3206.00,99.81
3205.00,99.81
3204.00,99.81
3203.00,99.81
3202.00,99.81
3201.00,99.81
3200.00,99.80
3199.00,99.80
3198.00,99.80
3197.00,99.80
3196.00,99.80
3195.00,99.80
3194.00,99.80
3193.00,99.79
3192.00,99.80
3191.00,99.80
3190.00,99.81
3189.00,99.81
3188.00,99.82
3187.00,99.81
3186.00,99.81
3185.00,99.80
3184.00,99.80
3183.00,99.80
3182.00,99.80
3181.00,99.80
3180.00,99.79
3179.00,99.79
3178.00,99.79
3177.00,99.80
3176.00,99.80
3175.00,99.81
3174.00,99.81
3173.00,99.81
3172.00,99.81
3171.00,99.80
3170.00,99.80
3169.00,99.80
3168.00,99.80
3167.00,99.80
3166.00,99.80
3165.00,99.80
3164.00,99.81
3163.00,99.81
3162.00,99.81
3161.00,99.81
3160.00,99.81
3159.00,99.80
3158.00,99.80
3157.00,99.80
3156.00,99.80
3155.00,99.80
3154.00,99.80
3153.00,99.80
3152.00,99.80
3151.00,99.80
3150.00,99.81
3149.00,99.81
3148.00,99.81
3147.00,99.81
3146.00,99.81
3145.00,99.81
3144.00,99.80
3143.00,99.80
3142.00,99.80
3141.00,99.80
3140.00,99.81
3139.00,99.81
3138.00,99.81
3137.00,99.81
3136.00,99.81
3135.00,99.81
3134.00,99.81
3133.00,99.82
3132.00,99.82
3131.00,99.83
3130.00,99.82
3129.00,99.82
3128.00,99.81
3127.00,99.81
3126.00,99.81
3125.00,99.81
3124.00,99.81
3123.00,99.81
3122.00,99.81
3121.00,99.81
3120.00,99.81
3119.00,99.81
3118.00,99.80
3117.00,99.80
3116.00,99.80
3115.00,99.80
3114.00,99.81
3113.00,99.81
3112.00,99.81
3111.00,99.81
3110.00,99.81
3109.00,99.81
3108.00,99.81
3107.00,99.81
3106.00,99.81
3105.00,99.81
3104.00,99.81
3103.00,99.81
3102.00,99.81
3101.00,99.81
3100.00,99.81
3099.00,99.81
3098.00,99.81
3097.00,99.80
3096.00,99.80
3095.00,99.80
3094.00,99.81
3093.00,99.81
3092.00,99.81
3091.00,99.81
3090.00,99.81
3089.00,99.81
3088.00,99.81
3087.00,99.81
3086.00,99.81
3085.00,99.81
3084.00,99.81
3083.00,99.80
3082.00,99.80
3081.00,99.80
3080.00,99.81
3079.00,99.81
3078.00,99.81
3077.00,99.81
3076.00,99.81
3075.00,99.82
3074.00,99.82
3073.00,99.82
3072.00,99.82
3071.00,99.81
3070.00,99.81
3069.00,99.81
3068.00,99.80
3067.00,99.80
3066.00,99.80
3065.00,99.81
3064.00,99.81
3063.00,99.82
3062.00,99.82
3061.00,99.82
3060.00,99.82
3059.00,99.81
3058.00,99.81
3057.00,99.81
3056.00,99.81
3055.00,99.81
3054.00,99.82
3053.00,99.82
3052.00,99.82
3051.00,99.82
3050.00,99.82
3049.00,99.82
3048.00,99.82
3047.00,99.82
3046.00,99.82
3045.00,99.82
3044.00,99.82
3043.00,99.82
3042.00,99.82
3041.00,99.82
3040.00,99.82
3039.00,99.82
3038.00,99.82
3037.00,99.82
3036.00,99.83
3035.00,99.82
3034.00,99.82
3033.00,99.81
3032.00,99.80
3031.00,99.80
3030.00,99.81
3029.00,99.82
3028.00,99.82
3027.00,99.82
3026.00,99.81
3025.00,99.81
3024.00,99.81
3023.00,99.81
3022.00,99.82
3021.00,99.82
3020.00,99.82
3019.00,99.81
3018.00,99.81
3017.00,99.80
3016.00,99.80
3015.00,99.80
3014.00,99.81
3013.00,99.81
3012.00,99.82
3011.00,99.82
3010.00,99.81
3009.00,99.81
3008.00,99.81
3007.00,99.81
3006.00,99.81
3005.00,99.81
3004.00,99.81
3003.00,99.81
3002.00,99.81
3001.00,99.81
3000.00,99.81
2999.00,99.82
2998.00,99.82
2997.00,99.82
2996.00,99.81
2995.00,99.81
2994.00,99.80
2993.00,99.80
2992.00,99.81
2991.00,99.81
2990.00,99.81
2989.00,99.81
2988.00,99.81
2987.00,99.81
2986.00,99.82
2985.00,99.82
2984.00,99.81
2983.00,99.81
2982.00,99.81
2981.00,99.81
2980.00,99.81
2979.00,99.80
2978.00,99.80
2977.00,99.80
2976.00,99.79
2975.00,99.80
2974.00,99.80
2973.00,99.80
2972.00,99.80
2971.00,99.80
2970.00,99.80
2969.00,99.80
2968.00,99.80
2967.00,99.80
2966.00,99.80
2965.00,99.80
2964.00,99.80
2963.00,99.80
2962.00,99.80
2961.00,99.80
2960.00,99.80
2959.00,99.81
2958.00,99.81
2957.00,99.81
2956.00,99.81
2955.00,99.80
2954.00,99.80
2953.00,99.80
2952.00,99.80
2951.00,99.80
2950.00,99.79
2949.00,99.79
2948.00,99.79
2947.00,99.79
2946.00,99.79
2945.00,99.79
2944.00,99.79
2943.00,99.79
2942.00,99.79
2941.00,99.80
2940.00,99.80
2939.00,99.80
2938.00,99.80
2937.00,99.80
2936.00,99.79
2935.00,99.80
2934.00,99.80
2933.00,99.81
2932.00,99.81
2931.00,99.82
2930.00,99.83
2929.00,99.84
2928.00,99.85
2927.00,99.85
2926.00,99.87
2925.00,99.88
2924.00,99.91
2923.00,99.93
2922.00,99.96
2921.00,99.98
2920.00,100.01
2919.00,100.03
2918.00,100.06
2917.00,100.06
2916.00,100.05
2915.00,100.02
2914.00,99.98
2913.00,99.94
2912.00,99.91
2911.00,99.89
2910.00,99.87
2909.00,99.86
2908.00,99.85
2907.00,99.84
2906.00,99.83
2905.00,99.82
2904.00,99.82
2903.00,99.82
2902.00,99.82
2901.00,99.83
2900.00,99.83
2899.00,99.83
2898.00,99.82
2897.00,99.82
2896.00,99.81
2895.00,99.81
2894.00,99.80
2893.00,99.80
2892.00,99.80
2891.00,99.81
2890.00,99.81
2889.00,99.82
2888.00,99.82
2887.00,99.82
2886.00,99.81
2885.00,99.81
2884.00,99.81
2883.00,99.81
2882.00,99.82
2881.00,99.82
2880.00,99.81
2879.00,99.81
2878.00,99.80
2877.00,99.80
2876.00,99.80
2875.00,99.80
2874.00,99.80
2873.00,99.79
2872.00,99.79
2871.00,99.80
2870.00,99.80
2869.00,99.80
2868.00,99.79
2867.00,99.79
2866.00,99.79
2865.00,99.79
2864.00,99.80
2863.00,99.80
2862.00,99.80
2861.00,99.80
2860.00,99.81
2859.00,99.81
2858.00,99.81
2857.00,99.82
2856.00,99.83
2855.00,99.85
2854.00,99.87
2853.00,99.90
2852.00,99.93
2851.00,99.96
2850.00,99.98
2849.00,99.97
2848.00,99.95
2847.00,99.92
2846.00,99.89
2845.00,99.87
2844.00,99.85
2843.00,99.83
2842.00,99.82
2841.00,99.81
2840.00,99.81
2839.00,99.81
2838.00,99.81
2837.00,99.81
2836.00,99.81
2835.00,99.81
2834.00,99.81
2833.00,99.81
2832.00,99.81
2831.00,99.80
2830.00,99.81
2829.00,99.81
2828.00,99.81
2827.00,99.81
2826.00,99.81
2825.00,99.81
2824.00,99.80
2823.00,99.80
2822.00,99.80
2821.00,99.80
2820.00,99.80
2819.00,99.80
2818.00,99.80
2817.00,99.81
2816.00,99.81
2815.00,99.81
2814.00,99.81
2813.00,99.80
2812.00,99.80
2811.00,99.80
2810.00,99.80
2809.00,99.81
2808.00,99.81
2807.00,99.81
2806.00,99.81
2805.00,99.80
2804.00,99.80
2803.00,99.81
2802.00,99.81
2801.00,99.81
2800.00,99.82
2799.00,99.82
2798.00,99.81
2797.00,99.81
2796.00,99.81
2795.00,99.81
2794.00,99.81
2793.00,99.81
2792.00,99.81
2791.00,99.81
2790.00,99.81
2789.00,99.80
2788.00,99.80
2787.00,99.80
2786.00,99.81
2785.00,99.81
2784.00,99.81
2783.00,99.81
2782.00,99.81
2781.00,99.81
2780.00,99.81
2779.00,99.81
2778.00,99.81
2777.00,99.81
2776.00,99.81
2775.00,99.81
2774.00,99.81
2773.00,99.81
2772.00,99.81
2771.00,99.82
2770.00,99.82
2769.00,99.82
