CENTRALWAVELNG,BANDWIDTH,FLAM
0.78043,,6.841531975877919e-16
0.7891,,1.5494643062937654e-15
0.798,,2.4328162415223484e-15
0.80714,,3.421278952835698e-15
0.81653,,4.8042190335082356e-15
0.82617,,6.2411057779199625e-15
0.83607,,8.073621853881926e-15
0.84624,,1.0080909059949765e-14
0.85668,,1.2053936627851395e-14
0.8674,,1.3311676614994378e-14
0.87842,,1.5667286672906017e-14
0.88973,,1.914021917762213e-14
0.90134,,2.33275748777529e-14
0.91326,,2.7399915712208242e-14
0.92549,,2.9328166999704867e-14
0.93804,,3.20732533721539e-14
0.95092,,3.6411353898077684e-14
0.96412,,4.015547185553189e-14
0.97765,,4.5442656229382104e-14
0.99151,,4.842182726076544e-14
1.00571,,5.2094658518687243e-14
1.02024,,5.902566801495113e-14
1.0351,,6.557229941165579e-14
1.05029,,7.182929062186928e-14
1.06581,,7.527599268650161e-14
1.08166,,7.722591794030612e-14
1.09782,,7.002617896620932e-14
1.1143,,6.019914092235628e-14
1.13108,,5.839494127204918e-14
1.14815,,6.033253438453944e-14
1.16551,,6.058006373604099e-14
1.18314,,6.734332762683253e-14
1.20104,,8.033805050677764e-14
1.21918,,9.190985983778114e-14
1.23755,,9.674186868239304e-14
1.25615,,1.0127512243103301e-13
1.27495,,1.0523839330466623e-13
1.29394,,1.0236618441876689e-13
1.3131,,9.572328304433372e-14
1.33241,,6.393593058239911e-14
1.35187,,3.273761496804781e-14
1.37145,,2.8098229656151493e-14
1.39114,,2.899514431419301e-14
1.41093,,2.715031533566343e-14
1.4308,,2.789953351423286e-14
1.45074,,3.3959342950055013e-14
1.47073,,3.989552878616918e-14
1.49076,,4.4750103368971373e-14
1.51082,,5.2650042508400583e-14
1.5309,,6.31732541472566e-14
1.55099,,7.683321477187808e-14
1.57107,,8.226093815704559e-14
1.59114,,8.76886615422131e-14
1.61119,,9.311638492738061e-14
1.6312,,9.283288879427226e-14
1.65118,,9.290328750608636e-14
1.6711,,9.376461884559302e-14
1.69097,,9.035763751423684e-14
1.71078,,8.47580043950064e-14
1.73053,,7.264209569561304e-14
1.75021,,6.079665920839419e-14
1.76981,,5.1601210390358465e-14
1.78932,,4.293431420714044e-14
1.80875,,3.705864993144833e-14
1.8281,,3.520967681480599e-14
1.84735,,3.231392393748756e-14
1.86652,,3.013325784699874e-14
1.88559,,3.489490455096227e-14
1.90457,,3.813517140958795e-14
1.92345,,3.7224726882735346e-14
1.94224,,3.403019825165565e-14
