Created as New Dataset,Sample 003 By Administrator Date Tuesday, October 14 2025
cm-1,%T
4000.00,98.78
3999.00,98.77
3998.00,98.75
3997.00,98.75
3996.00,98.75
3995.00,98.76
3994.00,98.77
3993.00,98.77
3992.00,98.78
3991.00,98.78
3990.00,98.79
3989.00,98.79
3988.00,98.79
3987.00,98.79
3986.00,98.79
3985.00,98.78
3984.00,98.78
3983.00,98.78
3982.00,98.78
3981.00,98.77
3980.00,98.77
3979.00,98.77
3978.00,98.76
3977.00,98.76
3976.00,98.76
3975.00,98.77
3974.00,98.77
3973.00,98.78
3972.00,98.77
3971.00,98.77
3970.00,98.76
3969.00,98.76
3968.00,98.76
3967.00,98.75
3966.00,98.75
3965.00,98.75
3964.00,98.75
3963.00,98.76
3962.00,98.77
3961.00,98.77
3960.00,98.77
3959.00,98.78
3958.00,98.78
3957.00,98.78
3956.00,98.78
3955.00,98.77
3954.00,98.77
3953.00,98.76
3952.00,98.76
3951.00,98.76
3950.00,98.76
3949.00,98.77
3948.00,98.78
3947.00,98.79
3946.00,98.79
3945.00,98.80
3944.00,98.80
3943.00,98.79
3942.00,98.78
3941.00,98.78
3940.00,98.78
3939.00,98.78
3938.00,98.78
3937.00,98.77
3936.00,98.78
3935.00,98.79
3934.00,98.79
3933.00,98.79
3932.00,98.78
3931.00,98.78
3930.00,98.77
3929.00,98.77
3928.00,98.77
3927.00,98.78
3926.00,98.78
3925.00,98.78
3924.00,98.77
3923.00,98.77
3922.00,98.78
3921.00,98.78
3920.00,98.78
3919.00,98.78
3918.00,98.78
3917.00,98.78
3916.00,98.77
3915.00,98.78
3914.00,98.79
3913.00,98.79
3912.00,98.79
3911.00,98.80
3910.00,98.80
3909.00,98.81
3908.00,98.81
3907.00,98.81
3906.00,98.82
3905.00,98.82
3904.00,98.81
3903.00,98.80
3902.00,98.80
3901.00,98.80
3900.00,98.79
3899.00,98.79
3898.00,98.79
3897.00,98.80
3896.00,98.81
3895.00,98.81
3894.00,98.82
3893.00,98.84
3892.00,98.86
3891.00,98.85
3890.00,98.83
3889.00,98.81
3888.00,98.82
3887.00,98.84
3886.00,98.83
3885.00,98.81
3884.00,98.80
3883.00,98.81
3882.00,98.82
3881.00,98.83
3880.00,98.82
3879.00,98.81
3878.00,98.81
3877.00,98.81
3876.00,98.82
3875.00,98.82
3874.00,98.81
3873.00,98.81
3872.00,98.85
3871.00,98.89
3870.00,98.87
3869.00,98.82
3868.00,98.81
3867.00,98.82
3866.00,98.83
3865.00,98.80
3864.00,98.80
3863.00,98.82
3862.00,98.83
3861.00,98.83
3860.00,98.82
3859.00,98.81
3858.00,98.75
3857.00,98.64
3856.00,98.56
3855.00,98.57
3854.00,98.63
3853.00,98.65
3852.00,98.66
3851.00,98.69
3850.00,98.72
3849.00,98.74
3848.00,98.77
3847.00,98.80
3846.00,98.83
3845.00,98.85
3844.00,98.86
3843.00,98.86
3842.00,98.85
3841.00,98.86
3840.00,98.89
3839.00,98.91
3838.00,98.90
3837.00,98.87
3836.00,98.84
3835.00,98.83
3834.00,98.83
3833.00,98.83
3832.00,98.82
3831.00,98.81
3830.00,98.80
3829.00,98.80
3828.00,98.82
3827.00,98.83
3826.00,98.82
3825.00,98.81
3824.00,98.82
3823.00,98.86
3822.00,98.88
3821.00,98.85
3820.00,98.82
3819.00,98.82
3818.00,98.84
3817.00,98.84
3816.00,98.80
3815.00,98.76
3814.00,98.77
3813.00,98.81
3812.00,98.83
3811.00,98.81
3810.00,98.80
3809.00,98.82
3808.00,98.85
3807.00,98.85
3806.00,98.82
3805.00,98.82
3804.00,98.84
3803.00,98.85
3802.00,98.84
