CENTRALWAVELNG,BANDWIDTH
0.1963,0.0113
0.2113,0.0037
0.2188,0.0037
0.2262,0.0037
0.2338,0.0037
0.2412,0.0037
0.2488,0.0037
0.2562,0.0037
0.2637,0.0037
0.2713,0.0037
0.2788,0.0037
0.2862,0.0037
0.2937,0.0037
0.3013,0.0037
0.3088,0.0037
0.3162,0.0037
0.3237,0.0037
0.3313,0.0037
0.3388,0.0037
0.3462,0.0037
0.3537,0.0037
0.3613,0.0037
0.37,0.005
0.38,0.005
0.39,0.005
0.4,0.005
0.41,0.005
0.42,0.005
0.43,0.005
0.44,0.005
0.45,0.005
0.46,0.005
0.47,0.005
0.48,0.005
0.49,0.005
0.5,0.005
0.51,0.005
0.52,0.005
0.53,0.005
0.54,0.005
0.55,0.005
0.56,0.005
0.5725,0.0075
0.5875,0.0075
0.6025,0.0075
0.6175,0.0075
0.6325,0.0075
0.6475,0.0075
0.6625,0.0075
0.6825,0.0125
0.7075,0.0125
0.7325,0.0125
0.7575,0.0125
