Created as New Dataset,Sample 003 By Administrator Date Tuesday, October 14 2025
cm-1,A
4000.00,0.0053
3999.00,0.0054
3998.00,0.0054
3997.00,0.0055
3996.00,0.0054
3995.00,0.0054
3994.00,0.0054
3993.00,0.0054
3992.00,0.0053
3991.00,0.0053
3990.00,0.0053
3989.00,0.0053
3988.00,0.0053
3987.00,0.0053
3986.00,0.0053
3985.00,0.0053
3984.00,0.0053
3983.00,0.0053
3982.00,0.0053
3981.00,0.0054
3980.00,0.0054
3979.00,0.0054
3978.00,0.0054
3977.00,0.0054
3976.00,0.0054
3975.00,0.0054
3974.00,0.0054
3973.00,0.0053
3972.00,0.0054
3971.00,0.0054
3970.00,0.0054
3969.00,0.0054
3968.00,0.0054
3967.00,0.0054
3966.00,0.0055
3965.00,0.0055
3964.00,0.0055
3963.00,0.0054
3962.00,0.0054
3961.00,0.0054
3960.00,0.0054
3959.00,0.0054
3958.00,0.0053
3957.00,0.0053
3956.00,0.0053
3955.00,0.0054
3954.00,0.0054
3953.00,0.0054
3952.00,0.0054
3951.00,0.0054
3950.00,0.0054
3949.00,0.0054
3948.00,0.0053
3947.00,0.0053
3946.00,0.0053
3945.00,0.0052
3944.00,0.0052
3943.00,0.0053
3942.00,0.0053
3941.00,0.0053
3940.00,0.0053
3939.00,0.0053
3938.00,0.0053
3937.00,0.0054
3936.00,0.0053
3935.00,0.0053
3934.00,0.0053
3933.00,0.0053
3932.00,0.0053
3931.00,0.0053
3930.00,0.0054
3929.00,0.0054
3928.00,0.0054
3927.00,0.0053
3926.00,0.0053
3925.00,0.0053
3924.00,0.0054
3923.00,0.0054
3922.00,0.0053
3921.00,0.0053
3920.00,0.0053
3919.00,0.0054
3918.00,0.0053
3917.00,0.0053
3916.00,0.0054
3915.00,0.0053
3914.00,0.0053
3913.00,0.0053
3912.00,0.0053
3911.00,0.0053
3910.00,0.0052
3909.00,0.0052
3908.00,0.0052
3907.00,0.0052
3906.00,0.0052
3905.00,0.0052
3904.00,0.0052
3903.00,0.0052
3902.00,0.0053
3901.00,0.0053
3900.00,0.0053
3899.00,0.0053
3898.00,0.0053
3897.00,0.0052
3896.00,0.0052
3895.00,0.0052
3894.00,0.0052
3893.00,0.0051
3892.00,0.0050
3891.00,0.0050
3890.00,0.0051
3889.00,0.0052
3888.00,0.0051
3887.00,0.0051
3886.00,0.0051
3885.00,0.0052
3884.00,0.0053
3883.00,0.0052
3882.00,0.0051
3881.00,0.0051
3880.00,0.0052
3879.00,0.0052
3878.00,0.0052
3877.00,0.0052
3876.00,0.0052
3875.00,0.0052
3874.00,0.0052
3873.00,0.0052
3872.00,0.0050
3871.00,0.0049
3870.00,0.0049
3869.00,0.0051
3868.00,0.0052
3867.00,0.0051
3866.00,0.0051
3865.00,0.0052
3864.00,0.0053
3863.00,0.0052
3862.00,0.0051
3861.00,0.0051
3860.00,0.0051
3859.00,0.0052
3858.00,0.0055
3857.00,0.0059
3856.00,0.0063
3855.00,0.0062
3854.00,0.0060
3853.00,0.0059
3852.00,0.0059
3851.00,0.0057
3850.00,0.0056
3849.00,0.0055
3848.00,0.0054
3847.00,0.0052
3846.00,0.0051
3845.00,0.0050
3844.00,0.0050
3843.00,0.0050
3842.00,0.0050
3841.00,0.0050
3840.00,0.0048
3839.00,0.0047
3838.00,0.0048
3837.00,0.0049
3836.00,0.0050
3835.00,0.0051
3834.00,0.0051
3833.00,0.0051
3832.00,0.0051
3831.00,0.0052
3830.00,0.0053
3829.00,0.0052
3828.00,0.0051
3827.00,0.0051
3826.00,0.0052
3825.00,0.0052
3824.00,0.0052
3823.00,0.0050
3822.00,0.0049
3821.00,0.0050
3820.00,0.0052
3819.00,0.0052
3818.00,0.0051
3817.00,0.0051
3816.00,0.0053
3815.00,0.0054
3814.00,0.0054
3813.00,0.0052
3812.00,0.0051
3811.00,0.0052
3810.00,0.0052
3809.00,0.0051
3808.00,0.0050
3807.00,0.0050
3806.00,0.0051
3805.00,0.0052
3804.00,0.0051
3803.00,0.0050
3802.00,0.0051
3801.00,0.0053
3800.00,0.0054
3799.00,0.0054
3798.00,0.0052
3797.00,0.0052
3796.00,0.0052
3795.00,0.0052
3794.00,0.0051
3793.00,0.0051
3792.00,0.0051
3791.00,0.0051
3790.00,0.0051
3789.00,0.0051
3788.00,0.0052
3787.00,0.0052
3786.00,0.0052
3785.00,0.0052
3784.00,0.0052
3783.00,0.0051
3782.00,0.0051
3781.00,0.0050
3780.00,0.0050
3779.00,0.0051
3778.00,0.0051
3777.00,0.0051
3776.00,0.0051
3775.00,0.0051
3774.00,0.0051
3773.00,0.0051
3772.00,0.0051
3771.00,0.0051
3770.00,0.0051
3769.00,0.0051
3768.00,0.0050
3767.00,0.0050
3766.00,0.0050
3765.00,0.0050
3764.00,0.0051
3763.00,0.0051
3762.00,0.0050
3761.00,0.0050
3760.00,0.0051
3759.00,0.0051
3758.00,0.0050
3757.00,0.0051
3756.00,0.0052
3755.00,0.0053
3754.00,0.0054
3753.00,0.0057
3752.00,0.0061
3751.00,0.0065
3750.00,0.0068
3749.00,0.0068
3748.00,0.0067
3747.00,0.0066
3746.00,0.0066
3745.00,0.0067
3744.00,0.0069
3743.00,0.0069
3742.00,0.0067
3741.00,0.0066
3740.00,0.0070
3739.00,0.0073
3738.00,0.0074
3737.00,0.0073
3736.00,0.0072
3735.00,0.0070
3734.00,0.0067
3733.00,0.0067
3732.00,0.0069
3731.00,0.0073
3730.00,0.0075
3729.00,0.0075
3728.00,0.0075
3727.00,0.0074
3726.00,0.0073
3725.00,0.0072
3724.00,0.0070
3723.00,0.0069
3722.00,0.0068
3721.00,0.0066
3720.00,0.0063
3719.00,0.0060
3718.00,0.0058
3717.00,0.0057
3716.00,0.0057
3715.00,0.0058
3714.00,0.0061
3713.00,0.0064
3712.00,0.0067
3711.00,0.0068
3710.00,0.0068
3709.00,0.0068
3708.00,0.0067
3707.00,0.0067
3706.00,0.0067
3705.00,0.0067
3704.00,0.0066
3703.00,0.0065
3702.00,0.0064
3701.00,0.0064
3700.00,0.0065
3699.00,0.0065
3698.00,0.0065
3697.00,0.0065
3696.00,0.0064
3695.00,0.0063
3694.00,0.0063
3693.00,0.0062
3692.00,0.0061
3691.00,0.0059
3690.00,0.0057
3689.00,0.0057
3688.00,0.0059
3687.00,0.0061
3686.00,0.0060
3685.00,0.0059
3684.00,0.0057
3683.00,0.0056
3682.00,0.0055
3681.00,0.0054
3680.00,0.0054
3679.00,0.0055
3678.00,0.0055
3677.00,0.0054
3676.00,0.0053
3675.00,0.0054
3674.00,0.0054
3673.00,0.0052
3672.00,0.0051
3671.00,0.0051
3670.00,0.0052
3669.00,0.0053
3668.00,0.0052
3667.00,0.0052
3666.00,0.0051
3665.00,0.0051
3664.00,0.0051
3663.00,0.0050
3662.00,0.0050
3661.00,0.0050
3660.00,0.0050
3659.00,0.0050
3658.00,0.0050
3657.00,0.0049
3656.00,0.0050
3655.00,0.0050
3654.00,0.0049
3653.00,0.0048
3652.00,0.0048
3651.00,0.0048
3650.00,0.0049
3649.00,0.0051
3648.00,0.0053
3647.00,0.0054
3646.00,0.0055
3645.00,0.0054
3644.00,0.0055
3643.00,0.0055
3642.00,0.0055
3641.00,0.0056
3640.00,0.0057
3639.00,0.0058
3638.00,0.0059
3637.00,0.0060
3636.00,0.0060
3635.00,0.0061
3634.00,0.0062
3633.00,0.0064
3632.00,0.0067
3631.00,0.0069
3630.00,0.0070
3629.00,0.0070
3628.00,0.0070
3627.00,0.0068
3626.00,0.0066
3625.00,0.0065
3624.00,0.0063
3623.00,0.0060
3622.00,0.0055
3621.00,0.0051
3620.00,0.0049
3619.00,0.0051
3618.00,0.0055
3617.00,0.0057
3616.00,0.0057
3615.00,0.0055
3614.00,0.0055
3613.00,0.0055
3612.00,0.0057
3611.00,0.0059
3610.00,0.0061
3609.00,0.0063
3608.00,0.0064
3607.00,0.0063
3606.00,0.0062
3605.00,0.0062
3604.00,0.0062
3603.00,0.0063
3602.00,0.0064
3601.00,0.0064
3600.00,0.0064
3599.00,0.0064
3598.00,0.0063
3597.00,0.0063
3596.00,0.0063
3595.00,0.0063
3594.00,0.0062
3593.00,0.0062
3592.00,0.0062
3591.00,0.0061
3590.00,0.0061
3589.00,0.0060
3588.00,0.0060
3587.00,0.0059
3586.00,0.0058
3585.00,0.0057
3584.00,0.0056
3583.00,0.0056
3582.00,0.0055
3581.00,0.0055
3580.00,0.0054
3579.00,0.0054
3578.00,0.0054
3577.00,0.0054
3576.00,0.0054
3575.00,0.0054
3574.00,0.0053
3573.00,0.0053
3572.00,0.0053
3571.00,0.0053
3570.00,0.0054
3569.00,0.0054
3568.00,0.0055
3567.00,0.0056
3566.00,0.0056
3565.00,0.0055
3564.00,0.0054
3563.00,0.0054
3562.00,0.0053
3561.00,0.0053
3560.00,0.0052
3559.00,0.0052
3558.00,0.0051
3557.00,0.0051
3556.00,0.0052
3555.00,0.0052
3554.00,0.0052
3553.00,0.0052
3552.00,0.0052
3551.00,0.0052
3550.00,0.0052
3549.00,0.0053
3548.00,0.0053
3547.00,0.0053
3546.00,0.0053
3545.00,0.0052
3544.00,0.0052
3543.00,0.0052
3542.00,0.0051
3541.00,0.0051
3540.00,0.0051
3539.00,0.0050
3538.00,0.0050
3537.00,0.0050
3536.00,0.0050
3535.00,0.0050
3534.00,0.0050
3533.00,0.0050
3532.00,0.0050
3531.00,0.0050
3530.00,0.0051
3529.00,0.0051
3528.00,0.0052
3527.00,0.0052
3526.00,0.0052
3525.00,0.0052
3524.00,0.0052
3523.00,0.0051
3522.00,0.0051
3521.00,0.0050
3520.00,0.0050
3519.00,0.0050
3518.00,0.0050
3517.00,0.0050
3516.00,0.0051
3515.00,0.0051
3514.00,0.0051
3513.00,0.0051
3512.00,0.0051
3511.00,0.0051
3510.00,0.0051
3509.00,0.0051
3508.00,0.0051
3507.00,0.0051
3506.00,0.0051
3505.00,0.0051
3504.00,0.0051
3503.00,0.0051
3502.00,0.0051
3501.00,0.0051
3500.00,0.0051
3499.00,0.0051
3498.00,0.0051
3497.00,0.0050
3496.00,0.0050
3495.00,0.0050
3494.00,0.0050
3493.00,0.0050
3492.00,0.0050
3491.00,0.0050
3490.00,0.0050
3489.00,0.0050
3488.00,0.0050
3487.00,0.0050
3486.00,0.0050
3485.00,0.0050
3484.00,0.0050
3483.00,0.0050
3482.00,0.0050
3481.00,0.0050
3480.00,0.0050
3479.00,0.0050
3478.00,0.0050
3477.00,0.0050
3476.00,0.0050
3475.00,0.0051
3474.00,0.0050
3473.00,0.0050
3472.00,0.0050
3471.00,0.0050
3470.00,0.0050
3469.00,0.0050
3468.00,0.0050
3467.00,0.0050
3466.00,0.0050
3465.00,0.0050
3464.00,0.0050
3463.00,0.0050
3462.00,0.0050
