Created as New Dataset,Sample 004 By Administrator Date Tuesday, October 14 2025
cm-1,%T
4000.00,100.69
3999.00,100.68
3998.00,100.67
3997.00,100.66
3996.00,100.66
3995.00,100.67
3994.00,100.67
3993.00,100.68
3992.00,100.69
3991.00,100.70
3990.00,100.70
3989.00,100.70
3988.00,100.70
3987.00,100.69
3986.00,100.68
3985.00,100.68
3984.00,100.69
3983.00,100.70
3982.00,100.70
3981.00,100.69
3980.00,100.68
3979.00,100.68
3978.00,100.67
3977.00,100.66
3976.00,100.66
3975.00,100.67
3974.00,100.67
3973.00,100.68
3972.00,100.68
3971.00,100.67
3970.00,100.67
3969.00,100.67
3968.00,100.66
3967.00,100.67
3966.00,100.67
3965.00,100.67
3964.00,100.68
3963.00,100.68
3962.00,100.68
3961.00,100.67
3960.00,100.67
3959.00,100.67
3958.00,100.67
3957.00,100.67
3956.00,100.67
3955.00,100.68
3954.00,100.68
3953.00,100.68
3952.00,100.68
3951.00,100.68
3950.00,100.69
3949.00,100.69
3948.00,100.70
3947.00,100.72
3946.00,100.73
3945.00,100.76
3944.00,100.77
3943.00,100.76
3942.00,100.74
3941.00,100.73
3940.00,100.73
3939.00,100.72
3938.00,100.70
3937.00,100.69
3936.00,100.68
3935.00,100.69
3934.00,100.69
3933.00,100.69
3932.00,100.69
3931.00,100.70
3930.00,100.71
3929.00,100.71
3928.00,100.72
3927.00,100.73
3926.00,100.75
3925.00,100.74
3924.00,100.73
3923.00,100.73
3922.00,100.75
3921.00,100.75
3920.00,100.72
3919.00,100.70
3918.00,100.71
3917.00,100.72
3916.00,100.71
3915.00,100.71
3914.00,100.72
3913.00,100.72
3912.00,100.70
3911.00,100.70
3910.00,100.72
3909.00,100.74
3908.00,100.76
3907.00,100.80
3906.00,100.85
3905.00,100.88
3904.00,100.87
3903.00,100.83
3902.00,100.82
3901.00,100.84
3900.00,100.84
3899.00,100.81
3898.00,100.78
3897.00,100.77
3896.00,100.75
3895.00,100.75
3894.00,100.78
3893.00,100.86
3892.00,100.93
3891.00,100.90
3890.00,100.81
3889.00,100.75
3888.00,100.75
3887.00,100.79
3886.00,100.79
3885.00,100.75
3884.00,100.73
3883.00,100.76
3882.00,100.81
3881.00,100.82
3880.00,100.82
3879.00,100.81
3878.00,100.80
3877.00,100.80
3876.00,100.81
3875.00,100.81
3874.00,100.79
3873.00,100.81
3872.00,100.89
3871.00,100.96
3870.00,100.91
3869.00,100.79
3868.00,100.76
3867.00,100.82
3866.00,100.85
3865.00,100.81
3864.00,100.78
3863.00,100.81
3862.00,100.81
3861.00,100.77
3860.00,100.74
3859.00,100.70
3858.00,100.57
3857.00,100.37
3856.00,100.25
3855.00,100.32
3854.00,100.44
3853.00,100.43
3852.00,100.38
3851.00,100.42
3850.00,100.49
3849.00,100.54
3848.00,100.60
3847.00,100.67
3846.00,100.73
3845.00,100.77
3844.00,100.82
3843.00,100.84
3842.00,100.83
3841.00,100.84
3840.00,100.88
3839.00,100.91
3838.00,100.88
