Created as New Dataset,Sample 004 By Administrator Date Tuesday, October 14 2025
cm-1,A
4000.00,-0.0030
3999.00,-0.0029
3998.00,-0.0029
3997.00,-0.0029
3996.00,-0.0029
3995.00,-0.0029
3994.00,-0.0029
3993.00,-0.0030
3992.00,-0.0030
3991.00,-0.0030
3990.00,-0.0030
3989.00,-0.0030
3988.00,-0.0030
3987.00,-0.0030
3986.00,-0.0029
3985.00,-0.0029
3984.00,-0.0030
3983.00,-0.0030
3982.00,-0.0030
3981.00,-0.0030
3980.00,-0.0030
3979.00,-0.0029
3978.00,-0.0029
3977.00,-0.0029
3976.00,-0.0029
3975.00,-0.0029
3974.00,-0.0029
3973.00,-0.0029
3972.00,-0.0029
3971.00,-0.0029
3970.00,-0.0029
3969.00,-0.0029
3968.00,-0.0029
3967.00,-0.0029
3966.00,-0.0029
3965.00,-0.0029
3964.00,-0.0029
3963.00,-0.0029
3962.00,-0.0029
3961.00,-0.0029
3960.00,-0.0029
3959.00,-0.0029
3958.00,-0.0029
3957.00,-0.0029
3956.00,-0.0029
3955.00,-0.0029
3954.00,-0.0029
3953.00,-0.0029
3952.00,-0.0030
3951.00,-0.0030
3950.00,-0.0030
3949.00,-0.0030
3948.00,-0.0030
3947.00,-0.0031
3946.00,-0.0032
3945.00,-0.0033
3944.00,-0.0033
3943.00,-0.0033
3942.00,-0.0032
3941.00,-0.0032
3940.00,-0.0031
3939.00,-0.0031
3938.00,-0.0030
3937.00,-0.0030
3936.00,-0.0030
3935.00,-0.0030
3934.00,-0.0030
3933.00,-0.0030
3932.00,-0.0030
3931.00,-0.0030
3930.00,-0.0031
3929.00,-0.0031
3928.00,-0.0031
3927.00,-0.0032
3926.00,-0.0032
3925.00,-0.0032
3924.00,-0.0031
3923.00,-0.0032
3922.00,-0.0032
3921.00,-0.0032
3920.00,-0.0031
3919.00,-0.0030
3918.00,-0.0031
3917.00,-0.0031
3916.00,-0.0031
3915.00,-0.0031
3914.00,-0.0031
3913.00,-0.0031
3912.00,-0.0030
3911.00,-0.0030
3910.00,-0.0031
3909.00,-0.0032
3908.00,-0.0033
3907.00,-0.0035
3906.00,-0.0037
3905.00,-0.0038
3904.00,-0.0037
3903.00,-0.0036
3902.00,-0.0036
3901.00,-0.0036
3900.00,-0.0036
3899.00,-0.0035
3898.00,-0.0034
3897.00,-0.0033
3896.00,-0.0033
3895.00,-0.0032
3894.00,-0.0034
3893.00,-0.0037
3892.00,-0.0040
3891.00,-0.0039
3890.00,-0.0035
3889.00,-0.0032
3888.00,-0.0033
3887.00,-0.0034
3886.00,-0.0034
3885.00,-0.0033
3884.00,-0.0032
3883.00,-0.0033
3882.00,-0.0035
3881.00,-0.0036
3880.00,-0.0036
3879.00,-0.0035
3878.00,-0.0034
3877.00,-0.0035
3876.00,-0.0035
3875.00,-0.0035
3874.00,-0.0034
3873.00,-0.0035
3872.00,-0.0039
3871.00,-0.0042
3870.00,-0.0039
3869.00,-0.0034
3868.00,-0.0033
3867.00,-0.0035
3866.00,-0.0037
3865.00,-0.0035
3864.00,-0.0034
3863.00,-0.0035
3862.00,-0.0035
3861.00,-0.0033
3860.00,-0.0032
3859.00,-0.0030
3858.00,-0.0025
3857.00,-0.0016
3856.00,-0.0011
3855.00,-0.0014
3854.00,-0.0019
3853.00,-0.0019
3852.00,-0.0017
3851.00,-0.0018
3850.00,-0.0021
3849.00,-0.0023
3848.00,-0.0026
3847.00,-0.0029
3846.00,-0.0032
3845.00,-0.0033
3844.00,-0.0035
3843.00,-0.0036
3842.00,-0.0036
3841.00,-0.0036
3840.00,-0.0038
3839.00,-0.0039
3838.00,-0.0038
3837.00,-0.0036
3836.00,-0.0034
3835.00,-0.0034
3834.00,-0.0035
3833.00,-0.0036
3832.00,-0.0034
3831.00,-0.0032
3830.00,-0.0030
3829.00,-0.0029
3828.00,-0.0031
3827.00,-0.0031
3826.00,-0.0031
3825.00,-0.0031
3824.00,-0.0034
3823.00,-0.0038
3822.00,-0.0040
3821.00,-0.0038
3820.00,-0.0033
3819.00,-0.0031
3818.00,-0.0031
3817.00,-0.0031
3816.00,-0.0026
3815.00,-0.0023
3814.00,-0.0024
3813.00,-0.0028
3812.00,-0.0030
3811.00,-0.0029
3810.00,-0.0028
3809.00,-0.0030
3808.00,-0.0032
3807.00,-0.0031
3806.00,-0.0027
3805.00,-0.0026
3804.00,-0.0027
3803.00,-0.0028
3802.00,-0.0028
3801.00,-0.0024
3800.00,-0.0022
3799.00,-0.0024
3798.00,-0.0028
3797.00,-0.0029
3796.00,-0.0030
3795.00,-0.0031
3794.00,-0.0031
3793.00,-0.0031
3792.00,-0.0030
3791.00,-0.0030
3790.00,-0.0031
3789.00,-0.0031
3788.00,-0.0030
3787.00,-0.0029
3786.00,-0.0029
3785.00,-0.0029
3784.00,-0.0030
3783.00,-0.0030
3782.00,-0.0031
3781.00,-0.0031
3780.00,-0.0031
3779.00,-0.0031
3778.00,-0.0031
3777.00,-0.0032
3776.00,-0.0032
3775.00,-0.0032
3774.00,-0.0030
3773.00,-0.0030
3772.00,-0.0031
3771.00,-0.0032
3770.00,-0.0032
3769.00,-0.0033
3768.00,-0.0033
3767.00,-0.0034
3766.00,-0.0033
3765.00,-0.0032
3764.00,-0.0031
3763.00,-0.0031
3762.00,-0.0031
3761.00,-0.0030
3760.00,-0.0030
3759.00,-0.0030
3758.00,-0.0029
3757.00,-0.0026
3756.00,-0.0021
3755.00,-0.0015
3754.00,-0.0007
3753.00,0.0006
3752.00,0.0025
3751.00,0.0045
3750.00,0.0065
3749.00,0.0081
3748.00,0.0095
3747.00,0.0111
3746.00,0.0136
3745.00,0.0171
3744.00,0.0207
3743.00,0.0230
3742.00,0.0246
3741.00,0.0269
3740.00,0.0299
3739.00,0.0326
3738.00,0.0338
3737.00,0.0332
3736.00,0.0302
3735.00,0.0253
3734.00,0.0205
3733.00,0.0185
3732.00,0.0196
3731.00,0.0218
3730.00,0.0231
3729.00,0.0231
