Created as New Dataset,Sample 001 By Administrator Date Thursday, October 16 2025
cm-1,%T
4000.00,98.58
3999.00,98.58
3998.00,98.58
3997.00,98.58
3996.00,98.59
3995.00,98.59
3994.00,98.60
3993.00,98.60
3992.00,98.60
3991.00,98.60
3990.00,98.61
3989.00,98.62
3988.00,98.62
3987.00,98.62
3986.00,98.61
3985.00,98.61
3984.00,98.61
3983.00,98.60
3982.00,98.60
3981.00,98.61
3980.00,98.62
3979.00,98.62
3978.00,98.62
3977.00,98.63
3976.00,98.62
3975.00,98.62
3974.00,98.61
3973.00,98.61
3972.00,98.61
3971.00,98.61
3970.00,98.61
3969.00,98.61
3968.00,98.61
3967.00,98.61
3966.00,98.60
3965.00,98.60
3964.00,98.60
3963.00,98.61
3962.00,98.62
3961.00,98.63
3960.00,98.62
3959.00,98.61
3958.00,98.60
3957.00,98.61
3956.00,98.61
3955.00,98.61
3954.00,98.60
3953.00,98.60
3952.00,98.60
3951.00,98.60
3950.00,98.62
3949.00,98.65
3948.00,98.68
3947.00,98.69
3946.00,98.67
3945.00,98.62
3944.00,98.58
3943.00,98.58
3942.00,98.60
3941.00,98.62
3940.00,98.61
3939.00,98.61
3938.00,98.63
3937.00,98.65
3936.00,98.67
3935.00,98.67
3934.00,98.67
3933.00,98.66
3932.00,98.64
3931.00,98.61
3930.00,98.58
3929.00,98.59
3928.00,98.60
3927.00,98.58
3926.00,98.55
3925.00,98.57
3924.00,98.63
3923.00,98.65
3922.00,98.65
3921.00,98.67
3920.00,98.70
3919.00,98.72
3918.00,98.70
3917.00,98.68
3916.00,98.68
3915.00,98.67
3914.00,98.64
3913.00,98.61
3912.00,98.62
3911.00,98.62
3910.00,98.62
3909.00,98.62
3908.00,98.62
3907.00,98.60
3906.00,98.61
3905.00,98.68
3904.00,98.83
3903.00,98.93
3902.00,98.91
3901.00,98.82
3900.00,98.74
3899.00,98.72
3898.00,98.72
3897.00,98.70
3896.00,98.69
3895.00,98.69
3894.00,98.68
3893.00,98.63
3892.00,98.61
3891.00,98.68
3890.00,98.79
3889.00,98.85
3888.00,98.83
3887.00,98.80
3886.00,98.81
3885.00,98.82
3884.00,98.77
3883.00,98.65
3882.00,98.56
3881.00,98.58
3880.00,98.68
3879.00,98.76
3878.00,98.76
3877.00,98.69
3876.00,98.62
3875.00,98.62
3874.00,98.71
3873.00,98.78
3872.00,98.76
3871.00,98.73
3870.00,98.81
3869.00,98.91
3868.00,98.89
3867.00,98.76
3866.00,98.72
3865.00,98.77
3864.00,98.79
3863.00,98.74
3862.00,98.73
3861.00,98.78
3860.00,98.79
3859.00,98.75
3858.00,98.70
3857.00,98.68
3856.00,98.72
3855.00,98.78
3854.00,98.83
3853.00,98.89
3852.00,98.90
3851.00,98.85
3850.00,98.82
3849.00,98.84
3848.00,98.85
3847.00,98.80
3846.00,98.74
3845.00,98.70
3844.00,98.69
3843.00,98.71
3842.00,98.75
3841.00,98.73
3840.00,98.70
3839.00,98.70
3838.00,98.71
3837.00,98.71
3836.00,98.71
3835.00,98.73
3834.00,98.74
3833.00,98.74
3832.00,98.75
3831.00,98.77
3830.00,98.78
3829.00,98.72
3828.00,98.66
3827.00,98.66
3826.00,98.76
3825.00,98.85
3824.00,98.84
3823.00,98.78
3822.00,98.75
3821.00,98.82
3820.00,98.90
3819.00,98.88
3818.00,98.80
3817.00,98.78
3816.00,98.84
3815.00,98.86
3814.00,98.79
3813.00,98.70
3812.00,98.71
3811.00,98.80
3810.00,98.86
3809.00,98.83
3808.00,98.81
3807.00,98.87
3806.00,98.96
3805.00,98.95
3804.00,98.84
3803.00,98.77
3802.00,98.79
3801.00,98.82
3800.00,98.80
3799.00,98.72
3798.00,98.68
3797.00,98.72
3796.00,98.77
3795.00,98.76
3794.00,98.70
3793.00,98.67
3792.00,98.67
3791.00,98.68
3790.00,98.68
3789.00,98.66
3788.00,98.66
3787.00,98.65
3786.00,98.64
3785.00,98.64
3784.00,98.67
3783.00,98.69
3782.00,98.66
3781.00,98.62
3780.00,98.62
3779.00,98.67
3778.00,98.71
3777.00,98.69
3776.00,98.67
3775.00,98.70
3774.00,98.76
3773.00,98.76
3772.00,98.72
3771.00,98.72
3770.00,98.77
3769.00,98.79
3768.00,98.75
3767.00,98.71
3766.00,98.72
3765.00,98.77
3764.00,98.81
3763.00,98.79
3762.00,98.75
3761.00,98.74
3760.00,98.76
3759.00,98.76
3758.00,98.78
3757.00,98.84
3756.00,98.89
3755.00,98.93
3754.00,99.01
3753.00,99.15
3752.00,99.28
3751.00,99.30
3750.00,99.29
3749.00,99.30
3748.00,99.25
3747.00,99.07
3746.00,98.91
3745.00,98.89
3744.00,98.98
3743.00,99.02
3742.00,99.00
3741.00,99.02
3740.00,99.15
3739.00,99.24
3738.00,99.20
3737.00,99.13
3736.00,99.10
3735.00,99.07
3734.00,99.01
3733.00,98.98
3732.00,98.98
3731.00,98.98
3730.00,98.94
3729.00,98.90
3728.00,98.89
3727.00,98.90
3726.00,98.89
3725.00,98.84
3724.00,98.78
3723.00,98.75
3722.00,98.76
3721.00,98.77
3720.00,98.77
3719.00,98.75
3718.00,98.76
3717.00,98.82
3716.00,98.88
3715.00,98.93
3714.00,98.98
3713.00,99.03
3712.00,99.01
3711.00,98.92
3710.00,98.86
3709.00,98.83
3708.00,98.81
