Created as New Dataset,Sample 007 By Administrator Date Thursday, October 16 2025
cm-1,%T
4000.00,96.68
3999.00,96.67
3998.00,96.65
3997.00,96.64
3996.00,96.64
3995.00,96.66
3994.00,96.69
3993.00,96.71
3992.00,96.71
3991.00,96.71
3990.00,96.71
3989.00,96.73
3988.00,96.73
3987.00,96.72
3986.00,96.70
3985.00,96.68
3984.00,96.67
3983.00,96.67
3982.00,96.69
3981.00,96.71
3980.00,96.74
3979.00,96.75
3978.00,96.74
3977.00,96.71
3976.00,96.69
3975.00,96.67
3974.00,96.68
3973.00,96.70
3972.00,96.72
3971.00,96.73
3970.00,96.73
3969.00,96.74
3968.00,96.75
3967.00,96.77
3966.00,96.77
3965.00,96.74
3964.00,96.69
3963.00,96.67
3962.00,96.69
3961.00,96.74
3960.00,96.76
3959.00,96.76
3958.00,96.73
3957.00,96.71
3956.00,96.71
3955.00,96.72
3954.00,96.73
3953.00,96.73
3952.00,96.73
3951.00,96.72
3950.00,96.72
3949.00,96.77
3948.00,96.87
3947.00,96.97
3946.00,96.99
3945.00,96.91
3944.00,96.80
3943.00,96.77
3942.00,96.83
3941.00,96.91
3940.00,96.91
3939.00,96.86
3938.00,96.83
3937.00,96.84
3936.00,96.85
3935.00,96.81
3934.00,96.73
3933.00,96.65
3932.00,96.62
3931.00,96.67
3930.00,96.77
3929.00,96.89
3928.00,96.94
3927.00,96.88
3926.00,96.77
3925.00,96.76
3924.00,96.90
3923.00,97.10
3922.00,97.22
3921.00,97.19
3920.00,97.02
3919.00,96.83
3918.00,96.70
3917.00,96.68
3916.00,96.77
3915.00,96.90
3914.00,96.95
3913.00,96.92
3912.00,96.88
3911.00,96.91
3910.00,96.99
3909.00,97.06
3908.00,97.11
3907.00,97.21
3906.00,97.39
3905.00,97.61
3904.00,97.73
3903.00,97.72
3902.00,97.57
3901.00,97.34
3900.00,97.14
3899.00,97.05
3898.00,97.09
3897.00,97.16
3896.00,97.18
3895.00,97.16
3894.00,97.20
3893.00,97.33
3892.00,97.49
3891.00,97.56
3890.00,97.54
3889.00,97.44
3888.00,97.32
3887.00,97.21
3886.00,97.16
3885.00,97.19
3884.00,97.18
3883.00,97.02
3882.00,96.75
3881.00,96.61
3880.00,96.81
3879.00,97.20
3878.00,97.44
3877.00,97.37
3876.00,97.09
3875.00,96.93
3874.00,97.09
3873.00,97.45
3872.00,97.78
3871.00,97.87
3870.00,97.78
3869.00,97.72
3868.00,97.75
3867.00,97.75
3866.00,97.63
3865.00,97.45
3864.00,97.38
3863.00,97.42
3862.00,97.48
3861.00,97.47
3860.00,97.34
3859.00,97.03
3858.00,96.51
3857.00,96.00
3856.00,95.83
3855.00,96.06
3854.00,96.26
3853.00,96.24
3852.00,96.28
3851.00,96.48
3850.00,96.71
3849.00,96.91
3848.00,97.07
3847.00,97.14
3846.00,97.10
3845.00,97.09
3844.00,97.21
3843.00,97.37
3842.00,97.44
3841.00,97.48
3840.00,97.64
3839.00,97.87
3838.00,97.97
3837.00,97.88
3836.00,97.78
3835.00,97.77
3834.00,97.79
3833.00,97.73
3832.00,97.59
3831.00,97.42
3830.00,97.23
3829.00,97.02
3828.00,96.85
3827.00,96.84
3826.00,97.03
3825.00,97.34
3824.00,97.65
3823.00,97.84
3822.00,97.80
3821.00,97.62
3820.00,97.51
3819.00,97.48
3818.00,97.43
3817.00,97.25
3816.00,96.96
3815.00,96.80
3814.00,96.89
3813.00,97.09
3812.00,97.23
3811.00,97.31
3810.00,97.41
3809.00,97.56
3808.00,97.68
3807.00,97.67
3806.00,97.57
3805.00,97.47
3804.00,97.39
3803.00,97.35
3802.00,97.25
3801.00,97.09
3800.00,96.98
3799.00,96.95
3798.00,96.94
3797.00,96.97
3796.00,97.06
3795.00,97.16
3794.00,97.19
3793.00,97.14
3792.00,97.07
3791.00,97.04
3790.00,97.04
3789.00,97.01
3788.00,96.86
3787.00,96.66
3786.00,96.54
3785.00,96.62
3784.00,96.86
3783.00,97.04
3782.00,97.00
3781.00,96.79
3780.00,96.66
3779.00,96.76
3778.00,97.00
3777.00,97.18
3776.00,97.23
3775.00,97.22
3774.00,97.20
3773.00,97.18
3772.00,97.13
3771.00,97.13
3770.00,97.23
3769.00,97.37
3768.00,97.43
3767.00,97.35
3766.00,97.24
3765.00,97.22
3764.00,97.30
3763.00,97.36
3762.00,97.30
3761.00,97.18
3760.00,97.14
3759.00,97.23
3758.00,97.36
3757.00,97.38
3756.00,97.23
3755.00,96.97
3754.00,96.73
3753.00,96.63
3752.00,96.64
3751.00,96.66
3750.00,96.66
3749.00,96.63
3748.00,96.52
3747.00,96.32
3746.00,96.11
3745.00,95.93
3744.00,95.91
3743.00,96.19
3742.00,96.61
3741.00,96.91
3740.00,97.15
3739.00,97.50
3738.00,97.91
3737.00,98.13
3736.00,98.10
3735.00,98.01
3734.00,97.94
3733.00,97.79
3732.00,97.55
3731.00,97.35
3730.00,97.30
3729.00,97.32
3728.00,97.34
3727.00,97.32
3726.00,97.28
3725.00,97.21
3724.00,97.14
3723.00,97.08
3722.00,97.08
3721.00,97.09
3720.00,97.10
3719.00,97.13
3718.00,97.24
3717.00,97.37
3716.00,97.46
3715.00,97.45
3714.00,97.39
3713.00,97.31
3712.00,97.24
3711.00,97.22
3710.00,97.24
3709.00,97.25
3708.00,97.21
3707.00,97.17
3706.00,97.13
3705.00,97.12
3704.00,97.09
3703.00,97.04
3702.00,97.02
3701.00,97.07
3700.00,97.11
3699.00,97.06
3698.00,96.93
3697.00,96.83
3696.00,96.86
3695.00,96.96
3694.00,96.99
3693.00,96.95
3692.00,96.96
3691.00,97.16
3690.00,97.37
3689.00,97.33
3688.00,97.05
3687.00,96.79
3686.00,96.70
3685.00,96.73
3684.00,96.80
3683.00,96.81
3682.00,96.77
3681.00,96.74
3680.00,96.84
3679.00,97.14
3678.00,97.54
3677.00,97.74
3676.00,97.53
3675.00,97.27
3674.00,97.34
3673.00,97.64
3672.00,97.83
3671.00,97.66
3670.00,97.23
3669.00,96.87
3668.00,96.73
3667.00,96.67
3666.00,96.57
3665.00,96.43
3664.00,96.32
3663.00,96.26
3662.00,96.24
3661.00,96.29
3660.00,96.42
3659.00,96.59
3658.00,96.73
3657.00,96.76
3656.00,96.74
3655.00,96.75
3654.00,96.84
3653.00,97.02
3652.00,97.39
3651.00,97.85
3650.00,97.94
3649.00,97.37
3648.00,96.52
3647.00,95.95
3646.00,95.80
3645.00,95.78
3644.00,95.68
3643.00,95.52
3642.00,95.41
3641.00,95.38
3640.00,95.34
3639.00,95.30
3638.00,95.34
3637.00,95.43
3636.00,95.49
3635.00,95.50
3634.00,95.51
3633.00,95.58
3632.00,95.70
3631.00,95.89
3630.00,96.02
3629.00,95.91
3628.00,95.62
3627.00,95.37
3626.00,95.24
3625.00,95.22
3624.00,95.27
3623.00,95.40
3622.00,95.61
3621.00,95.82
3620.00,95.88
3619.00,95.71
3618.00,95.42
3617.00,95.14
3616.00,94.93
3615.00,94.85
3614.00,94.95
3613.00,95.16
3612.00,95.33
3611.00,95.29
3610.00,95.03
3609.00,94.72
3608.00,94.55
3607.00,94.57
3606.00,94.66
3605.00,94.65
3604.00,94.47
3603.00,94.18
3602.00,93.93
3601.00,93.84
3600.00,93.93
3599.00,94.10
3598.00,94.26
3597.00,94.35
3596.00,94.39
3595.00,94.41
3594.00,94.44
3593.00,94.50
3592.00,94.55
3591.00,94.49
3590.00,94.35
3589.00,94.22
3588.00,94.21
3587.00,94.30
3586.00,94.36
3585.00,94.31
3584.00,94.19
3583.00,94.06
3582.00,93.96
3581.00,93.91
3580.00,93.85
3579.00,93.79
3578.00,93.73
3577.00,93.68
3576.00,93.66
3575.00,93.68
3574.00,93.76
3573.00,93.87
3572.00,93.97
