Created as New Dataset,Sample 008 By Administrator Date Thursday, October 16 2025
cm-1,%T
4000.00,97.33
3999.00,97.32
3998.00,97.31
3997.00,97.29
3996.00,97.28
3995.00,97.29
3994.00,97.32
3993.00,97.33
3992.00,97.33
3991.00,97.32
3990.00,97.34
3989.00,97.36
3988.00,97.37
3987.00,97.35
3986.00,97.32
3985.00,97.29
3984.00,97.28
3983.00,97.28
3982.00,97.30
3981.00,97.33
3980.00,97.36
3979.00,97.37
3978.00,97.35
3977.00,97.31
3976.00,97.28
3975.00,97.26
3974.00,97.27
3973.00,97.30
3972.00,97.33
3971.00,97.35
3970.00,97.35
3969.00,97.36
3968.00,97.37
3967.00,97.38
3966.00,97.37
3965.00,97.33
3964.00,97.28
3963.00,97.26
3962.00,97.29
3961.00,97.34
3960.00,97.37
3959.00,97.36
3958.00,97.33
3957.00,97.31
3956.00,97.31
3955.00,97.32
3954.00,97.33
3953.00,97.34
3952.00,97.34
3951.00,97.32
3950.00,97.32
3949.00,97.36
3948.00,97.47
3947.00,97.58
3946.00,97.61
3945.00,97.52
3944.00,97.41
3943.00,97.39
3942.00,97.47
3941.00,97.54
3940.00,97.52
3939.00,97.46
3938.00,97.43
3937.00,97.45
3936.00,97.45
3935.00,97.40
3934.00,97.30
3933.00,97.23
3932.00,97.21
3931.00,97.25
3930.00,97.37
3929.00,97.49
3928.00,97.54
3927.00,97.46
3926.00,97.33
3925.00,97.33
3924.00,97.50
3923.00,97.74
3922.00,97.88
3921.00,97.84
3920.00,97.65
3919.00,97.40
3918.00,97.22
3917.00,97.20
3916.00,97.32
3915.00,97.47
3914.00,97.53
3913.00,97.49
3912.00,97.45
3911.00,97.49
3910.00,97.59
3909.00,97.68
3908.00,97.74
3907.00,97.84
3906.00,98.04
3905.00,98.30
3904.00,98.49
3903.00,98.51
3902.00,98.35
3901.00,98.08
3900.00,97.83
3899.00,97.70
3898.00,97.71
3897.00,97.76
3896.00,97.78
3895.00,97.77
3894.00,97.81
3893.00,97.95
3892.00,98.12
3891.00,98.23
3890.00,98.24
3889.00,98.14
3888.00,97.99
3887.00,97.87
3886.00,97.87
3885.00,97.93
3884.00,97.91
3883.00,97.70
3882.00,97.38
3881.00,97.22
3880.00,97.43
3879.00,97.83
3878.00,98.09
3877.00,98.01
3876.00,97.75
3875.00,97.63
3874.00,97.83
3873.00,98.20
3872.00,98.49
3871.00,98.59
3870.00,98.55
3869.00,98.53
3868.00,98.53
3867.00,98.46
3866.00,98.32
3865.00,98.18
3864.00,98.11
3863.00,98.12
3862.00,98.15
3861.00,98.14
3860.00,98.02
3859.00,97.72
3858.00,97.20
3857.00,96.65
3856.00,96.42
3855.00,96.65
3854.00,96.90
3853.00,96.93
3852.00,96.98
3851.00,97.14
3850.00,97.32
3849.00,97.50
3848.00,97.67
3847.00,97.74
3846.00,97.72
3845.00,97.74
3844.00,97.93
3843.00,98.16
3842.00,98.28
3841.00,98.33
3840.00,98.46
3839.00,98.68
3838.00,98.77
3837.00,98.67
3836.00,98.56
3835.00,98.53
3834.00,98.53
3833.00,98.46
3832.00,98.30
3831.00,98.10
3830.00,97.88
3829.00,97.63
3828.00,97.45
3827.00,97.45
3826.00,97.68
3825.00,98.02
3824.00,98.34
3823.00,98.57
3822.00,98.59
3821.00,98.45
3820.00,98.30
3819.00,98.20
3818.00,98.07
3817.00,97.86
3816.00,97.59
3815.00,97.42
3814.00,97.47
3813.00,97.63
3812.00,97.78
3811.00,97.91
3810.00,98.04
3809.00,98.21
3808.00,98.35
3807.00,98.39
3806.00,98.34
3805.00,98.25
3804.00,98.15
3803.00,98.09
3802.00,97.99
3801.00,97.81
3800.00,97.65
3799.00,97.56
3798.00,97.53
3797.00,97.56
3796.00,97.63
3795.00,97.70
3794.00,97.69
3793.00,97.61
3792.00,97.53
3791.00,97.50
3790.00,97.50
3789.00,97.45
3788.00,97.30
3787.00,97.09
3786.00,96.96
3785.00,97.07
3784.00,97.35
3783.00,97.56
3782.00,97.54
3781.00,97.34
3780.00,97.21
3779.00,97.29
3778.00,97.50
3777.00,97.65
3776.00,97.69
3775.00,97.70
3774.00,97.70
3773.00,97.68
3772.00,97.64
3771.00,97.67
3770.00,97.81
3769.00,97.98
3768.00,98.04
3767.00,97.94
3766.00,97.81
3765.00,97.79
3764.00,97.86
3763.00,97.92
3762.00,97.89
3761.00,97.83
3760.00,97.83
3759.00,97.93
3758.00,98.06
3757.00,98.08
3756.00,97.92
3755.00,97.65
3754.00,97.44
3753.00,97.40
3752.00,97.47
3751.00,97.49
3750.00,97.48
3749.00,97.49
3748.00,97.38
3747.00,97.09
3746.00,96.78
3745.00,96.59
3744.00,96.60
3743.00,96.91
3742.00,97.33
3741.00,97.65
3740.00,97.95
3739.00,98.37
3738.00,98.83
3737.00,99.11
3736.00,99.10
3735.00,98.95
3734.00,98.74
3733.00,98.46
3732.00,98.16
3731.00,97.95
3730.00,97.89
3729.00,97.91
3728.00,97.92
3727.00,97.92
3726.00,97.89
3725.00,97.83
3724.00,97.75
3723.00,97.70
3722.00,97.70
3721.00,97.70
3720.00,97.67
3719.00,97.69
3718.00,97.80
3717.00,97.97
3716.00,98.09
3715.00,98.11
3714.00,98.07
3713.00,98.04
3712.00,98.01
3711.00,97.98
3710.00,97.95
3709.00,97.90
3708.00,97.82
3707.00,97.74
3706.00,97.71
3705.00,97.72
3704.00,97.71
3703.00,97.67
3702.00,97.65
3701.00,97.68
3700.00,97.70
3699.00,97.63
3698.00,97.49
3697.00,97.42
3696.00,97.48
3695.00,97.60
3694.00,97.67
3693.00,97.68
3692.00,97.78
3691.00,98.02
3690.00,98.26
3689.00,98.22
3688.00,97.92
3687.00,97.64
3686.00,97.51
3685.00,97.53
3684.00,97.61
3683.00,97.67
3682.00,97.68
3681.00,97.72
3680.00,97.93
3679.00,98.34
3678.00,98.81
3677.00,99.05
3676.00,98.87
3675.00,98.59
3674.00,98.63
3673.00,98.92
3672.00,99.12
3671.00,99.00
3670.00,98.59
3669.00,98.18
3668.00,97.97
3667.00,97.86
3666.00,97.75
3665.00,97.63
3664.00,97.55
3663.00,97.50
3662.00,97.51
3661.00,97.60
3660.00,97.79
3659.00,98.03
3658.00,98.21
3657.00,98.30
3656.00,98.34
3655.00,98.43
3654.00,98.59
3653.00,98.90
3652.00,99.47
3651.00,100.14
3650.00,100.31
3649.00,99.66
3648.00,98.66
3647.00,97.93
3646.00,97.66
3645.00,97.56
3644.00,97.43
3643.00,97.27
3642.00,97.20
3641.00,97.20
3640.00,97.19
3639.00,97.20
3638.00,97.28
3637.00,97.43
3636.00,97.54
3635.00,97.61
3634.00,97.69
3633.00,97.79
3632.00,97.93
3631.00,98.15
3630.00,98.35
3629.00,98.31
3628.00,98.02
3627.00,97.73
3626.00,97.57
3625.00,97.54
3624.00,97.63
3623.00,97.81
3622.00,98.09
3621.00,98.37
3620.00,98.50
3619.00,98.35
3618.00,98.03
3617.00,97.71
3616.00,97.50
3615.00,97.45
3614.00,97.61
3613.00,97.88
3612.00,98.06
3611.00,97.99
3610.00,97.72
3609.00,97.42
3608.00,97.29
3607.00,97.32
3606.00,97.40
3605.00,97.38
3604.00,97.17
3603.00,96.85
3602.00,96.59
3601.00,96.53
3600.00,96.67
3599.00,96.91
3598.00,97.13
3597.00,97.30
3596.00,97.39
3595.00,97.44
3594.00,97.49
3593.00,97.57
3592.00,97.62
3591.00,97.57
3590.00,97.42
3589.00,97.32
3588.00,97.34
3587.00,97.45
3586.00,97.52
3585.00,97.49
3584.00,97.37
3583.00,97.24
3582.00,97.16
3581.00,97.12
3580.00,97.08
3579.00,97.04
3578.00,96.99
3577.00,96.97
