Created as New Dataset,Sample 002 By Administrator Date Monday, October 13 2025
cm-1,%T
4000.00,101.75
3999.00,101.77
3998.00,101.79
3997.00,101.80
3996.00,101.81
3995.00,101.81
3994.00,101.79
3993.00,101.78
3992.00,101.77
3991.00,101.76
3990.00,101.76
3989.00,101.75
3988.00,101.75
3987.00,101.75
3986.00,101.76
3985.00,101.77
3984.00,101.78
3983.00,101.78
3982.00,101.78
3981.00,101.77
3980.00,101.76
3979.00,101.76
3978.00,101.76
3977.00,101.78
3976.00,101.80
3975.00,101.81
3974.00,101.81
3973.00,101.80
3972.00,101.79
3971.00,101.77
3970.00,101.76
3969.00,101.75
3968.00,101.75
3967.00,101.75
3966.00,101.75
3965.00,101.75
3964.00,101.75
3963.00,101.76
3962.00,101.77
3961.00,101.77
3960.00,101.77
3959.00,101.78
3958.00,101.79
3957.00,101.80
3956.00,101.82
3955.00,101.84
3954.00,101.85
3953.00,101.87
3952.00,101.87
3951.00,101.86
3950.00,101.84
3949.00,101.80
3948.00,101.76
3947.00,101.73
3946.00,101.72
3945.00,101.74
3944.00,101.76
3943.00,101.79
3942.00,101.79
3941.00,101.76
3940.00,101.72
3939.00,101.71
3938.00,101.73
3937.00,101.76
3936.00,101.77
3935.00,101.75
3934.00,101.73
3933.00,101.73
3932.00,101.76
3931.00,101.80
3930.00,101.83
3929.00,101.85
3928.00,101.86
3927.00,101.88
3926.00,101.91
3925.00,101.94
3924.00,101.92
3923.00,101.85
3922.00,101.75
3921.00,101.67
3920.00,101.60
3919.00,101.54
3918.00,101.50
3917.00,101.48
3916.00,101.50
3915.00,101.54
3914.00,101.59
3913.00,101.64
3912.00,101.68
3911.00,101.73
3910.00,101.76
3909.00,101.78
3908.00,101.78
3907.00,101.74
3906.00,101.65
3905.00,101.53
3904.00,101.37
3903.00,101.20
3902.00,101.08
3901.00,101.03
3900.00,101.06
3899.00,101.15
3898.00,101.27
3897.00,101.40
3896.00,101.53
3895.00,101.63
3894.00,101.69
3893.00,101.70
3892.00,101.68
3891.00,101.63
3890.00,101.53
3889.00,101.39
3888.00,101.22
3887.00,101.13
3886.00,101.21
3885.00,101.40
3884.00,101.54
3883.00,101.60
3882.00,101.62
3881.00,101.64
3880.00,101.63
3879.00,101.58
3878.00,101.53
3877.00,101.54
3876.00,101.64
3875.00,101.80
3874.00,101.93
3873.00,101.90
3872.00,101.72
3871.00,101.55
3870.00,101.50
3869.00,101.49
3868.00,101.45
3867.00,101.40
3866.00,101.42
3865.00,101.57
3864.00,101.74
3863.00,101.76
3862.00,101.66
3861.00,101.58
3860.00,101.61
3859.00,101.69
3858.00,101.65
3857.00,101.33
3856.00,100.80
3855.00,100.41
3854.00,100.45
3853.00,100.63
3852.00,100.68
3851.00,100.78
3850.00,101.01
3849.00,101.28
3848.00,101.51
3847.00,101.69
3846.00,101.79
3845.00,101.87
3844.00,101.93
3843.00,101.98
3842.00,101.97
3841.00,101.88
3840.00,101.76
3839.00,101.69
3838.00,101.67
3837.00,101.65
3836.00,101.59
3835.00,101.52
3834.00,101.46
3833.00,101.45
3832.00,101.48
3831.00,101.55
3830.00,101.62
3829.00,101.70
3828.00,101.82
3827.00,101.93
3826.00,102.00
3825.00,101.94
3824.00,101.75
3823.00,101.58
3822.00,101.63
3821.00,101.80
3820.00,101.82
3819.00,101.64
3818.00,101.39
3817.00,101.28
3816.00,101.36
3815.00,101.47
3814.00,101.48
3813.00,101.46
