cm-1,A_norm
4000.0,
3999.0,
3998.0,
3997.0,
3996.0,
3995.0,
3994.0,
3993.0,
3992.0,
3991.0,
3990.0,
3989.0,
3988.0,
3987.0,
3986.0,
3985.0,
3984.0,
3983.0,
3982.0,
3981.0,
3980.0,
3979.0,
3978.0,
3977.0,
3976.0,
3975.0,
3974.0,
3973.0,
3972.0,
3971.0,
3970.0,
3969.0,
3968.0,
3967.0,
3966.0,
3965.0,
3964.0,
3963.0,
3962.0,
3961.0,
3960.0,
3959.0,
3958.0,
3957.0,
3956.0,
3955.0,
3954.0,
3953.0,
3952.0,
3951.0,
3950.0,
3949.0,
3948.0,
3947.0,
3946.0,
3945.0,
3944.0,
3943.0,
3942.0,
3941.0,
3940.0,
3939.0,
3938.0,
3937.0,
3936.0,
3935.0,
3934.0,
3933.0,
3932.0,
3931.0,
3930.0,
3929.0,
3928.0,
3927.0,
3926.0,
3925.0,
3924.0,
3923.0,
3922.0,
3921.0,
3920.0,
3919.0,
3918.0,
3917.0,
3916.0,
3915.0,
3914.0,
3913.0,
3912.0,
3911.0,
3910.0,
3909.0,
3908.0,
3907.0,
3906.0,
3905.0,
3904.0,
3903.0,
3902.0,
3901.0,
3900.0,
3899.0,
3898.0,
3897.0,
3896.0,
3895.0,
3894.0,
3893.0,
3892.0,
3891.0,
3890.0,
3889.0,
3888.0,
3887.0,
3886.0,
3885.0,
3884.0,
3883.0,
3882.0,
3881.0,
3880.0,
3879.0,
3878.0,
3877.0,
3876.0,
3875.0,
3874.0,
3873.0,
3872.0,
3871.0,
3870.0,
3869.0,
3868.0,
3867.0,
3866.0,
3865.0,
3864.0,
3863.0,
3862.0,
3861.0,
3860.0,
3859.0,
3858.0,
3857.0,
3856.0,
3855.0,
3854.0,
3853.0,
3852.0,
3851.0,
3850.0,
3849.0,
3848.0,
3847.0,
3846.0,
3845.0,
3844.0,
3843.0,
3842.0,
3841.0,
3840.0,
3839.0,
3838.0,
3837.0,
3836.0,
3835.0,
3834.0,
3833.0,
3832.0,
3831.0,
3830.0,
3829.0,
3828.0,
3827.0,
3826.0,
3825.0,
3824.0,
3823.0,
3822.0,
3821.0,
3820.0,
3819.0,
3818.0,
3817.0,
3816.0,
3815.0,
3814.0,
3813.0,
3812.0,
3811.0,
3810.0,
3809.0,
3808.0,
3807.0,
3806.0,
3805.0,
3804.0,
3803.0,
3802.0,
3801.0,
3800.0,
3799.0,
3798.0,
3797.0,-6.940012105937732e-05
3796.0,-0.0004985834251344
3795.0,-0.0004985834251344
3794.0,-0.0004985834251344
3793.0,-0.0004985834251344
3792.0,-0.0004985834251344
3791.0,-0.0004985834251344
3790.0,-0.0004985834251344
3789.0,-0.0004985834251344
3788.0,-0.0004985834251344
3787.0,-0.0004985834251344
3786.0,-0.0004985834251344
3785.0,-0.0004985834251344
3784.0,-0.0004985834251344
3783.0,-0.0004985834251344
3782.0,-0.0004985834251344
3781.0,-0.0004985834251344
3780.0,-0.0004985834251344
3779.0,-0.0004985834251344
3778.0,-0.0004985834251344
3777.0,-0.0004985834251344
3776.0,-0.0004985834251344
3775.0,-0.0004985834251344
3774.0,-0.0004985834251344
3773.0,-0.0004985834251344
3772.0,-0.0004985834251344
3771.0,-0.0004985834251344
3770.0,-0.0004985834251344
3769.0,-0.0004985834251344
3768.0,-0.0004985834251344
3767.0,-0.0004985834251344
3766.0,-0.0004985834251344
3765.0,-0.0004985834251344
3764.0,-0.0004985834251344
3763.0,-0.0004985834251344
3762.0,-0.0004985834251344
3761.0,-0.0004985834251344
3760.0,-0.0004985834251344
3759.0,-0.0004985834251344
3758.0,-0.0004985834251344
3757.0,-0.0004985834251344
3756.0,-0.0004985834251344
3755.0,-0.0004985834251344
3754.0,-0.0004985834251344
3753.0,-0.0004985834251344
3752.0,-0.0004985834251344
3751.0,-0.0004985834251344
3750.0,-0.0004985834251344
3749.0,-0.0004985834251344
3748.0,-0.0004985834251344
3747.0,-0.0003353518301384
3746.0,-0.0001141554570502
3745.0,6.369670561790357e-05
3744.0,0.000191724836932
3743.0,0.0012473131834185
3742.0,0.0027586463514324
3741.0,0.0055963297801553
3740.0,0.0090661724390725
3739.0,0.0126097099483599
3738.0,0.0171913999431458
3737.0,0.0226301201126242
3736.0,0.029424784239517
3735.0,0.0375299940491519
3734.0,0.0496153508843647
3733.0,0.0607979216578607
3732.0,0.0724454746937419
3731.0,0.0849833856089953
3730.0,0.0983149828003766
3729.0,0.1161557130145615
3728.0,0.1256105510305804
3727.0,0.1318895933750976
3726.0,0.1367932069741647
3725.0,0.1411842922561808
3724.0,0.1462010730735789
3723.0,0.1508443861816813
3722.0,0.1562909268799912
3721.0,0.1620930105209045
3720.0,0.169510035513459
3719.0,0.1741067653346208
3718.0,0.1763416553755547
3717.0,0.1775510847613327
3716.0,0.1776645092290351
3715.0,0.1721424326926753
3714.0,0.1631043666302573
3713.0,0.1507844942453489
3712.0,0.1350064309950989
3711.0,0.1150615428016259
3710.0,0.0924227009605924
3709.0,0.0768144995107808
3708.0,0.0659370747957678
3707.0,0.0627821185598406
3706.0,0.0660672129438038
3705.0,0.0740871270613323
3704.0,0.0827984349985086
3703.0,0.091929671967886
3702.0,0.1014547971570165
3701.0,0.1140686600985822
3700.0,0.1204224910327219
3699.0,0.1226501096932272
3698.0,0.1260999571389688
3697.0,0.131351110916955
3696.0,0.1338767156982697
3695.0,0.1332849671967281
3694.0,0.1307626369965918
3693.0,0.1270579920761335
3692.0,0.122555411156912
3691.0,0.1188692715455006
3690.0,0.1155079510291685
3689.0,0.1123989187058838
3688.0,0.1099940660526913
3687.0,0.1059344781563703
3686.0,0.1014801761698654
3685.0,0.0974721291193626
3684.0,0.0940259859487493
3683.0,0.088548678979425
3682.0,0.0794008601862723
3681.0,0.0715365265644527
3680.0,0.0640437597947138
3679.0,0.0600528493134091
3678.0,0.0582871872776008
3677.0,0.0567638529098483
3676.0,0.0553311985792073
3675.0,0.0536672824221774
3674.0,0.0517895363571754
3673.0,0.0474944413496039
3672.0,0.0436285978378732
3671.0,0.0385372009400374
3670.0,0.0338290142235357
3669.0,0.0296435734084716
3668.0,0.0263551684610749
3667.0,0.0251512706950501
3666.0,0.0241440756648932
3665.0,0.023347771521763
3664.0,0.0226587899940209
3663.0,0.0220568709994357
3662.0,0.0196075935451101
3661.0,0.016920456760935
3660.0,0.0157947986188242
3659.0,0.0145109134581319
3658.0,0.0125611592320733
3657.0,0.0106616543891895
3656.0,0.0089782873435688
3655.0,0.0073740847251813
3654.0,0.0062609452273128
3653.0,0.0057456198625998
3652.0,0.0056179698387143
3651.0,0.0054294760949181
3650.0,0.0051153972664088
3649.0,0.0050415150300925
3648.0,0.0050415150300925
3647.0,0.0050415150300925
3646.0,0.0050415150300925
3645.0,0.0053299420377445
3644.0,0.0057607419864942
3643.0,0.0073559838760308
3642.0,0.009023559341372
3641.0,0.0109361502925037
3640.0,0.0140315855309984
3639.0,0.0176566728779577
3638.0,0.0211820411727954
3637.0,0.024466052954001
3636.0,0.0300841974795177
3635.0,0.0366374695301556
3634.0,0.0464779178048604
3633.0,0.0581376922238633
3632.0,0.0673732827532425
3631.0,0.0780478845557359
3630.0,0.0828097645993693
3629.0,0.0870568794711521
3628.0,0.0905336766892344
