cm-1,A_norm
4000.0,
3999.0,
3998.0,
3997.0,
3996.0,
3995.0,
3994.0,
3993.0,
3992.0,
3991.0,
3990.0,
3989.0,
3988.0,
3987.0,
3986.0,
3985.0,
3984.0,
3983.0,
3982.0,
3981.0,
3980.0,
3979.0,
3978.0,
3977.0,
3976.0,
3975.0,
3974.0,
3973.0,
3972.0,
3971.0,
3970.0,
3969.0,
3968.0,
3967.0,
3966.0,
3965.0,
3964.0,
3963.0,
3962.0,
3961.0,
3960.0,
3959.0,
3958.0,
3957.0,
3956.0,
3955.0,
3954.0,
3953.0,
3952.0,
3951.0,
3950.0,
3949.0,
3948.0,
3947.0,
3946.0,
3945.0,
3944.0,
3943.0,
3942.0,
3941.0,
3940.0,
3939.0,
3938.0,
3937.0,
3936.0,
3935.0,
3934.0,
3933.0,
3932.0,
3931.0,
3930.0,
3929.0,
3928.0,
3927.0,
3926.0,
3925.0,
3924.0,
3923.0,
3922.0,
3921.0,
3920.0,
3919.0,
3918.0,
3917.0,
3916.0,
3915.0,
3914.0,
3913.0,
3912.0,
3911.0,
3910.0,
3909.0,
3908.0,
3907.0,
3906.0,
3905.0,
3904.0,
3903.0,
3902.0,
3901.0,
3900.0,
3899.0,
3898.0,
3897.0,
3896.0,
3895.0,
3894.0,
3893.0,
3892.0,
3891.0,
3890.0,
3889.0,
3888.0,
3887.0,
3886.0,
3885.0,
3884.0,
3883.0,
3882.0,
3881.0,
3880.0,
3879.0,
3878.0,
3877.0,
3876.0,
3875.0,
3874.0,
3873.0,
3872.0,
3871.0,
3870.0,
3869.0,
3868.0,
3867.0,
3866.0,
3865.0,
3864.0,
3863.0,
3862.0,
3861.0,
3860.0,
3859.0,
3858.0,
3857.0,
3856.0,
3855.0,
3854.0,
3853.0,
3852.0,
3851.0,
3850.0,
3849.0,
3848.0,
3847.0,
3846.0,
3845.0,
3844.0,
3843.0,
3842.0,
3841.0,
3840.0,
3839.0,
3838.0,
3837.0,
3836.0,
3835.0,
3834.0,
3833.0,
3832.0,
3831.0,
3830.0,
3829.0,
3828.0,
3827.0,
3826.0,
3825.0,
3824.0,
3823.0,
3822.0,
3821.0,
3820.0,
3819.0,
3818.0,
3817.0,
3816.0,
3815.0,
3814.0,
3813.0,
3812.0,
3811.0,
3810.0,
3809.0,
3808.0,
3807.0,
3806.0,
3805.0,
3804.0,
3803.0,
3802.0,
3801.0,
3800.0,
3799.0,0.0145119286465808
3798.0,0.0144438506491976
3797.0,0.0143731652943689
3796.0,0.0143479167358771
3795.0,0.0143479167358771
3794.0,0.0143479167358771
3793.0,0.0143479167358771
3792.0,0.0143479167358771
3791.0,0.0143479167358771
3790.0,0.0143479167358771
3789.0,0.0144397530081934
3788.0,0.0145217876863782
3787.0,0.0146038687280911
3786.0,0.0147116425037822
3785.0,0.014966426266115
3784.0,0.0151311385642566
3783.0,0.015296037879402
3782.0,0.0154611246367184
3781.0,0.0156529532270789
3780.0,0.0157819129985062
3779.0,0.015824450193674
3778.0,0.0158307348164806
3777.0,0.0159515541602357
3776.0,0.0162741020079813
3775.0,0.0163283910366962
3774.0,0.0163965175774714
3773.0,0.01659172148402
3772.0,0.0168861632012576
3771.0,0.0169695918380542
3770.0,0.0170530684278708
3769.0,0.0171466649458064
3768.0,0.0173831473170481
3767.0,0.0176382668825936
3766.0,0.0176638720008895
3765.0,0.0177013830053664
3764.0,0.0177767394549751
3763.0,0.017998099384694
3762.0,0.0181662881507591
3761.0,0.018334671916317
3760.0,0.0185890096637543
3759.0,0.0193403605708707
3758.0,0.0195204432989166
3757.0,0.0195222573421923
3756.0,0.0195744358450097
3755.0,0.0196598073476018
3754.0,0.0196904053212319
3753.0,0.0197946396826482
3752.0,0.0200175099343789
3751.0,0.02027340277941
3750.0,0.0207121061555668
3749.0,0.0210319041521181
3748.0,0.0213250984330353
3747.0,0.0214807319341609
3746.0,0.0217127778940125
3745.0,0.0219797393545747
3744.0,0.0222895338376124
3743.0,0.0226352011754119
3742.0,0.0229320471903685
3741.0,0.0233306225302967
3740.0,0.023518507349427
3739.0,0.0236286105283782
3738.0,0.0236554566015946
3737.0,0.0238060229997926
3736.0,0.0240222756945446
3735.0,0.0243831108926417
3734.0,0.0248090710375153
3733.0,0.0253555459534239
3732.0,0.0257219398704551
3731.0,0.0259914249177731
3730.0,0.0262580728158089
3729.0,0.0265252111819481
3728.0,0.026760062131965
3727.0,0.0269380467482766
3726.0,0.0272478118302847
3725.0,0.0275768262884342
3724.0,0.0280933745287416
3723.0,0.0286850996725503
3722.0,0.0293962954535056
3721.0,0.0300487144552738
3720.0,0.0307965590476376
3719.0,0.0312175546384987
3718.0,0.0315871516539946
3717.0,0.0320376042378877
3716.0,0.0325950614275517
3715.0,0.0336848943150279
3714.0,0.0344166012802542
3713.0,0.0351714012509056
3712.0,0.0359301445848089
3711.0,0.0373272530740767
3710.0,0.0382828802106039
3709.0,0.0391890480521743
3708.0,0.0400282045585537
3707.0,0.0406842743909684
3706.0,0.0413299809030671
3705.0,0.0419056816136825
3704.0,0.0429818385761626
3703.0,0.0444870805235847
3702.0,0.047373243083792
3701.0,0.0489721512446338
3700.0,0.0500483036565711
3699.0,0.0509426500971055
3698.0,0.0526292426438553
3697.0,0.053565301076345
3696.0,0.0544441726854874
3695.0,0.0555836383200638
3694.0,0.0571645796241243
3693.0,0.0603846486465643
3692.0,0.0622288044029795
3691.0,0.0635177845085613
3690.0,0.0650698033570736
3689.0,0.068365391352776
3688.0,0.0701627236719796
3687.0,0.0718314741792193
3686.0,0.0734545830864327
3685.0,0.0756577423360339
3684.0,0.0765415879446203
3683.0,0.0807827766935
3682.0,0.0875377189719837
3681.0,0.0922610337268465
3680.0,0.0968293245051715
3679.0,0.0983082085697599
3678.0,0.1001530908539893
3677.0,0.1028799007059183
3676.0,0.1066743593653237
3675.0,0.1088505611460085
3674.0,0.1125137928648704
3673.0,0.1168262573429398
3672.0,0.1222168329858156
3671.0,0.1253448683857468
3670.0,0.1276799336277767
3669.0,0.1301262172400376
3668.0,0.1326907482365862
3667.0,0.1378932862030314
3666.0,0.1408361870637993
3665.0,0.1430709439664749
3664.0,0.1459274494876817
3663.0,0.1530808318580361
3662.0,0.1583043395390073
3661.0,0.1633156408703713
3660.0,0.1659615832281137
3659.0,0.1684052561571558
3658.0,0.1721720618662743
3657.0,0.1749999440714337
3656.0,0.1773166401072996
3655.0,0.1813102021335655
3654.0,0.1906169416314108
3653.0,0.1961190050719999
3652.0,0.2015745023575025
3651.0,0.2070900051347791
3650.0,0.2128547422939511
3649.0,0.2139709977327802
3648.0,0.2159813516922424
3647.0,0.2186667237359242
3646.0,0.2225099036781295
3645.0,0.227087378690702
3644.0,0.2309868082937393
3643.0,0.2353548703605916
3642.0,0.2402464411695805
3641.0,0.2454395927674017
3640.0,0.2476893240056837
3639.0,0.2503977572103861
3638.0,0.253342071838749
3637.0,0.2583405540114997
3636.0,0.2617398824362292
3635.0,0.2653591822838287
3634.0,0.2687966088098892
3633.0,0.2725867868631381
3632.0,0.27647790009369
3631.0,0.2794457055891
3630.0,0.2829446577357806
3629.0,0.2859213771208889
3628.0,0.289630296667378
3627.0,0.2918288790896023
3626.0,0.2939732610696851
3625.0,0.2958773009570745
