Wavelength,Flux
341.572,45.252
341.796,45.252
342.021,45.252
342.246,83.8905
342.47,77.59579
342.695,-45.81865
342.919,34.40958
343.144,74.37488
343.368,-10.75391
343.592,-34.57631
343.817,-83.89243
344.041,80.79176
344.266,-49.92015
344.49,11.70997
344.714,-19.24062
344.939,-35.02656
345.163,78.48775
345.387,14.01058
345.611,22.01118
345.836,106.84408
346.06,-15.53463
346.284,-29.70925
346.508,35.51618
346.732,172.09541
346.957,150.10254
347.181,7.57009
347.405,-64.90431
347.629,-92.04391
347.853,54.79975
348.077,3.91198
348.301,20.15865
348.525,80.46099
348.749,19.26006
348.973,11.46729
349.197,-13.02613
349.421,128.70565
349.645,42.16269
349.869,-8.44755
350.092,101.09917
350.316,75.22032
350.54,62.79368
350.764,103.48505
350.988,63.69911
351.211,70.43364
351.435,58.20245
351.659,52.77617
351.883,112.52189
352.106,86.00734
352.33,16.96217
352.554,-6.16096
352.777,103.61598
353.001,11.92606
353.224,108.95489
353.448,66.70495
353.672,9.17299
353.895,89.22673
354.119,63.7091
354.342,-7.538
354.566,71.26023
354.789,24.98605
355.012,96.98792
355.236,-5.01915
355.459,57.79924
355.683,-20.34754
355.906,-29.26757
356.129,65.56558
356.353,-13.47977
356.576,41.03115
356.799,7.80618
357.022,-13.02918
357.246,26.35769
357.469,14.89043
357.692,-5.01837
357.915,3.4524
358.138,56.82492
358.361,23.38331
358.585,-26.06292
358.808,17.19375
359.031,-24.91655
359.254,113.49696
359.477,13.07992
359.7,15.59364
359.923,38.95215
360.146,39.40987
360.369,57.26466
360.592,27.02547
360.815,22.92357
361.038,4.14031
361.26,65.77385
361.483,37.34712
361.706,7.34473
361.929,55.43453
362.152,95.82098
362.375,49.74192
362.597,63.92793
362.82,21.08857
363.043,-99.17583
363.265,46.78022
363.488,16.72414
363.711,-17.14154
363.933,24.07398
364.156,73.57692
364.379,33.22474
364.601,94.65457
364.824,-6.15808
365.046,-210.59883
365.269,69.19018
365.491,81.1412
365.714,30.68544
365.936,25.65086
366.159,28.64241
366.381,69.6641
366.604,-7.53037
366.826,68.52533
367.048,141.47562
367.271,44.94433
367.493,96.27861
367.715,41.46308
367.938,106.12423
368.16,28.16049
368.382,34.81594
368.604,44.46879
368.827,29.77049
369.049,62.1266
369.271,-17.82124
369.493,8.71401
369.715,94.42579
369.937,102.69273
370.16,172.12265
370.382,100.44435
370.604,11.00258
370.826,61.41086
371.048,114.2735
371.27,11.91213
371.492,89.65641
371.714,32.29913
371.936,74.45732
372.158,-11.88066
372.379,142.8929
372.601,3.68156
372.823,98.09364
373.045,96.23328
373.267,11.91954
373.489,108.59781
373.71,12.13515
373.932,-51.65768
374.154,21.29755
374.376,42.84261
374.597,65.25486
374.819,48.78411
375.041,133.2724
375.262,62.988
375.484,132.51278
375.706,33.42232
375.927,85.95997
376.149,130.67277
376.37,147.36357
376.592,74.66855
376.813,150.42953
377.035,82.05011
377.256,74.22276
377.478,88.20674
377.699,56.78054
377.921,39.65115
378.142,47.15337
378.363,191.97557
378.585,69.20645
378.806,85.1468
379.027,127.20198
379.249,5.96666
379.47,-35.39134
379.691,105.80424
379.912,97.81119
380.134,180.90145
380.355,69.10926
380.576,47.84668
380.797,128.12667
381.018,88.87896
381.239,135.40078
381.461,131.44172
381.682,53.57083
381.903,4.81627
382.124,175.56149
382.345,35.04473
382.566,105.80424
382.787,70.73628
383.008,82.15047
383.229,165.35609
383.45,95.27368
383.671,123.01822
383.891,128.48327
384.112,88.13097
384.333,51.20876
384.554,135.82596
384.775,173.02089
384.996,182.64361
385.216,178.09398
385.437,61.55797
385.658,82.62667
385.879,122.99896
386.099,82.09949
386.32,116.32524
386.541,111.25446
386.761,38.90662
386.982,61.04882
387.202,-26.69385
387.423,30.18113
387.644,73.16537
387.864,109.41829
388.085,68.61495
388.305,96.10566
388.526,120.8854
388.746,153.45031
388.966,31.12113
389.187,76.39096
389.407,124.33126
389.628,145.13583
389.848,79.62493
390.068,150.15863
390.289,73.21073
390.509,45.48947
390.729,94.08655
390.95,60.6203
391.17,95.63398
391.39,80.92656
391.61,46.15308
391.83,129.28628
392.051,159.41319
392.271,91.68027
392.491,96.71583
392.711,73.17103
392.931,140.14501
393.151,140.26405
393.371,129.06803
393.591,162.07783
393.811,130.76256
394.031,159.92006
394.251,55.11564
394.471,118.49936
394.691,87.6126
394.911,208.20028
395.131,118.03365
395.351,-26.43912
395.571,149.59729
395.791,113.63483
396.01,107.54044
396.23,181.53092
396.45,136.39429
396.67,52.55438
396.89,82.54974
397.109,115.75102
397.329,109.7983
397.549,185.86621
397.768,99.33407
397.988,162.1538
398.208,80.29155
398.427,51.66142
398.647,94.83136
398.866,171.7977
399.086,174.76636
399.306,58.46934
399.525,128.3731
399.745,171.06089
399.964,189.67943
400.183,185.22508
400.403,166.45357
400.622,15.07956
