wavelength_nm,intensity,spectrum_id,spectrum_name,point_index,x_unit,y_unit
345.386,174.347132,67caaf87-34fd-412f-8ebc-f0eb37aa8292,Helium Lamp,0,nm,absorbance
345.605,174.347132,67caaf87-34fd-412f-8ebc-f0eb37aa8292,Helium Lamp,1,nm,absorbance
345.824,174.347132,67caaf87-34fd-412f-8ebc-f0eb37aa8292,Helium Lamp,2,nm,absorbance
346.044,140.639797,67caaf87-34fd-412f-8ebc-f0eb37aa8292,Helium Lamp,3,nm,absorbance
346.263,145.365316,67caaf87-34fd-412f-8ebc-f0eb37aa8292,Helium Lamp,4,nm,absorbance
346.482,-6.096693,67caaf87-34fd-412f-8ebc-f0eb37aa8292,Helium Lamp,5,nm,absorbance
346.701,-5.3033079999999995,67caaf87-34fd-412f-8ebc-f0eb37aa8292,Helium Lamp,6,nm,absorbance
346.92,11.940166000000001,67caaf87-34fd-412f-8ebc-f0eb37aa8292,Helium Lamp,7,nm,absorbance
347.139,1.560883,67caaf87-34fd-412f-8ebc-f0eb37aa8292,Helium Lamp,8,nm,absorbance
347.358,-5.001248000000001,67caaf87-34fd-412f-8ebc-f0eb37aa8292,Helium Lamp,9,nm,absorbance
347.577,-91.46278300000002,67caaf87-34fd-412f-8ebc-f0eb37aa8292,Helium Lamp,10,nm,absorbance
347.796,32.672627,67caaf87-34fd-412f-8ebc-f0eb37aa8292,Helium Lamp,11,nm,absorbance
348.015,12.114809,67caaf87-34fd-412f-8ebc-f0eb37aa8292,Helium Lamp,12,nm,absorbance
348.234,-4.961454000000001,67caaf87-34fd-412f-8ebc-f0eb37aa8292,Helium Lamp,13,nm,absorbance
348.453,60.166348000000006,67caaf87-34fd-412f-8ebc-f0eb37aa8292,Helium Lamp,14,nm,absorbance
348.672,-15.578494000000001,67caaf87-34fd-412f-8ebc-f0eb37aa8292,Helium Lamp,15,nm,absorbance
348.891,10.188547,67caaf87-34fd-412f-8ebc-f0eb37aa8292,Helium Lamp,16,nm,absorbance
