wavelength_nm,intensity,spectrum_id,spectrum_name,point_index,x_unit,y_unit
345.386,-11.131473,ae4b2d42-c9e0-45fb-8384-1b0a6c30c63a,Hydrogen Lamp,0,nm,absorbance
345.605,-11.131473,ae4b2d42-c9e0-45fb-8384-1b0a6c30c63a,Hydrogen Lamp,1,nm,absorbance
345.824,-11.131473,ae4b2d42-c9e0-45fb-8384-1b0a6c30c63a,Hydrogen Lamp,2,nm,absorbance
346.044,-11.594183,ae4b2d42-c9e0-45fb-8384-1b0a6c30c63a,Hydrogen Lamp,3,nm,absorbance
346.263,-0.2869480000000001,ae4b2d42-c9e0-45fb-8384-1b0a6c30c63a,Hydrogen Lamp,4,nm,absorbance
346.482,13.174655000000001,ae4b2d42-c9e0-45fb-8384-1b0a6c30c63a,Hydrogen Lamp,5,nm,absorbance
346.701,-8.577544,ae4b2d42-c9e0-45fb-8384-1b0a6c30c63a,Hydrogen Lamp,6,nm,absorbance
346.92,-2.3794709999999997,ae4b2d42-c9e0-45fb-8384-1b0a6c30c63a,Hydrogen Lamp,7,nm,absorbance
347.139,5.581146,ae4b2d42-c9e0-45fb-8384-1b0a6c30c63a,Hydrogen Lamp,8,nm,absorbance
347.358,1.483439,ae4b2d42-c9e0-45fb-8384-1b0a6c30c63a,Hydrogen Lamp,9,nm,absorbance
347.577,-8.899075,ae4b2d42-c9e0-45fb-8384-1b0a6c30c63a,Hydrogen Lamp,10,nm,absorbance
347.796,3.9576119999999997,ae4b2d42-c9e0-45fb-8384-1b0a6c30c63a,Hydrogen Lamp,11,nm,absorbance
348.015,-0.5114540000000002,ae4b2d42-c9e0-45fb-8384-1b0a6c30c63a,Hydrogen Lamp,12,nm,absorbance
348.234,1.9727649999999997,ae4b2d42-c9e0-45fb-8384-1b0a6c30c63a,Hydrogen Lamp,13,nm,absorbance
348.453,-3.0636609999999997,ae4b2d42-c9e0-45fb-8384-1b0a6c30c63a,Hydrogen Lamp,14,nm,absorbance
348.672,4.076198,ae4b2d42-c9e0-45fb-8384-1b0a6c30c63a,Hydrogen Lamp,15,nm,absorbance
348.891,-6.809068999999999,ae4b2d42-c9e0-45fb-8384-1b0a6c30c63a,Hydrogen Lamp,16,nm,absorbance
349.11,-4.051766,ae4b2d42-c9e0-45fb-8384-1b0a6c30c63a,Hydrogen Lamp,17,nm,absorbance
349.329,11.46745,ae4b2d42-c9e0-45fb-8384-1b0a6c30c63a,Hydrogen Lamp,18,nm,absorbance
