wavelength_nm,intensity,spectrum_id,spectrum_name,point_index,x_unit,y_unit
345.386,-2.3456789999999996,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,0,nm,absorbance
345.605,-2.3456789999999996,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,1,nm,absorbance
345.824,0.9104240000000001,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,2,nm,absorbance
346.044,1.0083060000000001,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,3,nm,absorbance
346.263,0.581664,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,4,nm,absorbance
346.482,-3.26092,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,5,nm,absorbance
346.701,-0.44663600000000014,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,6,nm,absorbance
346.92,2.441697,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,7,nm,absorbance
347.139,3.625114,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,8,nm,absorbance
347.358,-3.1985850000000005,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,9,nm,absorbance
347.577,-1.3361289999999997,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,10,nm,absorbance
347.796,0.140705,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,11,nm,absorbance
348.015,7.303071,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,12,nm,absorbance
348.234,3.833516000000001,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,13,nm,absorbance
348.453,-0.41051099999999996,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,14,nm,absorbance
348.672,-3.6545770000000006,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,15,nm,absorbance
348.891,-5.880705000000001,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,16,nm,absorbance
349.11,2.926401,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,17,nm,absorbance
349.329,4.083794,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,18,nm,absorbance
349.548,8.072677,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,19,nm,absorbance
349.767,11.716134,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,20,nm,absorbance
349.986,16.350227,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,21,nm,absorbance
350.205,19.680408,01c12b8c-364f-4208-9bfd-90ef89bee491,Star Lamp,22,nm,absorbance
