wavelength_nm,intensity,spectrum_id,spectrum_name,point_index,x_unit,y_unit
345.386,-4.093389999999999,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,0,nm,absorbance
345.605,1.8415175000000001,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,1,nm,absorbance
345.824,-0.887915,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,2,nm,absorbance
346.044,-15.378194999999998,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,3,nm,absorbance
346.263,-35.37093,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,4,nm,absorbance
346.482,-7.535387500000001,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,5,nm,absorbance
346.701,-90.30422,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,6,nm,absorbance
346.92,30.4965025,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,7,nm,absorbance
347.139,-35.39176,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,8,nm,absorbance
347.358,-26.6304675,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,9,nm,absorbance
347.577,34.6013925,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,10,nm,absorbance
347.796,75.30257999999999,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,11,nm,absorbance
348.015,-6.6121275,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,12,nm,absorbance
348.234,-4.202237500000001,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,13,nm,absorbance
348.453,-23.807737499999998,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,14,nm,absorbance
348.672,-19.87692,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,15,nm,absorbance
348.891,36.935575,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,16,nm,absorbance
349.11,62.628280000000004,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,17,nm,absorbance
349.329,-6.2930975,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,18,nm,absorbance
349.548,19.652987500000002,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,19,nm,absorbance
349.767,-1.170375,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,20,nm,absorbance
349.986,-10.3072425,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,21,nm,absorbance
350.205,-44.6774525,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,22,nm,absorbance
350.424,-24.927177500000003,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,23,nm,absorbance
350.643,-48.4241575,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,24,nm,absorbance
350.862,-19.813477499999998,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,25,nm,absorbance
351.08,-32.85431,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,26,nm,absorbance
351.299,-28.2318475,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,27,nm,absorbance
351.518,-19.0356875,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,28,nm,absorbance
351.737,-80.544795,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,29,nm,absorbance
351.956,-62.1965525,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,30,nm,absorbance
352.174,-39.3518425,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,31,nm,absorbance
352.393,-60.630874999999996,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,32,nm,absorbance
352.612,-73.62261000000001,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,33,nm,absorbance
352.831,-75.0643625,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,34,nm,absorbance
353.049,-100.1080975,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,35,nm,absorbance
353.268,-59.727635,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,36,nm,absorbance
353.487,-65.905,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,37,nm,absorbance
353.705,-15.3101725,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,38,nm,absorbance
353.924,-133.02633,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,39,nm,absorbance
354.143,-35.5182725,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,40,nm,absorbance
354.361,-71.617885,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,41,nm,absorbance
354.58,28.358014999999998,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,42,nm,absorbance
354.798,17.40297,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,43,nm,absorbance
355.017,-29.3570275,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,44,nm,absorbance
355.236,25.2447375,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,45,nm,absorbance
355.454,-55.4135,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,46,nm,absorbance
355.673,72.67262000000001,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,47,nm,absorbance
355.891,-6.3622625,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,48,nm,absorbance
356.11,28.370435,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,49,nm,absorbance
356.328,-75.480705,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,50,nm,absorbance
356.547,-29.584885,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,51,nm,absorbance
356.765,-20.673699999999997,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,52,nm,absorbance
356.984,-21.2378475,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,53,nm,absorbance
357.202,7.0537225,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,54,nm,absorbance
357.42,34.06976,e3ae98b3-6185-484b-9998-a54a341ceea8,4_51pm,55,nm,absorbance
