x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004,x0005,y0005,x0006,y0006,x0007,y0007,x0008,y0008,x0009,y0009,x0010,y0010,x0011,y0011,x0012,y0012,x0013,y0013,x0014,y0014,x0015,y0015,x0016,y0016,x0017,y0017
345.386,-14.20015,345.386,44.99922,345.386,-20.26672,345.386,8.37503,345.386,-18.11994,345.386,-0.3358,345.386,-12.98699,345.386,-0.37311,345.386,-4.79481,345.386,-4.57091,345.386,25.66453,345.386,-11.41372,345.386,-39.36139,345.386,8.73702,345.386,-20.38929,345.386,-19.07342,345.386,-44.46132,345.386,-27.9746766667
345.605,-14.20015,345.605,44.99922,345.605,-20.26672,345.605,8.37503,345.605,-18.11994,345.605,-0.3358,345.605,-12.98699,345.605,-0.37311,345.605,-4.79481,345.605,-4.57091,345.605,25.66453,345.605,-11.41372,345.605,-22.37144,345.605,15.4867,345.605,-20.38929,345.605,-19.07342,345.605,-44.46132,345.605,-27.9746766667
345.824,-14.20015,345.824,44.99922,345.824,-20.26672,345.824,8.37503,345.824,-18.11994,345.824,-0.3358,345.824,-12.98699,345.824,-0.37311,345.824,-4.79481,345.824,-4.57091,345.824,25.66453,345.824,-11.41372,345.824,-27.04601,345.824,9.24354,345.824,-20.38929,345.824,-19.07342,345.824,-44.46132,345.824,-27.9746766667
346.044,-6.25191,346.044,-14.18537,346.044,-12.31847,346.044,9.60852,346.044,-10.1717,346.044,-4.03093,346.044,-3.91895,346.044,-1.94075,346.044,2.36977,346.044,1.25022,346.044,11.48207,346.044,-13.84963,346.044,-43.9807,346.044,-15.16452,346.044,-2.35118,346.044,36.1842,346.044,22.09179,346.044,18.6416033333
346.263,-26.18447,346.263,-12.83734,346.263,-3.13418,346.263,-6.95907,346.263,-22.2637,346.263,-13.7705,346.263,-16.90616,346.263,-4.06703,346.263,-4.01106,346.263,-13.19193,346.263,-31.52464,346.263,-26.06445,346.263,-54.34384,346.263,-29.55079,346.263,16.82173,346.263,-19.08889,346.263,-19.65329,346.263,-7.3068166667
346.482,-17.55386,346.482,3.61765,346.482,-2.34985,346.482,25.14649,346.482,5.38902,346.482,-13.54222,346.482,-12.19891,346.482,-0.82056,346.482,-0.98841,346.482,-5.68846,346.482,5.6218,346.482,1.3037,346.482,-31.50852,346.482,-5.55853,346.482,-2.35172,346.482,-8.93756,346.482,17.58486,346.482,2.0985266667
346.701,-13.29804,346.701,-20.10794,346.701,-14.88376,346.701,-27.66599,346.701,-22.81368,346.701,1.0069,346.701,-3.35658,346.701,-10.55587,346.701,-8.03778,346.701,-6.58298,346.701,-73.95817,346.701,-91.96744,346.701,-108.73046,346.701,-86.56081,346.701,-1.22245,346.701,9.11971,346.701,-0.47017,346.701,2.4756966667
346.92,6.28768,346.92,27.45433,346.92,3.58247,346.92,22.1408,346.92,33.69882,346.92,-2.01533,346.92,6.49289,346.92,13.50658,346.92,17.92657,346.92,7.29508,346.92,23.24861,346.92,44.84906,346.92,20.30791,346.92,33.58043,346.92,57.43278,346.92,32.81913,346.92,27.74351,346.92,39.3318066667
347.139,-14.08822,347.139,-2.98501,347.139,-21.27491,347.139,-8.30283,347.139,6.62191,347.139,13.98818,347.139,12.98125,347.139,-2.05216,347.139,3.60027,347.139,10.87406,347.139,-17.83386,347.139,-40.2434,347.139,-49.93597,347.139,-33.55381,347.139,-24.9186,347.139,0.09399,347.139,-39.97413,347.139,-21.5995800000
347.358,12.21226,347.358,34.47953,347.358,-28.5463,347.358,-2.14467,347.358,-2.89067,347.358,-10.51969,347.358,-6.71426,347.358,-10.44507,347.358,0.24243,347.358,-6.13603,347.358,-30.55685,347.358,-18.24878,347.358,-31.71196,347.358,-26.00428,347.358,-1.22235,347.358,-32.64498,347.358,-7.24082,347.358,-13.7027166667
347.577,-14.09093,347.577,28.34784,347.577,12.31231,347.577,-9.4243,347.577,15.57607,347.577,24.84315,347.577,18.13087,347.577,14.28926,347.577,17.03065,347.577,21.61772,347.577,29.119,347.577,43.38237,347.577,34.77002,347.577,31.13418,347.577,17.95672,347.577,12.50506,347.577,-8.37105,347.577,7.3635766667
