wavelength_nm,intensity
345.386,-705.67609
345.605,-705.67609
345.824,-705.67609
346.044,-723.87481
346.263,-688.86072
346.482,-104.65628
346.701,-190.8006
346.92,203.95808
347.139,-1.78684
347.358,-73.02493
347.577,190.4091
347.796,191.62363
348.015,409.82111
348.234,-360.55874
348.453,-243.25951
348.672,65.82837
348.891,-96.7264
349.11,-78.61239
349.329,339.16576
349.548,239.89008
349.767,540.74233
349.986,502.70377
350.205,45.57611
350.424,212.98462
350.643,261.25285
350.862,43.33083
351.08,566.31963
351.299,373.69265
351.518,313.35154
351.737,265.68911
351.956,272.14546
352.174,458.54451
352.393,419.28564
352.612,-52.58592
352.831,227.38354
353.049,478.63675
353.268,403.90494
353.487,412.56584
353.705,132.24622
353.924,347.12708
354.143,459.52048
354.361,146.79016
354.58,274.62829
354.798,284.40452
355.017,385.03047
355.236,23.03008
355.454,-9.69236
355.673,420.91221
355.891,748.95231
356.11,59.09435
356.328,99.64251
356.547,424.87766
356.765,368.19071
356.984,303.5925
357.202,86.15862
357.42,329.4346
357.639,503.79484
357.857,260.16316
358.076,132.15534
358.294,462.88842
358.512,511.9357
358.731,479.41236
358.949,42.16635
359.167,626.98388
359.386,1118.82688
359.604,143.43261
359.822,328.10892
360.04,536.38513
360.259,343.665
360.477,59.11714
360.695,250.88506
360.913,718.81088
361.131,751.3437
361.35,396.87181
361.568,180.45424
361.786,581.78778
362.004,564.84013
362.222,255.64674
362.44,399.54045
362.658,578.80367
362.876,765.92776
363.094,258.79955
363.312,330.68789
363.53,705.14238
363.749,527.37477
363.967,357.04506
364.184,178.06263
364.402,580.80751
364.62,481.47404
364.838,102.98193
365.056,317.32809
365.274,450.79512
365.492,472.43717
365.71,88.34905
365.928,305.9414
366.146,636.77243
366.364,677.68506
366.581,362.94324
366.799,263.49113
367.017,710.63
367.235,501.85205
367.453,276.58439
367.67,284.57522
367.888,478.5132
368.106,815.57977
368.323,2443.71321
368.541,372.62017
368.759,531.69457
368.977,882.14327
369.194,449.51692
369.412,430.7402
369.629,610.8807
369.847,535.15813
370.065,495.55601
370.282,351.68066
370.5,747.07251
370.717,806.20955
370.935,471.76014
371.152,318.05131
371.37,736.63782
371.588,706.37184
371.805,331.0
372.022,569.37363
372.24,622.42532
372.457,768.90153
372.675,398.36755
372.892,369.85729
373.11,790.81864
373.327,568.20392
373.544,354.72306
373.762,416.31861
373.979,797.7555
374.196,862.27836
374.414,506.57194
374.631,617.53344
374.848,863.46972
375.066,627.12041
375.283,353.66108
375.5,306.87448
375.717,864.44552
375.935,805.65388
376.152,673.92714
376.369,429.37333
376.586,604.23994
376.803,1075.59599
377.02,615.46874
377.238,447.49196
377.455,744.67644
377.672,777.04654
377.889,409.54686
378.106,377.34307
378.323,611.03514
378.54,625.74207
378.757,494.06203
378.974,419.65831
379.191,963.96482
379.408,751.85436
379.625,443.85972
379.842,432.86929
380.059,719.91375
380.276,733.95819
380.493,408.72232
380.71,556.76227
380.927,878.82769
381.143,889.17142
381.36,591.97038
381.577,587.32511
381.794,756.28822
382.011,972.55392
382.228,519.76188
382.444,639.62607
382.661,768.26684
382.878,717.21862
383.095,544.14861
383.311,612.14057
383.528,921.06857
383.745,659.27236
383.962,452.47813
384.178,469.34818
384.395,751.55839
384.612,809.90885
384.828,687.59317
385.045,509.64072
385.261,751.66591
385.478,878.31938
385.695,488.8704
385.911,428.27705
386.128,846.64308
386.344,917.29824
386.561,295.70551
386.777,710.68097
386.994,888.19679
387.21,1254.80712
387.427,512.08648
387.643,445.46563
387.86,860.44911
388.076,782.95382
388.292,693.2097
388.509,522.89914
388.725,903.36494
388.942,890.67295
389.158,477.20902
389.374,620.80353
389.591,806.72497
389.807,866.30447
390.023,663.83639
390.239,570.79375
390.456,808.14133
390.672,970.29667
390.888,527.10454
391.104,1088.88215
391.321,987.57695
391.537,849.67818
391.753,625.71941
391.969,774.56864
392.185,938.91012
392.401,1001.67724
392.618,700.63067
392.834,896.56348
393.05,970.39859
393.266,974.47048
393.482,886.81901
393.698,664.98968
393.914,1101.25447
394.13,1007.58679
394.346,888.19679
394.562,842.04783
394.778,924.22713
394.994,1217.94565
395.21,854.52658
395.426,913.90993
395.642,968.75296
395.858,952.24498
396.073,806.54668
396.289,809.62144
396.505,1082.25819
396.721,1149.89632
396.937,868.89253
397.153,790.28113
397.369,1019.20091
397.584,1039.37065
397.8,742.09686
398.016,940.69631
398.232,1388.97652
398.447,1076.1944
398.663,876.72636
398.879,731.97024
399.094,1091.62775
399.31,1395.89421
399.526,1038.09751
399.741,859.13759
399.957,1279.29737
400.173,1182.78837
400.388,1031.50599
400.604,863.71569
400.82,1240.51861
401.035,1242.7332
401.251,952.01238
401.466,769.14816
401.682,1268.57781
401.897,1254.25428
402.113,1104.96962
402.328,967.49885
402.544,1392.04729
402.759,1362.37519
402.974,1154.98382
403.19,1332.46393
403.405,1491.48899
403.621,1530.05067
403.836,1471.60904
404.051,1269.10566
404.267,1739.18888
404.482,1810.39811
404.697,1484.22267
404.913,1223.05172
405.128,1671.93288
405.343,1607.70028
405.559,1291.10008
405.774,1376.39519
405.989,1603.68371
406.204,1747.94037
406.42,1512.67412
406.635,1534.15965
406.85,1687.29887
407.065,1747.59837
407.28,1323.84069
407.495,1404.17801
407.71,1922.7717
407.926,1684.22685
408.141,1559.54697
408.356,1882.36149
408.571,1914.65249
408.786,1739.75021
409.001,1441.10264
409.216,1679.6563
409.431,1838.318
409.646,2024.4254
409.861,1765.54323
410.076,1807.09929
410.291,1849.56754
410.506,1807.5336
410.721,1413.81586
410.936,1578.06015
411.15,1752.79001
