wavelength_nm,intensity
345.386,-199.88537
345.605,-199.88537
345.824,-199.88537
346.044,-171.70447
346.263,-170.51434
346.482,20.78761
346.701,-28.87692
346.92,34.34716
347.139,47.87553
347.358,46.71518
347.577,54.5008
347.796,1.59989
348.015,-57.11651
348.234,-25.47147
348.453,-15.33978
348.672,-57.03478
348.891,-22.10105
349.11,-17.58815
349.329,82.84437
349.548,1.6007
349.767,26.39814
349.986,64.71724
350.205,48.9862
350.424,-41.31311
350.643,4.98526
350.862,-33.37636
351.08,52.28944
351.299,142.30328
351.518,42.17905
351.737,1.59735
351.956,-4.04105
352.174,74.89768
352.393,2.72536
352.612,8.36743
352.831,24.14257
353.049,-60.50987
353.268,12.87921
353.487,63.62807
353.705,-23.23096
353.924,-14.20799
354.143,6.10821
354.361,21.92188
354.58,27.51225
354.798,-1.78627
355.017,42.20508
355.236,33.19153
355.454,-16.46941
355.673,-35.63417
355.891,88.30452
356.11,28.67491
356.328,-27.74979
356.547,65.9296
356.765,8.36065
356.984,106.36693
357.202,-8.5543
357.42,9.50059
357.639,69.21787
357.857,66.98443
358.076,75.87832
358.294,19.6342
358.512,28.66937
358.731,110.83928
358.949,20.77876
359.167,87.20344
359.386,84.85339
359.604,4.98372
359.822,82.72947
360.04,35.40992
360.259,94.09582
360.477,24.15001
360.695,7.23854
360.913,41.01948
361.131,27.54831
361.35,106.33028
361.568,30.92174
361.786,51.16586
362.004,149.0517
362.222,70.33004
362.44,79.32913
362.658,-18.70125
362.876,104.2501
363.094,101.86062
363.312,71.53252
363.53,75.96543
363.749,86.15143
363.967,91.67056
364.184,19.61688
364.402,-11.92808
364.62,81.69225
364.838,62.46053
365.056,-5.17068
365.274,110.83504
365.492,39.94142
365.71,17.3876
365.928,97.29845
366.146,28.64508
366.364,111.9891
366.581,53.49106
366.799,53.45805
367.017,56.82826
367.235,-28.86573
367.453,103.01684
367.67,75.92469
367.888,45.61106
368.106,51.21506
368.323,361.51501
368.541,44.4834
368.759,52.33769
368.977,79.25337
369.194,99.57695
369.412,41.06205
369.629,97.43291
369.847,135.55952
370.065,78.21605
370.282,18.51009
370.5,98.48278
370.717,51.17174
370.935,102.97733
371.152,36.5758
371.37,102.96944
371.588,124.41608
371.805,48.91455
372.022,111.9377
372.24,124.33509
372.457,31.99487
372.675,76.02977
372.892,56.84357
373.11,140.18054
373.327,-6.29604
373.544,29.78298
373.762,115.24304
373.979,122.08763
374.196,20.76833
374.414,123.37228
374.631,97.33939
374.848,140.11612
375.066,114.43135
375.283,123.17374
375.5,53.45805
375.717,72.58361
375.935,47.80719
376.152,139.01386
376.369,92.69939
376.586,26.4175
376.803,144.52159
377.02,90.56365
377.238,73.70051
377.455,74.86019
377.672,137.87955
377.889,115.52172
378.106,7.23658
378.323,97.32449
378.54,41.08107
378.757,206.26003
378.974,86.12823
379.191,139.03516
379.408,33.15443
379.625,147.98538
379.842,63.55713
380.059,9.48593
380.276,109.71935
380.493,72.59476
380.71,43.32052
380.927,189.6403
381.143,108.51635
381.36,93.95119
381.577,130.00272
381.794,164.83591
382.011,130.12259
382.228,151.33186
382.444,156.90431
382.661,73.72597
382.878,90.56365
383.095,33.15061
383.311,130.00272
383.528,73.71748
383.745,34.31787
383.962,109.68998
384.178,17.36954
384.395,63.61334
384.612,99.69172
384.828,243.47762
385.045,113.09608
385.261,161.24072
385.478,140.22361
385.695,106.28561
385.911,124.43997
386.128,96.3147
386.344,117.67336
386.561,78.27323
386.777,170.40978
386.994,185.05841
387.21,225.51919
387.427,107.5451
387.643,28.66162
387.86,65.81532
388.076,113.03991
388.292,119.67129
388.509,207.49093
388.725,96.32956
388.942,118.79805
389.158,71.45546
389.374,97.31705
389.591,164.96209
389.807,97.33939
390.023,212.91076
390.239,153.41421
390.456,85.06174
390.672,159.13703
390.888,84.93759
391.104,216.45926
391.321,227.56243
391.537,72.60034
391.753,150.22608
391.969,256.90064
392.185,114.07659
392.401,125.46835
392.618,124.29237
392.834,201.83064
393.05,171.36918
393.266,173.84249
393.482,195.0069
393.698,170.5465
393.914,262.5294
394.13,188.31688
394.346,262.47962
394.562,146.75568
394.778,114.2158
394.994,164.6854
395.21,183.8943
395.426,159.25852
395.642,127.66211
395.858,133.42536
396.073,161.33246
396.289,155.87103
396.505,184.88266
396.721,155.75809
396.937,148.96096
397.153,218.59313
397.369,172.76617
397.584,117.6598
397.8,163.62588
398.016,249.90626
398.232,237.4166
398.447,257.71835
398.663,192.88966
398.879,62.47495
399.094,215.15076
399.31,230.89593
399.526,220.88375
399.741,191.58615
399.957,196.20213
400.173,81.53235
400.388,192.62667
400.604,208.4539
400.82,180.30276
401.035,192.76515
401.251,311.71355
401.466,99.58076
401.682,152.3561
401.897,232.02439
402.113,169.01183
402.328,190.61731
402.544,191.66602
402.759,216.12397
402.974,219.62199
403.19,314.93638
403.405,268.97279
403.621,263.52933
403.836,240.8083
404.051,207.3414
404.267,322.63507
404.482,310.50208
404.697,305.65293
404.913,312.73708
