wavelength_nm,intensity
345.386,-106.26064
345.605,-106.26064
345.824,-106.26064
346.044,-108.47911
346.263,-61.0408
346.482,59.74213
346.701,4.51188
346.92,-30.47582
347.139,-22.57862
347.358,23.70525
347.577,2.25498
347.796,-16.92641
348.015,37.24245
348.234,-18.05659
348.453,-25.975
348.672,-3.38463
348.891,-10.15663
349.11,-7.89869
349.329,43.9561
349.548,-38.39859
349.767,13.54139
349.986,7.89472
350.205,4.5138
350.424,-55.34887
350.643,-32.7613
350.862,20.31052
351.08,66.52847
351.299,7.8938
351.518,-4.50979
351.737,31.5917
351.956,-10.15192
352.174,-16.93429
352.393,6.76547
352.612,9.02132
352.831,38.31554
353.049,-7.90298
353.268,25.93879
353.487,-21.43183
353.705,-33.88506
353.924,-13.54454
354.143,14.66389
354.361,-14.6724
354.58,37.22804
354.798,-18.04821
355.017,33.83387
355.236,5.6417
355.454,-29.36934
355.673,4.51625
355.891,87.95808
356.11,-36.13563
356.328,6.77253
356.547,9.02097
356.765,2.25603
356.984,46.22983
357.202,36.11039
357.42,-14.68095
357.639,0.0
357.857,32.72821
358.076,52.97071
358.294,-9.02829
358.512,7.90052
358.731,56.34642
358.949,-20.30659
359.167,16.92183
359.386,50.68552
359.604,28.19761
359.822,22.55678
360.04,14.67183
360.259,0.0
360.477,49.63261
360.695,-33.85087
360.913,36.09782
361.131,21.42192
361.35,10.14332
361.568,24.81341
361.786,37.2266
362.004,51.84666
362.222,14.67354
362.44,92.39411
362.658,51.91072
362.876,24.81246
363.094,33.82343
363.312,42.88941
363.53,40.58032
363.749,39.47361
363.967,18.04333
364.184,-1.12743
364.402,40.61791
364.62,-12.40647
364.838,-13.54507
365.056,50.79109
365.274,46.24053
365.492,-11.27447
365.71,-14.6724
365.928,16.92838
366.146,33.82474
366.364,45.09445
366.581,78.93061
366.799,40.61791
367.017,25.93179
367.235,-14.67525
367.453,65.33179
367.67,82.25482
367.888,-10.1586
368.106,41.72603
368.323,124.94842
368.541,29.31251
368.759,-22.57511
368.977,91.34286
