wavelength_nm,intensity
345.386,-141.1069
345.605,-141.1069
345.824,-141.1069
346.044,-109.32821
346.263,-84.53074
346.482,16.07473
346.701,-8.74375
346.92,-8.74442
347.139,-6.48956
347.358,51.05521
347.577,4.79163
347.796,-11.00105
348.015,12.70164
348.234,-20.03221
348.453,-24.56272
348.672,13.81649
348.891,-18.90546
349.11,-22.29109
349.329,-0.84596
349.548,-36.98597
349.767,13.82344
349.986,10.43185
350.205,12.69327
350.424,-31.33255
350.643,9.31327
350.862,53.28503
351.08,76.9451
351.299,50.99032
351.518,-33.55823
351.737,65.68371
351.956,26.2095
352.174,46.51867
352.393,-6.48504
352.612,-64.07531
352.831,-5.3569
353.049,9.31147
353.268,8.17884
353.487,-45.98501
353.705,-23.43294
353.924,16.07597
354.143,-0.84622
354.361,-12.13242
354.58,0.28221
354.798,-61.80514
355.017,42.00452
355.236,9.30822
355.454,12.69868
355.673,34.13676
355.891,72.47181
356.11,13.8213
356.328,39.76612
356.547,39.72783
356.765,2.53802
356.984,22.84215
357.202,14.95739
357.42,10.44155
357.639,-1.97394
357.857,70.20774
358.076,44.24276
358.294,-21.16448
358.512,-6.49132
358.731,30.72221
358.949,3.66496
359.167,71.28751
359.386,2.53635
359.604,47.63813
359.822,58.89304
360.04,29.61822
360.259,2.53802
360.477,47.66019
360.695,4.79237
360.913,58.91799
361.131,-0.84592
361.35,12.6786
361.568,-9.87484
361.786,54.41381
362.004,69.01479
362.222,35.26047
362.44,108.4209
362.658,21.73477
362.876,22.83951
363.094,7.04977
363.312,48.80996
363.53,31.84902
363.749,2.5392
363.967,36.35722
364.184,21.6945
364.402,55.55335
364.62,17.19117
364.838,21.7154
365.056,55.58345
365.274,37.50554
365.492,-57.26305
365.71,9.3075
365.928,26.2348
366.146,34.10645
366.364,31.85515
366.581,53.30149
366.799,49.91823
367.017,32.97451
367.235,16.07784
367.453,-7.61273
367.67,48.76096
367.888,10.4371
368.106,74.67018
368.323,94.88523
368.541,23.95953
368.759,22.83951
368.977,70.22401
369.194,41.99805
369.412,89.30708
369.629,30.70097
369.847,81.42966
370.065,40.91404
370.282,30.74237
370.5,65.63825
370.717,41.97544
370.935,49.88551
371.152,12.68984
371.37,60.06067
371.588,64.52008
371.805,110.87008
372.022,45.37957
372.24,22.83686
372.457,-30.18413
372.675,30.73169
372.892,35.28509
373.11,35.21835
373.327,-11.0019
373.544,-5.35731
373.762,56.66494
373.979,56.63658
374.196,31.84167
374.414,72.46342
374.631,36.33209
374.848,110.75884
375.066,60.04214
375.283,50.99423
375.5,37.48818
375.717,54.43693
375.935,53.27271
376.152,105.12829
376.369,73.50498
376.586,33.01659
376.803,62.31167
377.02,70.24031
377.238,60.04677
377.455,73.61258
377.672,60.03058
377.889,20.58773
378.106,38.63577
378.323,25.0769
378.54,19.45475
378.757,121.91044
378.974,60.04445
379.191,85.95112
379.408,53.28298
379.625,66.75868
379.842,30.73169
380.059,23.97619
380.276,38.61788
380.493,75.8484
380.71,32.95804
380.927,97.11914
381.143,57.70284
381.36,111.8625
381.577,69.05726
381.794,81.43906
382.011,47.64731
382.228,116.33065
382.444,54.34069
382.661,46.51508
382.878,40.85878
383.095,29.61822
383.311,43.09651
383.528,81.43279
383.745,25.10691
383.962,75.90712
384.178,83.62283
384.395,21.71037
384.612,51.00992
384.828,131.98326
385.045,48.77224
385.261,85.9148
385.478,40.88713
385.695,91.62081
385.911,36.35442
386.128,25.07305
386.344,99.50859
386.561,18.32729
386.777,41.98996
386.994,49.90281
387.21,75.79583
387.427,21.72802
387.643,78.10111
387.86,105.16882
388.076,89.21141
388.292,34.11302
388.509,128.64799
388.725,64.53248
388.942,59.98219
389.158,44.24276
389.374,38.58081
389.591,51.01778
389.807,55.54049
390.023,103.97889
390.239,119.70845
