wavelength_nm,intensity
345.386,-75.41605
345.605,-75.41605
345.824,-75.41605
346.044,-88.95672
346.263,-80.00106
346.482,3.66695
346.701,3.66595
346.92,-22.28936
347.139,-15.52092
347.358,38.65221
347.577,39.71867
347.796,-23.41748
348.015,23.98734
348.234,-24.54841
348.453,-23.43294
348.672,2.53821
348.891,-3.10304
349.11,-14.3885
349.329,-6.48629
349.548,-21.16941
349.767,61.16852
349.986,8.17663
350.205,57.78035
350.424,-33.59206
350.643,12.69918
350.862,26.23176
351.08,69.06258
351.299,67.8737
351.518,-4.22791
351.737,62.30445
351.956,17.19382
352.174,4.79626
352.393,11.55673
352.612,-0.84589
352.831,3.66468
353.049,25.10594
353.268,28.47505
353.487,13.80957
353.705,-3.10448
353.924,-12.13336
354.143,5.92284
354.361,-23.42293
354.58,18.33792
354.798,-10.9968
355.017,29.60677
355.236,-4.23199
355.454,-16.6578
355.673,10.44276
355.891,87.11358
356.11,-6.48981
356.328,28.49046
356.547,-27.92629
356.765,-21.15873
356.984,-5.36063
357.202,22.8563
357.42,2.54018
357.639,-4.23003
357.857,57.8138
358.076,19.4525
358.294,43.128
358.512,43.14464
358.731,25.08752
358.949,29.58853
359.167,83.66771
359.386,-0.8455
359.604,2.5389
359.822,52.13621
360.04,17.21044
360.259,-14.38627
360.477,19.4683
360.695,-3.10136
360.913,3.66822
361.131,26.21152
361.35,16.05864
361.568,-1.9747
361.786,19.46528
362.004,38.61193
362.222,52.17039
362.44,58.90664
362.658,26.24905
362.876,55.51696
363.094,23.9623
363.312,28.50592
363.53,19.45175
363.749,53.27681
363.967,-3.10232
364.184,22.82104
364.402,45.40935
364.62,50.98053
364.838,52.14625
365.056,60.0932
365.274,2.53949
365.492,-0.84543
365.71,46.50791
365.928,78.07101
366.146,30.72576
366.364,39.74311
366.581,57.80933
366.799,90.46702
367.017,34.10119
367.235,20.58932
367.453,10.42904
367.67,62.27567
367.888,7.0525
368.106,51.02171
368.323,73.51344
368.541,-23.41476
368.759,5.92307
368.977,72.47741
369.194,18.32871
369.412,37.50264
369.629,10.42503
369.847,85.9313
370.065,60.08157
370.282,38.63427
370.5,45.37084
370.717,52.10818
370.935,31.85761
371.152,61.14263
371.37,74.70468
371.588,58.89078
371.805,89.46236
372.022,34.1117
372.24,56.63658
372.457,31.84289
372.675,16.07473
372.892,48.82321
373.11,27.33311
373.327,1.4102
373.544,-15.5107
373.762,51.03154
373.979,80.27332
374.196,9.30247
374.414,92.73237
374.631,37.45795
374.848,104.00691
375.066,47.64915
375.283,49.86824
375.5,5.92238
375.717,56.6912
375.935,35.24412
376.152,115.25485
376.369,103.86737
376.586,0.28235
376.803,87.08673
377.02,91.64556
377.238,87.06998
377.455,53.32419
377.672,80.29489
377.889,17.20444
378.106,79.19077
378.323,30.70922
378.54,8.17821
378.757,106.17205
378.974,107.31706
379.191,38.63875
379.408,70.17797
379.625,44.24106
379.842,30.73169
380.059,66.80232
380.276,67.89975
380.493,88.23617
380.71,29.57943
380.927,64.50027
381.143,31.8209
381.36,92.73237
381.577,60.04677
381.794,75.8104
382.011,73.55298
382.228,128.69723
382.444,55.46586
382.661,19.46076
382.878,29.59308
383.095,47.65651
383.311,50.97662
383.528,70.17527
383.745,31.87361
383.962,100.69642
384.178,16.06729
384.395,28.47395
384.612,22.83863
384.828,120.74961
385.045,74.67592
385.261,128.63816
385.478,58.91572
385.695,107.37893
385.911,60.00289
386.128,48.71791
386.344,93.87972
386.561,66.76893
386.777,92.6363
386.994,82.56148
387.21,133.14705
387.427,97.22721
387.643,52.18451
387.86,78.13734
388.076,82.46665
388.292,65.65338
388.509,105.04353
388.725,69.036
388.942,43.09816
389.158,36.35722
389.374,1.40895
389.591,42.00452
389.807,58.92026
390.023,142.20939
390.239,111.83673
390.456,64.55983
390.672,67.91802
390.888,28.46737
391.104,80.25794
391.321,120.90712
391.537,75.79874
391.753,84.77017
391.969,109.49917
392.185,39.72172
392.401,32.97959
392.618,45.36037
392.834,138.71613
393.05,119.68093
393.266,111.77247
393.482,137.79885
393.698,119.73602
393.914,96.03905
394.13,37.41505
394.346,121.9291
394.562,120.80041
394.778,63.40893
394.994,170.37998
395.21,118.61136
395.426,100.62261
395.642,87.11694
395.858,67.8763
396.073,128.80106
396.289,89.24549
396.505,96.10178
396.721,30.72103
396.937,80.24565
397.153,109.54526
397.369,83.64846
397.584,93.82192
397.8,111.83673
398.016,128.65291
398.232,139.98336
398.447,180.4805
398.663,81.38593
398.879,99.59322
399.094,97.18239
399.31,141.15605
399.526,125.28666
399.741,102.74732
399.957,156.81396
400.173,79.23351
400.388,123.03429
400.604,162.52251
400.82,129.75668
401.035,67.90758
401.251,129.66771
401.466,82.52346
401.682,119.62602
401.897,92.62921
402.113,129.67757
402.328,107.22677
402.544,74.64438
402.759,120.69897
402.974,155.47748
403.19,139.83364
403.405,177.02389
403.621,143.18542
403.836,160.26298
404.051,95.97296
404.267,128.64308
404.482,93.7572
404.697,162.33009
404.913,155.57202
405.128,226.6276
405.343,207.28173
405.559,113.98127
405.774,130.80028
405.989,192.59415
406.204,127.44173
406.42,174.7257
406.635,163.35919
406.85,237.36566
407.065,166.79979
407.28,142.08452
407.495,142.1116
407.71,213.99131
407.926,128.5255
408.141,198.35692
408.356,229.86125
408.571,208.44243
408.786,175.86122
409.001,187.9816
409.216,211.91094
409.431,174.73902
409.646,199.4558
409.861,192.69661
410.076,218.44918
410.291,204.81432
410.506,191.46585
410.721,154.44965
410.936,197.10777
411.15,209.5318
411.365,143.04968
411.58,285.9597
411.795,224.19569
412.01,216.28203
412.225,207.14029
412.439,144.22573
412.654,237.43736
412.869,217.20533
413.084,195.91988
413.299,184.683
413.513,212.97577
413.728,175.7009
413.943,236.24645
414.157,318.39171
414.372,173.54408
414.587,236.30889
414.801,182.39961
415.016,238.33231
415.231,173.63001
415.445,202.79701
415.66,205.00051
415.874,228.45395
416.089,228.5924
416.304,189.2381
416.518,242.11672
416.733,212.72542
416.947,179.20029
417.162,223.81422
417.376,235.32292
417.59,201.39341
417.805,194.76232
418.019,173.61015
418.234,219.35398
418.448,226.2829
418.663,179.13218
418.877,266.76266
419.091,260.03568
419.306,266.86384
419.52,233.93735
419.734,282.33419
419.949,303.42909
420.163,221.5509
420.377,206.21552
420.591,219.42017
420.806,235.1006
421.02,193.74454
421.234,199.31193
421.448,220.51487
421.663,230.68461
421.877,212.62107
422.091,227.28269
422.305,255.25786
422.519,209.40467
422.733,207.06201
422.947,219.51142
423.161,275.71652
423.376,277.99666
423.59,261.69328
423.804,285.64628
424.018,272.33852
424.232,229.3489
424.446,270.78067
424.66,288.03467
424.874,271.34275
425.088,207.17951
425.302,282.88992
425.515,237.49123
425.729,285.75408
425.943,256.28961
426.157,215.03052
426.371,324.90364
426.585,327.82495
426.799,296.83708
427.013,257.51415
427.226,304.59196
427.44,274.59743
427.654,256.33777
427.868,291.07241
428.081,216.11809
428.295,280.17128
428.509,260.57616
428.723,256.39563
428.936,218.38299
429.15,266.82333
429.364,271.91841
429.577,265.48259
429.791,235.44809
430.005,292.34354
430.218,234.06092
430.432,254.00569
430.645,244.08927
430.859,227.13719
431.073,276.51224
431.286,183.49954
431.5,251.97815
431.713,271.00448
431.927,288.95707
432.14,262.26487
432.354,256.20311
432.567,199.30438
432.781,244.08927
432.994,317.88905
433.207,296.54754
433.421,219.38706
433.634,269.06254
433.848,368.43099
434.061,293.54987
434.274,258.6521
434.488,279.96002
434.701,312.45878
434.914,310.23607
435.127,282.16411
435.341,322.31823
435.554,295.46396
435.767,246.21594
435.98,236.051
436.194,303.29265
436.407,272.07156
436.62,254.20637
436.833,307.85118
437.046,315.45568
437.259,320.36207
437.473,381.90122
437.686,275.39446
437.899,307.85118
438.112,366.95886
438.325,270.89241
438.538,246.16971
438.751,296.43673
438.964,505.49619
439.177,314.61034
439.39,335.5713
439.603,386.21792
439.816,298.89287
440.029,357.01894
440.242,392.46791
440.455,361.6147
440.668,383.50272
440.881,253.90103
441.094,325.91057
441.306,327.92292
441.519,383.57383
441.732,389.18533
441.945,358.34854
442.158,395.92532
442.37,356.88584
442.583,418.49955
442.796,378.93594
443.009,450.54313
443.222,435.34444
443.434,338.35836
443.647,435.05347
443.86,445.08204
444.072,469.85648
444.285,406.08156
444.498,446.42609
444.71,381.38876
444.923,380.11966
445.136,426.10376
445.348,380.47293
445.561,385.04558
445.773,389.44594
445.986,381.26143
446.198,414.98892
446.411,416.07127
446.623,455.44587
446.836,402.24884
447.048,428.15497
447.261,437.29486
447.473,395.70532
447.686,456.01789
447.898,468.36285
448.11,446.69691
448.323,664.37247
448.535,512.12814
448.748,486.30065
448.96,459.13235
449.172,493.8588
449.385,529.81711
449.597,435.81154
449.809,457.24752
450.021,520.68671
450.234,460.46355
450.446,499.00727
450.658,479.86432
450.87,403.77932
451.083,546.64358
451.295,480.70933
451.507,500.35469
451.719,357.81438
451.931,430.14142
452.143,562.50192
452.356,396.584
452.568,451.22258
452.78,568.87269
452.992,486.89199
453.204,492.62169
453.416,445.01614
453.628,548.32077
453.84,481.73161
454.052,488.14513
454.264,537.52666
454.476,586.47928
454.688,548.68118
454.9,509.02649
455.112,565.25449
455.324,484.8679
455.536,478.68156
455.747,496.51661
455.959,496.58904
456.171,552.47043
456.383,483.89993
456.595,570.88093
456.807,497.08001
457.018,468.08687
457.23,510.35956
457.442,529.46657
457.654,489.9526
457.865,464.6009
458.077,548.31888
458.289,502.77714
458.501,531.7436
458.712,526.27385
458.924,589.16198
459.136,509.77476
459.347,572.84615
459.559,503.8687
459.77,531.6071
459.982,559.40331
460.194,598.14705
460.405,471.43617
460.617,580.17833
460.828,579.13451
461.04,514.25231
461.251,578.47061
461.463,707.77414
461.674,555.15299
461.886,650.31769
462.097,519.23385
462.309,565.96943
462.52,558.29504
462.731,554.48423
462.943,563.46591
463.154,525.75339
463.366,578.19588
463.577,602.70599
463.788,618.7447
464.0,629.97964
464.211,576.00114
464.422,609.81156
464.634,623.09866
464.845,626.84507
465.056,681.49961
465.267,697.66528
465.478,576.94108
465.69,602.4866
465.901,652.73747
466.112,587.01212
466.323,601.00904
466.534,655.60679
466.745,769.62693
466.957,638.91397
467.168,634.08013
467.379,670.53953
467.59,619.01372
467.801,614.05623
468.012,675.0261
468.223,691.77304
468.434,686.65221
468.645,691.35129
468.856,683.73015
469.067,707.26548
469.278,627.49649
469.489,627.33806
469.7,680.91053
469.911,675.92834
470.122,693.45086
470.333,750.62277
470.543,675.34206
470.754,728.47318
470.965,685.59771
471.176,654.89812
471.387,750.86535
471.598,743.66434
471.808,677.35476
472.019,693.22558
472.23,753.20508
472.441,713.26623
472.651,782.03196
472.862,715.72771
473.073,852.27782
473.283,729.62804
473.494,784.5395
473.705,781.82497
473.915,821.83163
474.126,873.98001
474.337,792.35489
474.547,793.31383
474.758,780.68201
474.968,796.3591
475.179,829.54024
475.389,851.57129
475.6,931.68297
475.81,936.32329
476.021,888.86023
476.231,815.74377
476.442,865.93749
476.652,810.56342
476.863,867.21585
477.073,854.31307
477.284,839.96306
477.494,901.92674
477.704,929.55674
477.915,908.44123
478.125,842.7244
478.335,962.20097
478.546,965.38611
478.756,907.31311
478.966,920.85345
479.177,991.39136
479.387,986.9095
479.597,937.39165
479.807,975.38201
480.018,947.08624
480.228,941.54315
480.438,936.99686
480.648,936.46054
480.858,1066.05104
481.068,1040.83163
481.279,1061.86897
481.489,1048.95087
481.699,1011.93234
481.909,1032.56017
482.119,1105.61228
482.329,1046.36408
482.539,1159.74921
482.749,1070.82406
482.959,1079.51872
483.169,1144.15386
483.379,1219.02209
483.589,1245.72603
483.799,1123.19343
484.009,1123.7714
484.219,1233.48944
484.429,1136.80494
484.639,1137.62622
484.849,1166.71936
485.059,1186.18869
485.268,1165.52364
485.478,1207.87884
485.688,1184.49376
485.898,1175.75222
486.108,1198.23665
486.317,1259.62845
486.527,1228.55435
486.737,1220.19962
486.947,1238.88193
487.156,1293.99813
487.366,1307.37777
487.576,1275.16684
487.785,1237.49342
487.995,1342.53052
488.205,1250.56276
488.414,1274.56351
488.624,1249.49337
488.834,1249.66354
489.043,1288.49301
489.253,1261.18398
489.462,1345.37158
489.672,1345.56695
489.882,1271.04091
490.091,1280.03042
490.301,1300.11968
490.51,1320.85386
490.72,1300.64744
490.929,1294.08527
491.138,1379.55207
491.348,1343.8379
491.557,1286.84323
491.767,1342.30266
491.976,1380.27342
492.185,1283.28463
492.395,1325.96107
492.604,1421.677
492.813,1360.86669
493.023,1312.91064
493.232,1337.20649
493.441,1401.36238
493.651,1457.29297
493.86,1408.22952
494.069,1355.4815
494.278,1402.26175
494.488,1427.59305
494.697,1329.8487
494.906,1353.40052
495.115,1415.70357
495.324,1379.80702
495.533,1408.37048
495.743,1471.29213
495.952,1457.88893
496.161,1467.16945
496.37,1469.12463
496.579,1504.29565
496.788,1516.63504
496.997,1471.00093
497.206,1549.30814
497.415,1449.29708
497.624,1564.34192
497.833,1545.93162
498.042,1602.69046
498.251,1530.09544
498.46,1504.36196
498.669,1529.49825
498.878,1590.7474
499.087,1514.68082
499.296,1544.99656
499.504,1628.39134
499.713,1520.74975
499.922,1642.1077
500.131,1590.38314
500.34,1583.05657
500.549,1559.41881
500.757,1588.63721
500.966,1510.85055
501.175,1609.01946
501.384,1650.87397
501.592,1615.83408
501.801,1691.90684
502.01,1636.41817
502.218,1698.87573
502.427,1622.02148
502.636,1658.2849
502.844,1586.94706
503.053,1667.14348
503.262,1629.757
503.47,1621.91614
503.679,1703.71585
503.887,1632.98142
504.096,1709.93453
504.304,1629.95634
504.513,1619.6086
504.721,1680.03987
504.93,1576.59141
505.138,1640.29125
505.347,1802.66704
505.555,1639.11053
505.764,1530.5259
505.972,1590.82574
506.18,1636.24403
506.389,1660.71109
506.597,1659.57496
506.806,1659.95294
507.014,1687.11994
507.222,1683.95364
507.431,1559.21341
507.639,1688.61241
507.847,1587.41422
508.055,1699.09753
508.264,1707.04639
508.472,1675.36333
508.68,1686.81161
508.888,1695.65271
509.096,1700.08356
509.305,1721.20764
509.513,1642.11196
509.721,1666.28529
509.929,1623.90777
510.137,1628.57633
510.345,1646.78605
510.553,1581.87649
510.762,1699.75254
510.97,1760.67909
511.178,1670.49498
511.386,1771.16243
511.594,1642.66419
511.802,1722.92099
512.01,1657.47874
512.218,1656.45834
512.426,1711.58349
512.634,1751.98972
512.842,1738.50633
513.049,1774.45466
513.257,1650.98084
513.465,1696.09156
513.673,1734.83223
513.881,1723.08793
514.089,1785.44121
514.297,1770.21168
514.504,1720.03592
514.712,1706.21917
514.92,1719.44603
515.128,1685.97703
515.336,1808.83066
515.543,1800.50925
515.751,1695.43365
515.959,1778.53936
516.166,1735.96079
516.374,1769.49425
516.582,1845.04099
516.789,1777.26967
516.997,1802.72514
517.205,1722.12633
517.412,1676.43721
517.62,1810.0752
517.827,1739.40288
518.035,1843.84363
518.243,1784.54186
518.45,1739.00496
518.658,1709.69155
518.865,1745.67431
519.073,1716.76102
519.28,1793.5163
519.488,1788.90839
519.695,1727.89475
519.902,1755.37553
520.11,1769.02633
520.317,1748.09836
520.525,1736.46553
520.732,1751.59518
520.939,1766.6201
521.147,1615.60154
521.354,1734.09557
521.561,1755.10408
521.769,1749.39503
521.976,1690.90671
522.183,1780.65693
522.391,1673.75849
522.598,1806.74713
522.805,1694.05419
523.012,1738.73009
523.219,1761.52434
523.427,1727.32356
523.634,1706.10913
523.841,1786.56994
524.048,1758.54116
524.255,1826.01619
524.462,1738.04981
524.669,1806.14551
524.877,1773.14179
525.084,1770.55333
525.291,1764.45623
525.498,1791.23718
525.705,1725.84765
525.912,1819.65237
526.119,1765.13709
526.326,1725.74973
526.533,1765.08027
526.74,1810.48254
526.947,1747.31382
527.153,1825.06263
527.36,1810.71404
527.567,1859.65517
527.774,1856.09086
527.981,1779.72955
528.188,1811.20713
528.395,1839.15096
528.602,1866.01353
528.808,1843.79509
529.015,1763.77762
529.222,1898.48947
529.429,1802.26726
529.635,1784.63988
529.842,1812.24459
530.049,1848.78041
530.256,1821.99087
530.462,1762.64993
530.669,1822.8053
530.876,1865.36017
531.082,1835.47159
531.289,1850.44785
531.495,1786.26778
531.702,1818.00079
531.909,1870.34832
532.115,1928.361
532.322,1854.06999
532.528,1912.12121
532.735,1846.05181
532.941,1878.00819
533.148,1825.29626
533.354,1837.64977
533.561,1855.08046
533.767,1911.45149
533.974,1868.50731
534.18,1865.77505
534.387,1898.02331
534.593,1761.01522
534.799,1889.22417
535.006,1829.56244
535.212,1854.31277
535.418,1849.01665
535.625,1791.77727
535.831,1865.77769
