wavelength_nm,intensity
345.386,-66.64978
345.605,-66.64978
345.824,-66.64978
346.044,-88.10822
346.263,-67.83109
346.482,34.95829
346.701,12.40599
346.92,-34.99347
347.139,-1.12851
347.358,53.02793
347.577,23.66866
347.796,-42.89939
348.015,1.12926
348.234,2.25629
348.453,1.12882
348.672,-30.47582
348.891,-19.18773
349.11,7.89655
349.329,-6.76834
349.548,-13.54664
349.767,46.24053
349.986,47.33643
350.205,6.77043
350.424,-53.08766
350.643,2.25804
350.862,-5.64432
351.08,90.17175
351.299,28.18239
351.518,-30.45459
351.737,74.41167
351.956,43.95103
352.174,-4.51485
352.393,-22.56288
352.612,-44.01893
352.831,4.51031
353.049,6.77227
353.268,7.89685
353.487,47.32008
353.705,24.82397
353.924,-32.74345
354.143,56.35941
354.361,-2.25681
354.58,36.10061
354.798,-16.91987
355.017,51.86263
355.236,20.30502
355.454,0.0
355.673,38.36581
355.891,74.44324
356.11,1.12851
356.328,36.10201
356.547,-6.76755
356.765,49.59246
356.984,30.45224
357.202,45.13101
357.42,31.59537
357.639,-14.66672
357.857,53.02383
358.076,25.93379
358.294,-5.64236
358.512,19.18327
358.731,40.58032
358.949,-42.88608
359.167,45.10314
359.386,27.04314
359.604,13.53825
359.822,28.19325
360.04,34.9745
360.259,-2.2562
360.477,50.75964
360.695,-9.02306
360.913,85.65984
361.131,20.29484
361.35,-3.38189
361.568,21.43101
361.786,-19.19593
362.004,74.36021
362.222,38.36135
362.44,57.49877
362.658,54.16562
362.876,47.351
363.094,7.89563
363.312,66.56444
363.53,34.94752
363.749,48.48868
363.967,14.66105
364.184,29.29786
364.402,28.21288
364.62,39.4402
364.838,10.15467
365.056,32.74218
365.274,46.24053
365.492,-21.42522
365.71,21.43101
365.928,51.88263
366.146,36.07833
366.364,69.86691
366.581,-28.2414
366.799,51.89065
367.017,20.2964
367.235,6.7707
367.453,34.93677
367.67,32.70418
367.888,24.81725
368.106,43.9798
368.323,145.16082
368.541,20.2964
368.759,-34.9989
368.977,102.60006
369.194,29.32042
369.412,4.51415
369.629,31.54549
369.847,105.89904
370.065,54.16352
370.282,31.58803
370.5,23.6805
370.717,51.82676
370.935,59.73984
371.152,19.17363
371.37,81.17952
371.588,94.61861
371.805,88.05341
372.022,77.75067
372.24,69.86423
372.457,21.42027
372.675,50.73224
372.892,121.76494
373.11,47.32371
373.327,14.66275
373.544,-4.51135
373.762,77.78055
373.979,50.72444
374.196,-2.25559
374.414,102.58031
374.631,-7.89198
374.848,39.50416
375.066,62.01327
375.283,64.22138
375.5,-3.38476
375.717,47.39124
375.935,48.48494
376.152,60.92455
376.369,33.81823
376.586,33.86268
376.803,38.36135
377.02,109.37759
377.238,78.90933
377.455,73.33089
377.672,68.7572
377.889,14.66672
378.106,-1.12882
378.323,12.40025
378.54,-2.25646
378.757,86.76861
378.974,48.49617
379.191,51.88263
379.408,62.01327
379.625,45.08578
379.842,25.9408
380.059,46.24231
380.276,15.79157
380.493,62.04678
380.71,25.91883
380.927,46.20671
381.143,7.88804
381.36,80.06591
381.577,58.63863
381.794,101.41212
382.011,91.27961
382.228,91.30065
382.444,57.43481
382.661,28.19978
382.878,25.9308
383.095,-2.25786
383.311,54.07181
383.528,68.76778
383.745,11.28668
383.962,97.03568
384.178,51.83471
384.395,-3.38489
384.612,23.68416
384.828,135.07177
385.045,38.34801
385.261,101.38101
385.478,24.82109
385.695,81.20457
385.911,60.84713
386.128,-15.78731
386.344,42.88941
386.561,38.33323
386.777,55.22267
386.994,75.52604
387.21,95.76889
387.427,58.65674
387.643,63.17369
387.86,66.58506
388.076,72.06546
388.292,52.98498
388.509,96.89001
388.725,55.24179
388.942,48.44582
